movie_title,director,year
Челюсти: Месть,Джозеф Сарджент,
Надин (фильм),Роберт Бентон,1987
Летняя школа (фильм),Карл Райнер,1987
Сердце Ангела,Алан Паркер,1987
Ужас кладбища,Ламберто Бава,1987
Ужас в опере,Дарио Ардженто,1987
Телемертвецы,,1987
Родственник (фильм),,1987
Почти стемнело,Кэтрин Бигелоу,1987
Полицейский-убийца,Билл Хинцман,1987
"Ночной полёт (фильм, 1987)",,1987
Пропащие ребята,,1987
Мотель Бейтса (фильм),,1987
"Тихая ночь, смертельная ночь 2",Ли Гарри,1987
Мой демонический любовник,Чарли Ловенталь,1987
"Куклы (фильм, 1987)",Стюарт Гордон,1987
Слёзы под дождём,,
"Проклятие (фильм, 1987)",Дэвид Кит,1987
Тайна личности Борна,,
Охотники в прериях Мексики,,
"Криминальный талант (фильм, 1988)",Сергей Ашкенази,
Краденое небо,Джон Хэнкок,
Бриллиантовая ловушка,Дон Тейлор,
"Отчим (фильм, 1987)",Джозеф Рубен,1987
"Джек-потрошитель (фильм, 1988)",Дэвид Уикс,
Приморский бульвар (фильм),Александр Полынников,
Ньюки (фильм),Сиас Одендаль,1988
"Сумерки (фильм, 1988)",Пол Майерсберг,1988
Лист Мёбиуса (фильм),Леонид Партигул,
Нация пришельцев,Грэм Бэйкер,1988
Доверчивый дракон,Леонид Шварцман,
"Мастер и Маргарита (сериал, 1988)",Мацей Войтышко,1988
Ловчий смерти и воины ада,,1988
Гандахар: Световые годы,Рене Лалу,
Мистер Индия,Шекхар Капур,
Эрнест спасает Рождество,,1988
Ястребы (фильм),Роберт Миллер,
Тэн Зан: Последняя миссия,,
ЧП районного масштаба (фильм),Сергей Снежкин,1988
Эльвира — повелительница тьмы,Джеймс Синьорелли,1988
Чтица (фильм),Мишель Девиль,1988
"Цыганский барон (фильм, 1988)",Виктор Окунцов,1988
"Собачье сердце (фильм, 1988)",Владимир Бортко,
Остров ржавого генерала,Валентин Ховенко,
Очень скучная история,Джамиль Кулиев,
"Чертёнок (фильм, 1988)",Роберто Бениньи,1988
Поляна сказок (фильм),Леонид Горовец,1988
Физики (фильм),Олег Рябоконь,1988
Грамматика любви,Лев Цуцульковский,
Фантоцци уходит на пенсию,Нери Паренти,1988
"Фонтан (фильм, 1988)",Юрий Мамин,
Тюремная биржа,Роберт Борис,1987
Тигр в полиции,Лю Цзялян,1988
Успеть до полуночи,Мартин Брест,1988
Скауты (фильм),Дэнни Билсон,1988
Студентка (фильм),Клод Пиното,1988
Семейная фотография (фильм),Франсуа Озон,1988
Разговор цыплёнка с уткой,,1988
Просто секс?,,1988
Рыбка по имени Ванда,Чарльз Крайтон,1988
Психодром (фильм),Майкл Ритчи,1988
Прошлой ночью,Том Эберхардт,1988
У неё будет ребёнок,Джон Хьюз,1988
"Ночная работа (фильм, 1988)",,
Принц Пенсильвании,Рон Нисуонер,1988
Похоронная школа,Майкл Шредер,
Помощнички,Стюарт Марголин,1988
Шекспириана (фильм-балет),Феликс Слидовкер,1988
"Презумпция невиновности (фильм, 1988)",Евгений Татарский,1988
Полицейская история 2,Джеки Чан,
Перекрёсток Делэнси,Джоэн Силвер,1988
Приключения барона Мюнхгаузена (фильм),Терри Гиллиам,1988
Полицейская академия 5: Место назначения — Майами-Бич,Алан Майерсон,1988
Передай патроны,Дэвид Биэрд,1988
Поездка в Америку,Джон Лэндис,1988
Переключая каналы,Тед Котчефф,1988
"Прости нас, сад",Анатолий Ниточкин,1988
"Переезд (фильм, 1988)",Алан Меттер,1988
Отель разбитых сердец,Крис Коламбус,1988
Новые приключения Теннесси Бака,Дэвид Кит,1988
"Отпетые мошенники (фильм, 1988)",Фрэнк Оз,1988
Некоторые девчонки,"Майкл, Хоффман",1988
Незаконно твой,Питер Богданович,1988
Надолго ли?,Джон Эвилдсен,1988
Новая рождественская сказка,Ричард Доннер,1988
Налево от лифта,Эдуар Молинаро,1988
Отсчёт утопленников,Питер Гринуэй,1988
"На помощь, братцы!",Иван Василёв,1988
Модернисты,Алан Рудольф,1988
Мы думаем только о тебе,,1988
Моя мачеха — инопланетянка,Ричард Бенджамин,1988
Мисс миллионерша,Александр Рогожкин,
На лоне природы,Ховард Дойч,
На вторник не рассчитывай,Адам Рифкин,1988
Мой лучший друг — вампир,,1988
Манифест (фильм),Душан Макавеев,1988
Луна над Парадором,Пол Мазурски,1988
Кустари (фильм),Билл Фишман,1988
"Лак для волос (фильм, 1988)",Джон Уотерс,1988
Чернокнижник (фильм),Стив Майнер,1989
Крокодил Данди 2,,1988
Человек за солнцем,,1988
Ужас подземелья,Джон Карл Бюхлер,1988
Фантазм 2,Дон Коскарелли,1988
Телефон дьявола,Роберт Инглунд,1988
"Красная жара (фильм, 1988)",,1988
Тыквоголовый,Стэн Уинстон,1988
Кто подставил кролика Роджера,Роберт Земекис,
На пляже,Гэрри Маршалл,1988
"Тюрьма (фильм, 1988)",Ренни Харлин,1988
Тайна убийства,Марио Бьянки,1988
Сокращая класс,Роспо Палленберг,1988
Служители дьявола,,1988
Седьмое знамение,Карл Шульц,1988
Сердце полуночи,Мэтью Чэпмен,1988
Слуга дьявола,Камило Вила,1988
Связанные насмерть,Дэвид Кроненберг,1988
Пугала,,1988
Танец проклятых,Кэтт Ши,1989
"Пятница, 13-е — Часть 7: Новая кровь",Джон Карл Бюхлер,1988
Проклятый Амстердам,Дик Мас,1988
"Поцелуй вампира (фильм, 1988)",Роберт Бирман,1988
Призрак смерти,Руджеро Деодато,1988
Прикосновение смерти,Лучо Фульчи,1988
Полуночный вампир,Грегори Мак-Клэтчи,1988
Хэллоуин 4: Возвращение Майкла Майерса,,
Повреждение мозга (фильм),Фрэнк Хененлоттер,1988
Омолаживатель,Брайан Томас Джонс,1988
Носферату в Венеции,Луиджи Коцци,1988
Полтергейст 3,Гэри Шерман,1988
Обезьяньи проделки,Джордж Ромеро,1988
"Ночь демонов (фильм, 1988)",Кевин Тенни,1988
Некромантик,Йорг Буттгерайт,1988
Неименуемое (фильм),Жан-Поль Уэллетт,1988
Маньяк-полицейский,Уильям Лустиг,1988
Мёртвый полицейский,,1988
Незваный,Грейдон Кларк,1988
"Незваный гость (фильм, 1989)",Скотт Шпигель,1989
Логово белого червя (фильм),Кен Рассел,
Ночь страха 2,Томми Ли Уоллес,1988
"Леди в белом (фильм, 1988)",Фрэнк ЛаЛоджа,1988
"Поцелуй (фильм, 1988)",,1988
Свидетели: Нерассказанная война в Афганистане,,1988
Лагерь девушек-болельщиц,Джон Куинн,1988
"Вдали от дома (фильм, 1989)",,1989
Радио Бикини,,1988
Представь себе: Джон Леннон,Andrew Solt,1988
Майкл Джексон: Легенда продолжается,,1988
Музей восковых фигур (фильм),Энтони Хикокс,1988
В поисках Лэнгстона,,
В лунную ночь,Лина Вертмюллер,1989
В городе Сочи тёмные ночи,Василий Пичул,1989
Вальмон (фильм),Милош Форман,1989
Бумажные глаза Пришвина,Валерий Огородников,1989
Бриллиантовые головы,,1989
Бродячий автобус,Иосиф Хейфиц,1989
"Бэтмен (фильм, 1989)",Тим Бёртон,1989
"Братья по оружию (фильм, 1989)",Джордж Блум,1989
Спящий лагерь 2,Майкл А. Симпсон,1988
Бренда Старр (фильм),Роберт Эллис Миллер,1989
Братва 2: Город крэка,Дэниел Мэтмор,1989
"Борис Годунов (фильм-опера, 1989)",Анджей Жулавский,1989
Брызги шампанского,Станислав Говорухин,1989
Большой секс-скандал по-американски,Майкл Шульц,1989
Большой человек в университетском городке,Джереми Каган,1989
Битва на Косовом поле (фильм),,1989
"Ближайший родственник (фильм, 1989)",Джон Ирвин,1989
Биндюжник и Король,Владимир Алеников,
Близкий друг (фильм),Норман Рене,1989
Бесаме,Нино Ахвледиани,1989
"Беспредел (фильм, 1989)",Игорь Гостев,1989
"Белая горячка (фильм, 1989)",Робби Бенсон,1989
Белая свадьба,Жан-Клод Бриссо,1989
"Берт Ригби, ты — дурак",Карл Райнер,1989
Безумная (фильм),Тибор Такач,1989
"Безжалостный (фильм, 1989)",Уильям Лустиг,
"Бездна (фильм, 1989)",,1989
Большие огненные шары,Джим МакБрайд,
Бейбарс (фильм),Булат Мансуров,1989
Бетти (фильм),Клод Шаброль,1992
"Бензин, еда, жильё",Эллисон Андерс,1992
Бетховен (фильм),,1992
"Бесы (фильм, 1992)",Игорь Таланкин,1992
Белые люди не умеют прыгать,Рон Шелтон,1992
"Белый король, красная королева",Сергей Бодров (старший),1992
Бешеные псы,Квентин Тарантино,
"Белые ночи (фильм, 1992)",Леонид Квинихидзе,1992
Белые пески (фильм),Роджер Дональдсон,1992
Безумные подмостки,Питер Богданович,1992
Безумное лето на море!,Морис Мэрфи,1992
"Без ума от оружия (фильм, 1992)",Тамра Дэвис,
Без промахов,Баз Тейлор,1992
"Безумная любовь (фильм, 1992)",Радж Канвар,1992
Бег по солнечной стороне,Олег Кавун,
Беглец среди нас,Майкл Тошиюки Уно,1992
Баффи — истребительница вампиров,,
Армия тьмы,Сэм Рэйми,
"Ариэль (фильм, 1992)",Евгений Котов,1992
Барака (фильм),Рон Фрике,1992
Балтийская любовь,,1992
Безумный рейс,,1992
"Анкор, ещё анкор! (фильм)",Пётр Тодоровский,
Арбитр (фильм),Иван Охлобыстин,1992
"Анима мунди (фильм, 1992)",Годфри Реджио,1992
Стремление к небесам,,
Ангел с ружьём,,
Американцы (фильм),Джеймс Фоули,1992
Америкэн бой,Борис Квашнёв,1992
Быстрые перемены,Ховард Франклин,1990
Амитивилль 6: Проклятые часы,Тони Рэндл,
"Быстрее ветра (фильм, 1990)",,1990
Беглый огонь (фильм),Дуайт Литтл,1992
Большая заваруха,Улли Ломмель,1990
Большой Джон (фильм),Берт Кеннеди,
Бумажная маска,,1990
Бой драконов,Уоррен Стивенс,1990
Бог игроков,,
Бесконечная история 2,Джордж Т. Миллер,1990
Бог азартных игроков 2,,1990
Берег спасения,Арья–Жав Дашиев,1990
Белые флаги (фильм),Гига Лордкипанидзе,1990
Бей и жги,Чарлз Бэнд,1990
Белый дворец (фильм),,1990
Битва трёх королей (фильм),Сухейль бен Барка,1990
Без ума от тебя (фильм),Лоренцо Доумани,1990
Барокко (фильм),,
Без защиты,Мартин Кэмпбелл,1990
Безжалостный 2 (фильм),,
Балаган (фильм),Андрей Бенкендорф,1990
Блюз о лучшей жизни,Спайк Ли,1990
"Аферисты (фильм, 1990)",Всеволод Шиловский,1990
"Бабник (фильм, 1990)",Анатолий Эйрамджан,1990
"Архангел (фильм, 1990)",Гай Мэддин,1990
Ангел тьмы,Крэйг Р. Бэксли,1990
Бакенбарды (фильм),Юрий Мамин,1990
"Адреналин (фильм, 1990)",Анита Ассаль,1990
"Белый охотник, чёрное сердце",Клинт Иствуд,1990
Ангел за моим столом,Джейн Кэмпион,1990
Арахнофобия (фильм),Фрэнк Маршалл,1990
"Адвокат (фильм, 1990)",Искандер Хамраев,1990
Автостоп (фильм),Никита Михалков,1990
Берег чести,Майкл Спенс,1991
"Авария (фильм, 1990)",Джеймс Аллен,1990
Бездельник (фильм),Ричард Линклейтер,
Бездомные твари,Джон Макферсон,1991
Безжалостная женщина,Леа Пул,1991
"Бесконечность (фильм, 1991)",Марлен Хуциев,1991
Безумная Лори,Леонид Нечаев,1991
Без правосудия,,1991
"Белый Клык (фильм, 1991)",Рэндал Клайзер,1991
Без дочери — никогда,Брайан Гилберт,1991
Бегущий индеец,Шон Пенн,1991
Беги,Джофф Барроус,1991
Белый викинг,Храбн Гюднлёйгссон,1991
Афганец (фильм),Владимир Мазур,1991
Бабочки (фильм),Андрей Малюков,1991
Атомная школа 2,,
Атлантис (фильм),Люк Бессон,1991
Арифметика убийства,Дмитрий Светозаров,1991
Афганский излом,Владимир Бортко,1991
Армавир (фильм),Вадим Абдрашитов,1991
Багси,Барри Левинсон,1991
Ангельские глазки (фильм),Роберт Хармон,1991
Анна Карамазофф,Рустам Хамдамов,1991
Аллигатор 2: Мутация,Джон Хесс,1991
Американский ниндзя 4: Разрушение,Седрик Сандстром,1991
Августовская рапсодия,Акира Куросава,1991
"Абраксас, хранитель Вселенной",Дэмьен Ли,1991
Агенты КГБ тоже влюбляются,Себастьян Аларкон,1991
Австрийское поле,Андрей Черных,1991
А как же Боб?,Фрэнк Оз,1991
"29-я улица (фильм, 1991)",Джордж Галло,1991
В дрейфе,Кристиан Дюгей,1993
В плену песков,,
Бронксская повесть,Роберт де Ниро,1993
В поисках Бобби Фишера,Стивен Заиллян,1993
Бартон Финк,Братья Коэн,1991
"Агент (фильм, 1991)",Аарон Норрис,1991
"Братья по крови (фильм, 1993)",Брюс Питтман,1993
Бофа!,Морган Фримен,1993
Блю,Дерек Джармен,1993
"Богомол (фильм, 1993)",Джеймс Кич,1993
"Абдулладжан, или Посвящается Стивену Спилбергу",Зульфикар Мусаков,1991
Благотворительный бал (фильм),Эфраим Севела,1993
Бешеный пёс и Глория,Джон МакНотон,1993
Бессловесная жертва,Менахем Голан,1993
Бетховен 2,,1993
"Бесстрашный (фильм, 1993)",Питер Уир,1993
Бесплатные деньги,Рамон Менендез,1993
Босоногий,Джонни То,1993
Безумный день у матушки,Доменник Шеминаль,1993
Безжалостный 3,Джеймс Леммо,1993
Белые волки: Крик дикой природы 2,Кэтрин Киран,1993
"Бездна, круг седьмой",,
"Три дня (фильм, 1991)",Шарунас Бартас,1991
Безбрежное Саргассово море,Джон Дайган,1993
Повелитель зверей 2: Сквозь врата времени,,1991
Бенни и Джун,Джеремайя С. Чечик,1993
"Яд (фильм, 1991)",Тодд Хейнс,1991
Кукольный человек (фильм),Альберт Пьюн,
Неоновый город,Монте Маркхэм,1991
Волшебная сказка (мультфильм),,
Времена сердца,Ли Грант,1994
Восхождение тёмного ангела,Линда Хассани,1994
Терминатор 2: Судный день,Джеймс Кэмерон,1991
"Ворон (фильм, 1994)",Алекс Пройас,1994
Волшебное приключение Эвы,Патрик Демпси,1994
"Волк (фильм, 1994)",Майк Николс,
Возлюбленная с каменным сердцем,,1994
Воин племени шайеннов,Марк Гриффитс,1994
"Воровка (фильм, 1994)",Валерий Усков,1994
"Волшебник Изумрудного города (фильм, 1994)",Павел Арсенов,1994
"Война пуговиц (фильм, 1994)",,1994
Возвращение бога игроков,,1994
Вин-Чун (фильм),Юнь Вопхин,1994
Влюблённый гробовщик,Микеле Соави,1994
Вечеринка с выстрелами по ногам (фильм),Аннетт Хэйвуд-Картер,
Ваня на 42-й улице,Луи Маль,1994
"Версия Браунинга (фильм, 1994)",Майк Фиггис,1994
Вдвоём,Эндрю Кьярамонте,1994
"Дикий Билл (фильм, 1995)",Уолтер Хилл,
Великая криминальная революция,Станислав Говорухин,1994
Вдовья гора,Джон Ирвин,1994
Джонни-мнемоник,Роберт Лонго,1995
Джуманджи (фильм),Джо Джонстон,1995
Детки (фильм),Ларри Кларк,1995
"Война (фильм, 1994)",Джон Эвнет,1994
Джеффри (фильм),,1995
Джефферсон в Париже,Джеймс Айвори,1995
"Деревня проклятых (фильм, 1995)",Джон Карпентер,
Дестини включает радио,,
День зверя,Алекс де ла Иглесия,1995
Дети кукурузы 3: Городская жатва,Джеймс Д.Р. Хикокс,1995
Девушка с голодными глазами,,1995
Дельта Венеры (фильм),Залман Кинг,1995
Денежный поезд (фильм),Джозеф Рубен,1995
Дела в Нью-Джерси,,1995
"Девять месяцев (фильм, 1995)",Крис Коламбус,1995
"Дама с камелиями (фильм, 1995)",Ежи Антчак,1995
Двое — это слишком,Фернандо Труэба,1995
Двое: Я и моя тень,Энди Теннант,1995
Гэрл Гайд,Юлиуш Махульский,1995
Гусар на крыше,Жан-Поль Раппно,1995
Ирма Веп (фильм),Оливье Ассаяс,1996
Две влюблённые девушки,Мария Маженти,1995
Давилка (фильм),,1995
Иногда они возвращаются… снова,,1996
Итальянские любовники,Джозеф Болонья,1996
Индиец (фильм),,1996
Извращённая страсть,Крэйг Баксли,
Индийский наследник английской семьи,,1996
Импотент (фильм),Анатолий Эйрамджан,1996
Зловещая луна,,1996
"Земля (фильм, 1996)",Хулио Медем,1996
Записки у изголовья (фильм),Питер Гринуэй,1996
Из ада в ад,Дмитрий Астрахан,1996
"Звезда шерифа (фильм, 1996)",Джон Сэйлз,1996
"Замена (фильм, 1996)",,1996
Мистер Магу,Стенли Тонг,1997
Мистер Бин (фильм),Мэл Смит,1997
Мистер Крутой,,1997
Миротворец (фильм Форестье),Фредерик Форестье,1997
Звёздный путь: Первый контакт,Джонатан Фрэйкс,1996
Мать и сын,Александр Сокуров,1997
Миротворец (фильм Ледер),Мими Ледер,1997
Маркиза (фильм),Вера Бельмон,1997
Мариус и Жаннетт (фильм),Робер Гедигян,1997
Место на кладбище,Пол Вейланд,1997
"Мама, не горюй",Максим Пежемский,1997
Запёкшаяся кровь,,1996
Маленькому Дитеру нужно летать,Вернер Херцог,1997
"Маленькая принцесса (фильм, 1997)",Владимир Грамматиков,1997
Любовь! Доблесть! Сострадание!,Джо Мантелло,1997
Люди в чёрном (фильм),Барри Зонненфельд,
Миссис Браун,Джон Мэдден,1997
Любовь в Париже,Энн Гурсо,1997
Любовь без слов,Ракеш Рошан,1997
"Любовь с первого взгляда (фильм, 1997)",Ларри Пирс,1997
Маленький Тони,Алекс ван Вармердам,1998
Маленький лекарь,Зульфикар Мусаков,1998
Любовь и смерть на Лонг-Айленде,,1997
Любовь и попса,Хидэаки Анно,
Любовники полярного круга,Хулио Медем,1998
Любовный треугольник (фильм),Джеймс Тобэк,1998
Любовь — это дьявол. Штрихи к портрету Ф. Бэкона,Джон Мэйбери,1998
"Любовное письмо (фильм, 1998)",,
"Любовь с первого взгляда (фильм, 1998)",Мани Ратнам,1998
"Любимая (фильм, 1998)",Джонатан Демми,1998
Луиза (дубль 2),Зигфрид,1998
Лучший из лучших 4: Без предупреждения,Филлип Ри,1998
"Ловушка для родителей (фильм, 1998)",Нэнси Мейерс,
Лос-Анджелес без карты,Мика Каурисмяки,1998
"Ливень (фильм, 1998)",Микаэль Саломон,1998
"Леший (фильм, 1998)",,
Легенда о пианисте,Джузеппе Торнаторе,1998
Легионер (фильм),Питер Макдональд,1998
"Лебединое озеро (фильм, 1998)",Вацлав Ворличек,1998
Курт и Кортни,,1998
"Арена (фильм, 1989)",Питер Манугиан,1989
Амитивилль 4: Зло спасается,,
Астенический синдром (фильм),Кира Муратова,1989
"Алхимик (фильм, 1989)",Яцек Копрович,
"Ад, или Досье на самого себя",Геннадий Беглов,1989
Австрийка (фильм),Пьер Гранье-Дефер,1989
Аптечный ковбой,Гас Ван Сент,1989
Авария — дочь мента,Михаил Туманишвили,
"1939 (фильм, 1989)",Йоран Кармбак,
"Малыш (фильм, 1997)",Джон Хэмилтон,1997
Американское сердце,Мартин Белл,1992
А был ли Каротин?,Геннадий Полока,
Американский самурай,Сэм Ферстенберг,1992
Американский ниндзя 3: Кровавая охота,Седрик Сандстром,1989
Американизируй меня,Эдвард Джеймс Олмос,1992
Алиса и Букинист,Алексей Рудаков,1992
Авторитет (фильм),Эрнест Дикерсон,1992
"22 июня, ровно в 4 часа…",Борис Галкин,1992
1492: Завоевание рая,Ридли Скотт,1992
1991: The Year Punk Broke,,
4 листа фанеры,Иван Гаврилюк,1992
Агент по имени Далила,Ричард Франклин,1992
Аккомпаниаторша,Клод Миллер,1992
"Аляска, сэр!",Вячеслав Ребров,1992
Общество (фильм),Брайан Юзна,1989
Эксперты (фильм),Дэйв Томас,
"Чёрная роза — эмблема печали, красная роза — эмблема любви",Сергей Соловьёв,1989
Эрик-викинг,Терри Джонс,1989
Часовщик и курица,,
Смертельное оружие 2,Ричард Доннер,1989
Лицензия на убийство,Джон Глен,1989
"Фирма (фильм, 1989)",,
Месть Аль Капоне,Майкл Прессман,
"Слон (фильм, 1989)",Алан Кларк,
Софья Петровна (фильм),Аркадий Сиренко,1989
"Пир (фильм, 1989)",Марко Феррери,
Меня зовут Билл У.,Дэниел Петри,
"Забытые (телефильм, 1989)",,
Майк Хаммер: Цепь убийств,,
Вокруг света за 80 дней (мини-сериал),,
Убийство в лунном свете,,1989
Братство розы,,
Леди и разбойник,Джон Хаф,
Чужой 3,Дэвид Финчер,1992
"Франкенштейн (фильм, 1992)",Дэвид Уикес,
Хихикающий доктор,Мэнни Кото,1992
Псих на мотоцикле,,1992
Телефон дьявола 2,Джим Уайнорски,1992
Сурьяванши,,1992
Спящий лагерь 4,,
"Прикосновение (фильм, 1992)",Альберт Мкртчян,1992
"Пляска смерти (фильм, 1992)",Грейдон Кларк,1992
Привет с дороги в ад,Эйт Де Йонг,1992
"Паук (фильм, 1992)",Василий Масс,1992
Кэндимэн (фильм),Бернард Роуз,1992
Невыразимый ужас 2,Жан-Пол Уеллетт,1993
Существо в корзине 3: Потомство,Фрэнк Хененлоттер,1992
"Лунатики (фильм, 1992)",Мик Гаррис,1992
Эдди Пресли,,1992
Мир иной (фильм),Дэвид Шмеллер,
Созвездие Козлотура (фильм),Мартирос Фаносян,1989
Невероятный Халк: Испытание,Билл Биксби,
Султан Бейбарс (фильм),Булат Мансуров,1989
Не сошлись характерами (фильм),Николай Александрович,1989
Несрочная весна (фильм),Владимир Толкачиков,
Руанская дева по прозвищу Пышка,Евгений Гинзбург,1989
Чувствительный милиционер,Кира Муратова,1992
Не покидай…,Леонид Нечаев,1989
Визит дамы,Михаил Козаков,
"Чао, профессор",Лина Вертмюллер,1992
"Удачи вам, господа!",Владимир Бортко,1992
Цю Цзюй обращается в суд,Чжан Имоу,1992
Хозяйка дома,Фрэнк Оз,1992
Тихушники,Фил Олден Робинсон,1992
"Только ты (фильм, 1992)",Бетти Томас,1992
Ти-боун и Уизел,Льюис Тиг,1992
Трактористы 2,Глеб Алейников,1992
Стой! Или моя мама будет стрелять,Роджер Споттисвуд,1992
Хочу вашего мужа,Сергей Никоненко,1992
Там ничего нет,Рольф Канефски,1992
Старая каналья,Жерар Журдуи,1992
Статья 99,Ховард Дойч,1992
Совсем как женщина,Кристофер Монгер,1992
Спаси меня (фильм),Артур Аллан Сайделман,1992
Сам я — вятский уроженец,Виталий Кольцов,1992
Смерть ей к лицу,Роберт Земекис,1992
Сила веры (фильм),Ричард Пирс,1992
Ребёнок к ноябрю,Александр Павловский,1992
Три ниндзя,Джон Тёртелтауб,1992
"Противоположный пол, и как с ним жить",Мэттью Мешекофф,1992
Ради ребёнка,,1992
Полицейская история 3: Суперполицейский,,1992
Человек кусает собаку,Реми Бельво,1992
Разговор начистоту,Барнет Келлман,1992
"Простые люди (фильм, 1992)",Хэл Хартли,1992
Побег из Нормала,Эдвард Цвик,
Планета любви,Джон Раймэн,1992
Перстень мушкетёров,Джон Парагон,1992
Пирожки тётушки Ли с мясной начинкой,Джозеф Робертсон,1992
Однажды преступив закон,Юджин Леви,1992
Оставайтесь с нами,Питер Хайамс,
Патриотическая комедия,Владимир Хотиненко,
Параллельный мир (фильм),Ральф Бакши,
Пендаль привидению,Саммо Хун,1992
"Одиночки (фильм, 1992)",Кэмерон Кроу,1992
"Рождество в Коннектикуте (фильм, 1992)",Арнольд Шварценеггер,1992
Один дома 2: Потерявшийся в Нью-Йорке,Крис Коламбус,1992
Оголённый провод,Грегг Араки,1992
Пересекая мост,Майк Байднер,1992
Новый Одеон,Анатолий Эйрамджан,1992
Неестественные поиски (фильм),Кристофер Морахан,
Наш конёк — большие деньги,Джеймс Леммо,1992
"На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди",Леонид Гайдай,
Мужчина этажом выше,Джордж Шэфер,1992
Мой кузен Винни,Джонатан Линн,1992
Мой новый пистолет,,1992
Недоумки,Деннис Дуган,1992
Могучие утята (фильм),Стивен Херек,1992
"Навсегда (фильм, 1992)",Томас Палмер мл.,1992
Менялы (фильм),Георгий Шенгелия,
Месть полудурков 3: Следующее поколение,,1992
Мир Уэйна,Пенелопа Сфирис,1992
Мистер субботний вечер,Билли Кристал,1992
Ниндзя-драконы,Джозеф Мерхай,1992
Музей восковых фигур 2: Затерянные во времени,Энтони Хикокс,1992
"Медуза, как быть честной",Джули Браун,1992
Медовый месяц в Лас-Вегасе,Эндрю Бергман,1992
Манчи,Джим Уайнорски,1992
Любовный напиток № 9,,
Любовь без памяти,,1992
"Мама и папа, спасите мир!",,
Летние товарищи,Томми Ли Уоллес,
"Младшая сестра (фильм, 1992)",Джимми Зилингер,1992
Филадельфийский эксперимент 2,Стивен Корнуэлл,1993
Универсальный солдат,Роланд Эммерих,1992
Поворот винта (фильм),Русти Леморанд,1992
На опасной волне,Тед Николау,1992
Тысячелетие (фильм),Майкл Андерсон,1989
Маленький гигант большого секса,Николай Досталь,1992
"Поток (фильм, 1989)",Стивен Лисбергер,1989
Леоло,Жан-Клод Лозон,1992
Похищение чародея (фильм),Виктор Кобзев,1989
"Трудно быть богом (фильм, 1989)",,1989
Посетитель музея,Константин Лопушанский,1989
Ловушка на луне,,1989
Считанные секунды,Тони Мэйлэм,1992
"Частный детектив, или Операция «Кооперация»",Леонид Гайдай,
Шансы есть,Эмиль Ардолино,1989
"Чудеса (фильм, 1989)",Джеки Чан,1989
Ширли Валентайн (фильм),Льюис Гилберт,1989
Флетч жив,Майкл Ритчи,
Ультравысокая частота (фильм),Джей Леви,1989
Шофёр мисс Дэйзи,Брюс Бересфорд,1989
Уж кто бы говорил,Эми Хекерлинг,1989
Танго и Кэш,Альберт Магноли,1989
Уикенд у Берни,Тед Котчефф,1989
Долина папоротников: Последний тропический лес,,
"Смерч (фильм, 1989)",,
"Счастливы вместе (фильм, 1989)",,1989
Скажи что-нибудь,Кэмерон Кроу,1989
Светлая личность (фильм),Александр Павловский,1989
Рота Беверли-Хиллз,Джеф Кэнью,1989
Розовый кадиллак,,1989
Смертельное влечение,Майкл Леманн,
"Рождественские каникулы (фильм, 1989)",Джеремайя Чечик,1989
"Семейный бизнес (фильм, 1989)",Сидни Люмет,1989
"Родители (фильм, 1989, США)",Рон Ховард,1989
Тёрнер и Хуч,Роджер Споттисвуд,1989
Рикша (фильм),Саммо Хун,1989
Мистер бейсбол,Фред Скеписи,1992
Рабы Нью-Йорка,Джеймс Айвори,1989
Таинственный поезд,Джим Джармуш,1989
Преступления и проступки,Вуди Аллен,1989
Поднять максимальные ставки,,1989
Подружка из ада (фильм),Дэн Петерсон,1989
Предместье (фильм),Джо Данте,1989
Плюшка (фильм),Сьюзан Сайделмэн,1989
Познакомьтесь с Фиблами,Питер Джексон,
"Пенн и Теллер: Сделай так, чтоб тебя убили",Артур Пенн,1989
Полицейская академия 6: Город в осаде,Питер Бонерз,1989
"Папа (фильм, 1989)",,1989
Ночи Гарлема,Эдди Мёрфи,1989
"Оно (фильм, 1989)",Сергей Овчаров,1989
"Ничего не вижу, ничего не слышу",Артур Хиллер,1989
Невероятная истина,Хэл Хартли,1989
Невероятные приключения Билла и Теда,Стивен Херек,1989
Нью-йоркские истории,Вуди Аллен,1989
Похитители мыла,Маурицио Никетти,1989
"Наверное, боги сошли с ума 2",Джэми Уйс,1989
Небылицы про Ивана,Борис Ивченко,1989
"Мы не ангелы (фильм, 1989)",Нил Джордан,1989
Маленькие чудовища,,
Призраки этого не делают,Джон Дерек,1989
Мисс Фейерверк,,1989
Она неуправляема,,
Лёгкие колёса,,1989
Кто такой Гарри Крамб?,,1989
Ленинградские ковбои едут в Америку,Аки Каурисмяки,1989
Назад в будущее 2,Роберт Земекис,
Улица Поперечная (фильм),Ивар Селецкис,
Человек-краб с Марса,Стэнли Шефф,
"Электрошок (фильм, 1989)",Уэс Крэйвен,1989
"Чёрный кот (фильм, 1989)",Луиджи Коцци,1989
Ужас Паганини,Луиджи Коцци,1989
Медвежатники,Билл Форсайт,1989
Токсичный мститель 3: Последнее искушение Токси,Майкл Херц,1989
Токсичный мститель 2,Майкл Херц,1989
