title,ganre,director,country,year
Татуированная роза (фильм),,Дэниэл Манн,,1955
Тарантул (фильм),,Джек Арнольд,,1955
Пять ружей Запада,,Роджер Корман,,
"Стукач (фильм, 1955)",,Гарольд Д. Шустер,,1955
Секреты Нью-Йорка,,Расселл Раус,,1955
Страх бури,,Корнел Уайлд,,1955
Пятеро против казино,,Фил Карлсон,,1955
Пуля для Джои,,Льюис Аллен,,1955
Принц игроков,,,,
"Поцелуй убийцы (фильм, 1955)",,Стэнли Кубрик,,1955
Поймать вора,,Альфред Хичкок,,1955
Плохой день в Блэк-Роке,,Джон Стёрджес,,1955
Юля-капризуля,,Всеволод Щербаков,,
"Побег (фильм, 1955)",,Льюис Р. Фостер,,1955
Пикник (фильм),,Джошуа Логан,,1955
Покорение космоса,,Байрон Хэскин,,
Парни и куколки (фильм),,Джозеф Манкевич,,1955
Ночью правит террор,,Эндрю Л. Стоун,,
Паутина преступления,,Натан Юран,,1955
"Оклахома! (фильм, 1955)",,Фред Циннеман,,1955
Пересечь шесть мостов,,Джозеф Певни,,1955
Новый Орлеан без цензуры,,Уильям Касл,,1955
Мунфлит,,Фриц Ланг,,
Нагая улица,,Максвелл Шейн,,1955
Мистер Робертс (фильм),,"Джон Форд,Мервин Лерой",,1955
Неприятности с Гарри,,Альфред Хичкок,,1955
Месть Твари,,Джек Арнольд,,1955
Марти (фильм),,Делберт Манн,,1955
Любовь — самая великолепная вещь на свете,,Генри Кинг,,
Люби меня или покинь меня,,Чарльз Видор,,1955
"Лето (фильм, 1955)",,Дэвид Лин,,
Леди Годива из Ковентри,,,,
Легенда Рокабей Пойнта,,Текс Эйвери,,
Упрямое тесто,,Владимир Дегтярёв,,
Леди и Бродяга,,,,
Левая рука Бога,,Эдвард Дмитрык,,1955
К востоку от рая (фильм),,Элиа Казан,,1955
Кафе на 101-й улице,,Эдвард Дейн,,1955
Индейский воин,,Андре де Тот,,
История в Феникс-сити,,Фил Карлсон,,1955
Зуд седьмого года,,Билли Уайлдер,,1955
Золотой приз (фильм),,Марк Робсон,,1955
Женщина без мужчин,,Франклин Адреон,,1955
Это что за птица?,,Евгений Мигунов,,
Храбрый заяц,,Иван Иванов-Вано,,
Трубка и медведь,,Александр Иванов,,
Стёпа-моряк,,"Валентина,Зинаида Брумберг",,
Снеговик-почтовик,,Леонид Амальрик,,
Петушок — золотой гребешок (мультфильм),,"Пётр Носов,Дмитрий Анпилов",,
Четыре монеты,,Григорий Ломидзе,,
"Пёс и кот (мультфильм, 1955)",,Лев Атаманов,,
Ореховый прутик,,Иван Аксенчук,,
Необыкновенный матч,,,,
Мишка-задира,,Пётр Носов,,
Баллада о столе,,"Михаил Калинин,Роман Давыдов",,
Остров ошибок,,"Валентина,Зинаида Брумберг",,
Дьявольские куколки-подростки,,,,1955
Заколдованный мальчик,,,,
Дом из бамбука,,Сэмюэл Фуллер,,1955
Девушка в розовом платье,,Ричард Флейшер,,1955
"Длинноногий папочка (фильм, 1955)",,Жан Негулеско,,1955
Джо Макбет,,Кен Хьюз,,1955
Джентльмены женятся на брюнетках,,Ричард Сэйл,,
"День, когда Земле пришёл конец (фильм, 1955)",,Роджер Корман,,
"Двойная опасность (фильм, 1955)",,Р. Г. Спрингстин,,1955
Город теней,,Уильям Уитни,,
"Глубокое синее море (фильм, 1955)",,Анатоль Литвак,,1955
Внезапная опасность,,Хьюберт Корнфилд,,1955
Большой нож,,Роберт Олдрич,,1955
Большой ансамбль (фильм),,Джозеф Х. Льюис,,1955
"Всё, что дозволено небесами",,Дуглас Сирк,,
Бунтарь без причины,,Николас Рэй,,1955
Большая наводка,,Фрэнк Макдональд,,1955
"Беззаконие (фильм, 1955)",,Льюис Аллен,,1955
Адский остров,,Фил Карлсон,,1955
Наполеон: путь к вершине,,Саша Гитри,,1955
Лола Монтес (фильм),,Макс Офюльс,,1955
Длинные зубы,,,,1955
Герои устали,,Ив Сиампи,,1955
Мужские разборки,,Жюль Дассен,,1955
Невыносимый господин Болтун,,Андрэ Юнебель,,1955
"День добрый, улыбка",,Клод Соте,,1955
"Аристократы (фильм, 1955)",,Дени де Ла Пательер,,
Банковский билет в миллион фунтов стерлингов,,Рональд Ним,,1954
"Большие манёвры (фильм, 1955)",,Рене Клер,,1955
Молодые годы королевы,,Эрнст Маришка,,1954
Женские грёзы,,Ингмар Бергман,,1955
Эрнст Тельман — сын своего класса,,Курт Метциг,,
"Рассвет (фильм, 1954)",,Виктор Туржанский,,1954
Канарис (фильм),,Альфред Вайденман,,1954
Чудовищный снежный человек,,Исиро Хонда,,1955
"Сёстры (фильм, 1955)",,Миёдзи Иэки,,
Мистер Аркадин,,Орсон Уэллс,,1955
"Плывущие облака (фильм, 1955)",,Микио Нарусэ,,1955
Дети балета,,Астрид Хеннинг-Енсен,,1954
Улыбки летней ночи,,Ингмар Бергман,,1955
"Сверстники (фильм, 1955)",,Хэйноскэ Госё,,1955
Окровавленное копьё на горе Фудзи,,Тому Утида,,
Новая повесть о доме Тайра,,Кэндзи Мидзогути,,
Пока не взошла луна,,Кинуё Танака,,
Повесть о храме Сюдзэндзи,,Нобору Накамура,,
Tom and Chérie,,"Уильям Ханна,Джозеф Барбера",,
Smarty Cat,,"Джозеф Барбера,Уильям Ханна",,
Pecos Pest,,"Джозеф Барбера,Уильям Ханна",,
От сердца к сердцу,,Миёдзи Иэки,,
Designs on Jerry,,"Джозеф Барбера,Уильям Ханна",,
"Скотный двор (мультфильм, 1955)",,"Джон Хэлас,Джой Бэтчелор",,
Один лягушачий вечер,,Чак Джонс,,
Когда любишь,,"Кодзабуро Ёсимура,Тадаси Имаи,Сацуо Ямамото",,
Зелёная музыкальная шкатулка,,Умэцугу Иноуэ,,
"Волки (фильм, 1955)",,Канэто Синдо,,
Принцесса Канарская,,,,
Здесь есть источник,,Тадаси Имаи,,
Самурай 2: Дуэль у храма,,Хироси Инагаки,,1955
"Пляж (фильм, 1954)",,Альберто Латтуада,,1954
Один день в суде,,Стено,,1954
Ёкихи (фильм),,Кэндзи Мидзогути,,1955
Далёкие облака,,Кэйсукэ Киносита,,
Дневник полицейского,,Сэйдзи Хисамацу,,
Годзилла снова нападает,,Мотоёси Ода,,
Золото Неаполя,,Витторио Де Сика,,1954
"Дорога (фильм, 1954)",,Федерико Феллини,,1954
Где свобода?,,Роберто Росселлини,,1954
Под фригийской звездой,,Ежи Кавалерович,,1954
Недалеко от Варшавы,,Мария Каневская,,1954
Автобус отходит в 6.20,,Ян Рыбковский,,1954
Школа мужества,,,,1954
"Шведская спичка (фильм, 1954)",,Константин Юдин,,1954
