"Химера (фильм, 2023)",драма,,,
Любо (фильм),драматический фильм,,,
"Объясни мне, любовь","биографический фильм,драматический фильм",,,"19 октября,26 октября"
Путь Халимы,военная драма,,,
Дворец (фильм),комедийная драма,,,
Большая колесница,драматический фильм,,,13 сентября
Небриллиантовая рука,"комедия,кинопародия,музыкальный фильм",,,
Стражи Галактики: Праздничный спецвыпуск,"приключенческий,боевик,рождественский фильм,научно-фантастическая комедия,супергероика",,,
СамоИрония судьбы,"комедия,пародия,мюзикл",,,
Чёрное море (телесериал),"боевик,военный",,Россия,
Осло (фильм),,,США,
Ночной оборотень (спецвыпуск),"боевик,приключения,фэнтези,ужасы,супергероика",,,
Шторм (телесериал),драма,,,
Интервью с Путиным,"документальный,фильм-интервью",,США,
Наследники 2,"мюзикл,фэнтези,подростковый фильм",,,
Вселенная Человека-паука от Sony,,,США,
The Massively Mixed-Up Middle School Mystery,,,,
Ужасающий (серия фильмов),,,,
Команда Тора,"псевдодокументалка,короткометражка,комедия,научное фэнтези,супергероика",,,
Tatort: Die Kunst des Krieges,криминальный фильм,,Австрия,4 сентября
Плохие парни 2 (мультфильм),"комедия,криминал,приключения,семейный",,,
title,genre,director,country,year
Спасатели (мультфильм),"комедийная драма,приключения",,,
U2 3D,"концерт,рок-музыка",,,
Хранители (фильм),"супергеройский фильм,экшн,научная фантастика,альтернативная история,триллер",,,
Я — легенда (фильм),"постапокалиптический,остросюжетный боевик",,,
Чарли и шоколадная фабрика (фильм),"музыкальная,фантастическая,комедия",,,
Трансформеры: Месть падших,"научно-фантастический,боевик,альтернативный рок,музыка к фильму",,США,2009
Полярный экспресс,"фэнтезийный фильм,рождественский фильм,приключенческий фильм,детский фильм,экранизация книги,семейный фильм,мультфильм",,,
Гарри Поттер и узник Азкабана (фильм),"приключенческий фильм,фэнтези,детективный фильм",,,
Роботы (мультфильм),"фантастика,комедия,драма",,США,
Фантастическая четвёрка: Первые шаги,"супергероика,боевик,научная фантастика",,,
Feeding Sea Lions,немое кино,,,
Clowns Spinning Hats,"немое кино,Фильм о цирке",,,
Что видно в телескоп,комедия,,,
"Человек-оркестр (фильм, 1900)",комедия,,,
"Фауст и Маргарита (фильм, 1900)",фэнтези,,,
Современный спиритуализм,немое кино,,,1900
Самый невозможный способ лечь спать,"фантастика,комедия",,,1900
Разбор руин в Галвестоне в поисках мёртвых тел,документальный фильм,,,
Позволь мне снова помечтать,,,,
Очарованный рисунок,"мультипликационный фильм,комедия",,,
Озадаченный Шерлок Холмс,"детективный фильм,комедия,мистика",,,
Нападение на миссию в Китае,драма,,,
Шея (фильм),"исторический фильм,боевик,драматический фильм",,Япония,
"Персонаж (фильм, 2021)","триллер,фильм ужасов",,,
Psycho-Pass 3: First Inspector,"аниме,детектив,антиутопия,киберпанк,триллер",,,
Фукусима (фильм),Фильм-катастрофа,,,
Тайная жизнь пингвинов,"фэнтези,приключения,драма",,,
Магазинные воришки,драма,,Япония,
Тетрадь смерти: Свет нового мира,"психологический триллер,мистика,детектив",,,
Счастлив ли человек высокого роста?,документальный фильм,,,
Господин Иллюминатор,,,,
Проклятые: Противостояние,фильм ужасов,,,
Блэки летит на Луну,комедия,,,
Букашки. Приключение в Долине муравьёв,,,,
Котик и петушок (мультфильм),,,,
Три кота: Зимние каникулы,"комедия,приключения,семейный",,,
10 жизней,"мультфильм,комедийный фильм",,,
Иммигранты (мультфильм),комедия,,,
Water Babies,,,,
Broken Toys,"комедия,семейный,мюзикл",,,
,"приключения,научная фантастика,меха",,,
Последний единорог (мультфильм),фэнтези,,,
,"космическая опера,приключения,Патинко",,,
,"приключения,фантастика,меха,космическая опера",,,
,повседневность,,,
,"комедия,повседневность",,,
,"приключения,комедия,сёдзё,сёнэн-ай",,,
,"научная фантастика,мистика,приключения",,,
,"приключения,комедия,визуальный роман",,,
,"меха,боевик,драма,научная фантастика",,,
Спермагеддон,"мюзикл,комедия",,,
Соник 3 в кино,"приключения,боевик,комедия",,8,
Моана 2,"мюзикл,приключения",,,
Финник,"приключения,мультфильм",,,
Angry Birds в кино,"комедия,приключения,семейный фильм,боевик,Музыка к фильму,Поп,рок,кантри,хип-хоп,электронная музыка",,США,
"Экипаж (фильм, 2016)","фильм-катастрофа,приключения,драма,триллер",,Россия,2016
,романтическая комедия,,,
"Эволюция (мультфильм, 2015)","приключения,комедия",,,
Zомби каникулы,"зомби-комедия,трэш",,,2013
G.I. Joe: Бросок кобры 2,"фантастика,боевик,приключения,супергероика",,,
Metallica: Сквозь невозможное,"музыкальный фильм,хеви-метал,трэш-метал",,США,
Черепашки-ниндзя 2,"боевик,фантастика,комедия",,,
Cirque du Soleil: Сказочный мир,"фэнтези,семейный фильм,приключенческий фильм",,,
,"Приключения,боевик",,,
Шаг вперёд 4,"драма,мелодрама,музыка",,,
Цунами 3D,"фильм ужасов,триллер,фильм-катастрофа",,,
Хранители снов,"приключения,фэнтези,Музыка к фильму",,США,
Храбрая сердцем,фэнтези,,,
Хоббит: Нежданное путешествие,"эпическое фэнтези,приключения,музыка к фильму,симфоническая музыка",,,2012
Франкенвини (мультфильм),"ужасы,комедия,драма",,,
Судья Дредд 3D,"антиутопия,фантастика,боевик,супергероика",,,
Уличные танцы 2,"мелодрама,музыка",,,
Сайлент Хилл 2 (фильм),"ужасы,1,2,готика,сверхъестественное,3",,,
Аватар 4,"эпический фильм,научная фантастика,боевик,приключения,фэнтези",,,2029
Ржевский против Наполеона,комедия,,,
Ральф (мультфильм),"комедия,фэнтезийный фильм,19,комедийный фильм,20,21,[…],кроссовер,комедийная драма,научно-фантастический фильм,семейный фильм,приключенческий фильм",,США,
Мстители: Секретные войны,"супергероика,боевик,фантастика",,,
Бэтмен. Часть 2,супергеройский фильм,,,
One Direction: Это мы,"документальный фильм,музыкальный фильм",,,
Путешествие 2: Таинственный остров,"приключения,комедия",,,
"Снежная королева (мультфильм, 2012)","приключенческий фильм,семейный фильм,сказка",,,
"Прометей (фильм, 2012)",научная фантастика,,,
Президент Линкольн: Охотник на вампиров,"боевик,фэнтези,фильм ужасов,триллер",,,
Пираты! Банда неудачников,Комедия,,,
"Паранорман, или Как приручить зомби","приключения,комедия,семейный,фэнтези",,США,
Обитель зла: Возмездие,боевик ужасов,,,
От винта 3D,"сказка,приключения,комедия",,,
Проклятье 3D,"фильм ужасов,про монстров",,Япония,
Фантастические твари: Тайны Дамблдора,"фэнтезийный фильм,приключенческий фильм,семейный фильм,драматический фильм",,,
Чёрная пантера: Ваканда навеки,"супергероика,боевик,научная фантастика,драма",,,2022
Хищные птицы: Потрясающая история Харли Квинн,"супергероика,1,боевик,1,приключения,1,криминал,1,чёрная комедия",,,
Ночь живых мертвецов: Начало,фильм ужасов,,,
Вперёд (мультфильм),"городское фэнтези,приключения,комедия",,,
"Призрак в доспехах (фильм, 2017)","киберпанк,боевик",,США,"30 марта,2017,5,6,30 марта,2017,7"
"Проклятие (фильм, 2020)",фильм ужасов о сверхъестественном,,,
Шазам!,"супергероика,боевик,фэнтези,комедия",,,
Глубоководный горизонт,"фильм-катастрофа,боевик,триллер,драма",,,
Оно 2,фильм ужасов о сверхъестественном,,США,
Лего Фильм: Ниндзяго,"боевик,комедия,приключения,семейный фильм",,,
Звёздные войны: Скайуокер. Восход,"эпическая,космическая опера",,,
Мстители: Финал,"супергероика,боевик,технофэнтези,приключения,драма",,,
Годзилла 2: Король монстров,"фантастика,боевик,приключения,фильм о монстрах",,,"2019,Годзилла,Годзилла (MonsterVerse),Ангирус,Барагон,Баттра,Биолланте,Варан,Габара,Гайган,Горозавр,Зилла,Гэзора,Камоэбас,Камакурас,Кинг-Конг,Кинг Сизар,Кумонга,Магума,Малыш Годзилла,Манда,Мехагодзилла,Мегалон,Мегагирус,Меганулы,Минилла,Могера,Мотра,Титанозавр,Орга,Родан,Космо-Годзилла,Монстр X,Разрушитель,Шокилас,Годзиллазавр,Меха-Гидора,Джет Ягуар,Оодако,Оокондору,Ганимес,Хэдора,Чудовище Франкенштейна,Гайра,Санда,ГННУС,Мотра,Годзилла,Ангирус,Барагон,Баттра,Варан,Гайган,Горозавр,Камоэбас,Камакурас,Кинг Гидора,Кинг Сизар,Кумонга,Манда,Мехагодзилла,Дез-Гидора,Дагара,Минилла,Могера,Родан,СпэйсГодзилла,Зилла,Хэдора"
Дитя погоды,"романтическая драма,фэнтези",,,
Промар,"приключения,меха",,,
Симпсоны: Мучительная продлёнка,комедия,,,
Алита: Боевой ангел,"антиутопия,боевик,киберпанк,симфоническая музыка,электронная музыка",,"США,2",
"Аладдин (фильм, 2019)","комедия,мюзикл,фэнтези,приключения,мелодрама",,,
Гемини (фильм),остросюжетный боевик,,,
Фантастические твари: Преступления Грин-де-Вальда,"фэнтези,приключения,семейный,детектив",,,
Ральф против интернета,комедия,,,
Первому игроку приготовиться (фильм),"фантастика,приключения",,,
Веном (фильм),"супергероика,боевик,научная фантастика,триллер",,,
Мстители: Война бесконечности,"супергероика,2,боевик,2,приключения,2,технофэнтези,2",,,
Бамблби (фильм),"научно-фантастический,боевик",,,
Топ Ган: Мэверик,"драматический боевик,Фантастика",,,2022
Морбиус (фильм),"супергероика,боевик,научная фантастика,драма,триллер,фильм о вампирах",,,
"Затерянный город (фильм, 2022)","приключения,экшн,комедия",,,
Суперсемейка 2,"приключения,боевик,комедия,семейный",,,
Доктор Стрэндж: В мультивселенной безумия,"супергероика,боевик,приключения,научное фэнтези,ужасов",,,
Мир юрского периода: Господство,"боевик,научная фантастика",,,
Базз Лайтер (мультфильм),"супергеройская фантастика,1,2,приключения,3,4,научная фантастика,5,6",,,
"Бэтмен (фильм, 2022)","драма,криминал,детектив,супергероика",,2,
Битва у острова Хансан,"история,военный,биография",,Южная Корея,2022
Шан-Чи и легенда десяти колец,"супергероика,боевик,приключения,технофэнтези,боевые искусства",,,2021
Анчартед: На картах не значится,"боевик,приключения",,,
"Чёрная вдова (фильм, 2021)","супергероика,шпионский боевик,научная фантастика,приключения",,,
Человек-паук: Нет пути домой,"супергероика,боевик,драма,технофэнтези",,,"2021,2022"
Форсаж 9,боевик,,,2021
Не время умирать,шпионский фильм,,,
Мортал Комбат (фильм),"боевые искусства,технофэнтези",,,
Круиз по джунглям,приключенческий фильм,,,
Главный герой (фильм),комедийный боевик,,США,
Побег из Могадишо,,,,
Вечные (фильм),"супергероика,боевик,драма,приключения,альтернативная история",,"США,7,8,[…]",2021
Веном 2,"супергероика,боевик,научная фантастика,триллер",,,2021
Босс-молокосос 2,"семейный,комедия,приключения,фэнтези",,,
Элементарно (мультфильм),"романтика,комедия,драма",,,
Шазам! Ярость богов,"супергероика,боевик,комедия,приключения,научное фэнтези",,,
Человек-муравей и Оса: Квантомания,"супергероика,боевик,научная фантастика",,,
Тролли. Группа в сборе,"комедия,приключения",,,"18 октября,2023,4,19 октября,2023,5,26 октября,2023,6,27 октября,2023,5,17 ноября,2023,5"
Стражи Галактики. Часть 3,"супергероика,боевик,приключения,космическая опера,комедийная драма",,,
Создатель (фильм),,,,
Пила 10,фильм ужасов,,,
"Русалочка (фильм, 2023)","мюзикл,романтическое фэнтези",,,
Три мушкетёра: Д’Артаньян,"боевик,история,приключения",,,
"Особняк с привидениями (фильм, 2023)","комедийный фильм ужасов,о сверхъестественном",,,
"Наполеон (фильм, 2023)","эпическая,историческая драма",,,
Мег 2: Бездна,"научно-фантастический,боевик",,,2023
Капитан Марвел 2,"супергероика,боевик,научная фантастика",,,
Изгоняющий дьявола: Верующий,"мистика,фильм ужасов",,,
"Луна (фильм, 2023)",научно-фантастический фильм,,Республика Корея,
Заветное желание,"мюзикл,фэнтези",,,
Голодные игры: Баллада о змеях и певчих птицах,"боевик,антиутопия",,,
Вонка (фильм),"мюзикл,фэнтезийная комедия",,,
Выжившие. Бетонная утопия,"фильм-катастрофа,фильм-триллер",,Республика Корея,"9 августа,2023,1"
Блуждающая Земля 2,"фильм-катастрофа,фантастика,триллер",,Китай,
Гран Туризмо (фильм),"спортивная,драма",,,2023
Проклятые воды,фильм ужасов о сверхъестественном,,,
"Эбигейл (фильм, 2024)",комедия ужасов,,,
Планета обезьян: Новое царство,"фантастика,боевик,приключения,драма",,,
Аргайл: Супершпион,"комедийный боевик,Музыка к фильму",,,
Новый Человек-паук,"супергероика,боевик,научная фантастика,приключения,драма",,,
"Мстители (фильм, 2012)","супергероика,боевик,научная фантастика,приключения",,,
Монстры на каникулах,"комедия,фэнтези,семейный",,,
Мадагаскар 3,"Мультипликация,Приключения,Комедия,Семейный,Саундтрек",,,
Люди в чёрном 3,"научно-фантастический,комедийный боевик",,,2012
Ледниковый период 4: Континентальный дрейф,"приключения,комедия",,,
"Лоракс (мультфильм, 2012)","мюзикл,фэнтезийная комедия",,,
Короли льда,"драма,семейный",,,
Кот в сапогах: Три дьяволёнка,"короткометражный,семейный,экшн,комедия",,,
Кэти Перри: Частичка меня,"музыкальный фильм,документальный фильм",,,
Жизнь Пи (фильм),"приключенческая,драма",,,
Замбезия (мультфильм),приключения,,,
Другой мир: Пробуждение,"боевик,4,5,[…],фильм-триллер,фильм ужасов,4,5,[…],girls with guns,фильм о вампирах,фэнтезийный фильм,фильм о вервольфах",,США,"2 февраля,2012,2,26 января,2012,3,2012"
Доспехи Бога 3: Миссия Зодиак,"приключенческий фильм,комедия,боевик",,,
Джон Картер (фильм),"фантастический,приключенческий боевик",,,
Дракула 3D,"мелодрама,триллер,ужасы",,,
Вселенная Человека-паука от Sony,,,США,
Так внезапно,Мелодрама,,,2002
Happy Tree Friends,"чёрная комедия,комедия ужасов,сплэттер",,,
The Daily Bugle (веб-сериал),"научная фантастика,новостная программа,промоушн,супергероика",,,
Происхождение (телесериал),,,,
Кайф с доставкой,комедия-драма,,,
Русские на войне,документальный фильм,,,
What If… Thor Were an Only Child?,,,,
Хидэо Кодзима: Соединяя миры,документальный фильм,,,
Агенты «Щ.И.Т.»: Двойной агент,"научная фантастика,комедия,метафикшн",,,
Неизменный: Майкл Дж. Фокс,"биографический фильм,4,документальный фильм",,"США,4","20 января,2023,2,12 мая,2023,3,1"
Sunflower (песня Post Malone и Swae Lee),"Дрим-поп,1,R&B,2",,,
Сестринство бани по-чёрному,документальный фильм,,Эстония,"22 января,2023"
,,,,
Человек-паук: Через вселенные (саундтрек),"Хип-хоп,поп,трэп,Музыка к фильму,Рождественский",,,
Человек-паук: Паутина вселенных,"боевик,комедия,фантастика,драма,супергероика",,,
Волшебный парк Джун,"комедия,приключения,семейный",,,
Человек-паук: За пределами вселенных,"боевик,фантастика,супергероика",,,
Человек-паук (Такуя Ямасиро),,,,
Застрявший в ветчине,"боевик,комедия,фантастика,супергероика",,США,
Женщины-пауки,"фантастика,супергероика",,,
Гвен Стейси (Spider-Verse),,,,
Невидимая красота,документальный фильм,,,
Список наград и номинаций мультфильма «Человек-паук: Через вселенные»,,,,
Колбаса Митрофана Аксёнова,"документальный,биографический,мокьюментари",,,
Кино 3.0,документальный фильм,,,
Возрождение. хроники студотрядов,,,,
Вечная память (фильм),документальный фильм,,Чили,"28 декабря,2023,3"
20 дней в Мариуполе,"документальный фильм,военный фильм",,,
What If… the World Lost Its Mightiest Heroes?,,,,
Джуди Блум навсегда,,,США,
What If… Peter Quill Attacked Earthʼs Mightiest Heroes?,,,,
Marvel Studios: Общий сбор,"документальный,телесериал-антология,супергероях",,,
Тессеракт (Кинематографическая вселенная Marvel),,,,
What If… Nebula Joined the Nova Corps?,,,,
Мультивселенная (Кинематографическая вселенная Marvel),,,,
Мисс Марвел (сериал),"боевик,приключения,комедия,история взросления,супергероика",,"США,1",
WHIH Newsfront,Новости,,,
Капитан Марвел (саундтрек),Музыка к фильму,,США,
"Предатели (сериал, 2024)",документальный,,,
"Крики, а потом — тишина",документальный фильм,,,
Дагомея (фильм),документальный фильм,,,2024
Архитектон,документальный фильм,,,2024
Капитан Марвел 2 (саундтрек),Музыка к фильму,,,
Мраморные шершни,"Веб-сериал,ужасы",,,
Freezerburns,,,,
Высшая школа видеоигр,"драма,приключения",,,
"Don’t Hug Me, I’m Scared","ужасы,мультфильм,мьюзикл,комедия абсурда,сплэттер,трэш",,,
Камала Хан (Кинематографическая вселенная Marvel),,,,
Би и ПаппиКэт,"комедия,фэнтези,фантастика,сюрреализм,драма,приключения",,,
Ник Фьюри (Кинематографическая вселенная Marvel),,,,
Джеймс Роудс (Кинематографическая вселенная Marvel),,,,
Наташа Романофф (Кинематографическая вселенная Marvel),,,,
Стив Роджерс (Кинематографическая вселенная Marvel),,,,
Кэрол Дэнверс (Кинематографическая вселенная Marvel),,,,
Фил Колсон,,,,
Брюс Бэннер (Кинематографическая вселенная Marvel),,,,
Кейт Бишоп (Кинематографическая вселенная Marvel),,,,
Агенты «Щ.И.Т.»: Йо-Йо,"боевик,драма,научная фантастика,супергеройский",,,
Meta Runner,"киберпанк,1,киберспорт,1,научная фантастика,боевик",,Австралия,
Агенты «Щ.И.Т.»: Академия,"научная фантастика,боевик",,,
Внутри Лапенко,комедия,,,
Аццкий босс,"взрослая анимация,музыкальный фильм,чёрная комедия,комедийная драма,мистика",,,
Малькольм и Мари,романтический фильм,,США,
What If… the Watcher Broke His Oath?,,,,
Полицейский с Рублёвки,"комедия,детектив,драма",,,
"Щербаков, Алексей Сергеевич (комик)",,,,
What If… T’Challa Became a Star-Lord?,,,,
Гунда (фильм),документальный фильм,,,
Folklore: The Long Pond Studio Sessions,Документальное кино,,,
Blackpink: Озаряя небо,Документальный фильм,,,
"Чапарян, Артур Гамлетович",,,,
Экслибрис. Нью-Йоркская публичная библиотека,документальный фильм,,,
Тор: Любовь и гром,"супергероика,боевик,технофэнтези",,,
"Ворон (фильм, 2024)","супергероика,неонуар,триллер,городское фэнтези",,,
Человек-паук: Через вселенные,"боевик,комедия,фантастика,драма,супергероика",,США,
