title,genre,director,country,year
"Фокус (фильм, 2015)",трагикомедия,,,
Терминатор: Генезис,"фантастика,боевик",,,
Форсаж 7,боевик,,,
,"научная фантастика,приключения,кодомо",,,
Человек-муравей (фильм),"супергероика,боевик,научная фантастика,комедия,фильм-ограбление",,,
Я — четвёртый,"боевик,триллер,фантастика",,,
Форсаж 5,боевик,,,
Элизиум — рай не на Земле,"научная фантастика,боевик",,,
Возвращение живых мертвецов 3,"фильм ужасов,мелодрама",,,
Фантастическая четвёрка: Первые шаги,"супергероика,боевик,научная фантастика",,,
Хранители (фильм),"супергеройский фильм,экшн,научная фантастика,альтернативная история,триллер",,,
Clowns Spinning Hats,"немое кино,Фильм о цирке",,,
Что видно в телескоп,комедия,,,
Feeding Sea Lions,немое кино,,,
"Человек-оркестр (фильм, 1900)",комедия,,,
Современный спиритуализм,немое кино,,,
Аватар 4,"эпический фильм,научная фантастика,боевик,приключения,фэнтези",,,
"Фауст и Маргарита (фильм, 1900)",фэнтези,,,
Разбор руин в Галвестоне в поисках мёртвых тел,документальный фильм,,,
Самый невозможный способ лечь спать,"фантастика,комедия",,,
Очарованный рисунок,"мультипликационный фильм,комедия",,,
Позволь мне снова помечтать,,,,
Озадаченный Шерлок Холмс,"детективный фильм,комедия,мистика",,,
"Мадам Сан-Жен (фильм, 1900)",,,,
Казнь китайского заключённого,драма,,,
Нападение на миссию в Китае,драма,,,
Как мужчины грабят в Чикаго,,,,
"Дом, который построил Джек (фильм, 1900)",Короткометражный фильм,,,
Бабушкина лупа,короткометражка,,,
Лучшие из лучших 2,боевые искусства,,США,
Лондонская ищейка,триллер,,,
"Ловушка (фильм, 1993)","роуд-муви,детектив",,,
"Жанна д’Арк (фильм, 1900)","драма,исторический фильм",,,
Финник,"приключения,мультфильм",,,
Чарли и фантастическая четвёрка,"мультфильм,комедия,приключения",,,
Лига справедливости (фильм),"супергероика,боевик,фантастика,приключения",,,
Миньоны: Грювитация,"комедия,семейный",,,
Чужой: Завет,"научно-фантастический,фильм ужасов",,,
Эксперимент Куотермасса,"фантастика,ужасы,детектив",,Великобритания,
Чудовищный снежный человек,"ужасы,научная фантастика",,,
Флэш (фильм),"супергероика,боевик,фантастика",,,
Angry Birds в кино,"комедия,приключения,семейный фильм,боевик,Музыка к фильму,Поп,рок,кантри,хип-хоп,электронная музыка",,США,
Человек-паук: Лотос,"супергеройский,драма,боевик",,,"5 августа,Лос-Анджелес"
Тварь с миллионом глаз,"научная фантастика,ужасы",,США,
Я видел свечение телевизора,фильм ужасов,,,
"Экзорцизм (фильм, 2024)","фильм-триллер,фильм ужасов",,США,
Пила 11,фильм ужасов,,,
Улица Страха: Королева красоты,фильм ужасов,,,
"Эбигейл (фильм, 2024)",комедия ужасов,,,
Черепашки-ниндзя: Погром мутантов,"комедия,боевые искусства,супергероика",,,
"Святое место (фильм, 1990)","ужасы,драма,экранизация",,Югославия,
Шея (фильм),"исторический фильм,боевик,драматический фильм",,Япония,
Пацан против всех,"боевик,научно-фантастический фильм,антиутопия",,,
Аптекарь Мельхиор,"криминал,драма",,,
"Поселенцы (фильм, 2023)","исторический фильм,драматический фильм,криминальный фильм,вестерн",,,
Рассказчик фильмов,"комедийная драма,экранизация романа",,,21 октября
"Преступники (фильм, 2023)","фильм-ограбление,комедийная драма",,,
"Граф (фильм, 2023)","комедийный фильм,фильм о вампирах",,Чили,
Тихое место: Азраэль,"постапокалиптика,фильм ужасов",,,
"Женщины за решёткой (фильм, 1983)","боевик,криминальный фильм,драма,триллер,Women in Prison",,,12 августа
Рижские каникулы,чёрная комедия,,,
Гольциус и Пеликанья компания,"драма,биография",,,
