film_title,director
Голодные игры: И вспыхнет пламя,Фрэнсис Лоуренс
Бойфренд из будущего,Ричард КёртисРеальная любовь (2003)Рок-волна (2009)Бойфренд из будущего (2013)
Армагеддец,Эдгар Райт
Атлантический рубеж,Джаред Кон
Война миров Z,Марк Форстер
"Алиса знает, что делать!",Игорь КовалёвОльга БаулинаЯн СысоевМарина НефёдоваВиктор ГлухушинНиколай КозловЖанна БекмамбетоваАнна ПоздееваПавел АнтоненковЛев НекрасовАлександр ЛюткевичСтанислав ШаховАлександр Кубах
"47 ронинов (фильм, 2013)",Карл Ринш
Акулий торнадо,Энтони Ферранте
Седьмой сын,Сергей Бодров-ст.Эффект колибриЛокМоре соблазнаОстрые козырьки
Планета обезьян: Революция,Мэтт Ривз
Первый мститель: Другая война,Энтони РуссоДжо Руссо
Ной (фильм),Даррен Аронофски
Люси (фильм),Люк Бессон
Малефисента (фильм),Роберт Стромберг
Новый Человек-паук: Высокое напряжение,Марк Уэбб
"Дракула (фильм, 2014)",Гарри Шор
Дивергент (фильм),Нил Бёргер
Люди Икс: Дни минувшего будущего,Брайан Сингер
Интерстеллар,Кристофер НоланПолнометражныеПреследование (1998)Помни (2000)Бессонница (2002)Бэтмен: Начало (2005)саундтрекПрестиж (2006)Тёмный рыцарь (2008)саундтрекнаграды и номинацииНачало (2010)саундтрекнаграды и номинацииТёмный рыцарь: Возрождение легенды (2012)саундтрекнаграды и номинацииИнтерстеллар (2014)саундтрекнаграды и номинацииДюнкерк (2017)саундтрекнаграды и номинацииДовод (2020)саундтрекнаграды и номинацииОппенгеймер (2023)саундтрекнаграды и номинацииОдиссея (2026)КороткометражныеТарантелла (1989)Воровство (1996)Жук-скакун (1997)Куэй (2015)
Голодные игры: Сойка-пересмешница. Часть 1,Фрэнсис Лоуренс
Грань будущего,Даг Лайман
Вычислитель (фильм),Дмитрий Грачёв
"Годзилла (фильм, 2014)","Гарет ЭдвардсЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Внеземное Эхо,Дэйв Грин
"Вий (фильм, 2014)",Олег Степченко
Бегущий в лабиринте (фильм),Уэс Болл
Атлант расправил плечи: Часть 3,Джеймс Манера
Академия вампиров (фильм),Марк Уотерс
В твоих глазах,Брин ХиллМиссия «Серенити»МстителиМного шума из ничегоМстители: Эра Альтрона
Человек-паук жив: История Майлза Моралеса,Иван Кандер
Бермудские щупальца,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Ник Лион"
Человек-муравей (фильм),Пейтон Рид
Хардкор (фильм),Илья НайшуллерПешаварский вальсГладиатриксГАЗ — Русские машиныНочной ДозорДневной ДозорИрония судьбы. ПродолжениеОсобо опасенЁлкиПрезидент Линкольн: Охотник на вампировЁлки 1914Бен-ГурЁлки 5ПрофильЁлки последниеДевятаевМилосердие
Любовь сквозь время,Акива Голдсман
"Фантастическая четвёрка (фильм, 2015)",Джош Транк
"Ужаленные (фильм, 2015)",Беньямин Диц
Терминатор: Генезис,Алан Тейлор
"Наследники (фильм, 2015, США)",Кенни Ортега
Черепашки-ниндзя 2,Дэйв Грин
Пиксели (фильм),"Крис КоламбусПриключения приходящей няни (1987)Отель разбитых сердец (1988)Один дома (1990)Поймёт лишь одинокий (1991)Один дома 2: Потерявшийся в Нью-Йорке (1992)Миссис Даутфайр (1993)Девять месяцев (1995)Мачеха (1998)Двухсотлетний человек (1999)Гарри Поттер и философский камень (2001)Гарри Поттер и Тайная комната (2002)Богема (2005)Рок в 3D (2005, документальный)Ночь с Бет Купер (2009)Перси Джексон и Похититель молний (2010)Эплебаум (2012, телефильм)Пиксели (2015)Рождественские хроники 2 (2020)Клуб убийств по четвергам (2025)Леди Баг и Супер-Кот (.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}TBA)Мелодия (TBA)Тайная жизнь дорожных бригад (TBA)Привет, призрак (TBA)Дом секретов (TBA, сериал)"
Равные,Дрейк Доримус
Фантастические твари и где они обитают,Дэвид Йейтс
Последний охотник на ведьм,Брек Айснер
Уиджи. Проклятие доски дьявола,Майк Флэнаган
"Параллели (фильм, 2015)",Кристофер Леоне
Фантазм 5: Уничтожитель,Дэвид Хартман
СуперБобровы,Дмитрий Дьяченко
Стартрек: Бесконечность,Джастин ЛинМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)
Спектральный анализ (фильм),Ник Матьё
Рэтчет и Кланк: Галактические рейнджеры,Кевин МанроДжерика Клилэнд
Судная ночь 3,Джеймс Демонако
Плохая партия,Ана Лили Амирпур
"Прибытие (фильм, 2016)",Дени Вильнёв
Охота на ангелов,Джей Мартин
"Пассажиры (фильм, 2016)",Мортен Тильдум
Познать неизведанное,Марк Элайджа Розенберг
Отряд самоубийц (фильм),Дэвид ЭйерКрутые времена (2005)Короли улиц (2008)Патруль (2012)Саботаж (2014)Ярость (2014)Отряд самоубийц (2016)Яркость (2017)Выбивая долги (2020)Пчеловод (2024)Мастер (2025)Сердце зверя (TBA)
Первый мститель: Противостояние,Энтони РуссоДжо Руссо
Обитель зла: Последняя глава,Пол У. С. Андерсон
"Ночные стражи (фильм, 2016)",Эмилис Веливис
Монстр-траки,Крис Уэдж
Мафия: Игра на выживание,Сарик Андреасян
Марсианские земли,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Скотт Уилер"
Лазерная команда,Мэтт Халлум
Мизинец Будды,Тони Пембертон
Марсианин (фильм),Ридли Скотт
Моя девушка — монстр,Начо Вигалондо
Лавалантула,Майк Мендес
Земля будущего (фильм),Брэд Бёрд
Континуум (фильм),Дин Израэлайт
Кунг Фьюри,Дэвид Сандберг
Затаившись,Мэтт ДафферРосс Даффер
Полный расколбас,Грег ТирнанКонрад ВернонКонец света 2013: Апокалипсис по-голливудски (2013)Интервью (2014)
Звёздные войны: Пробуждение силы,"Дж. Дж. АбрамсМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)Жар тела (1981)Большое разочарование (1983)Сильверадо (1985)Турист поневоле (1988)Я люблю тебя до смерти (1990)Большой каньон (1991)Уайетт Эрп (1994)Французский поцелуй (1995)Доктор Мамфорд (1999)Ловец снов (2003)Самый близкий друг (2012)На прошлой неделе у Эдда (2019, документальный)Свет и магия (2022, документальный сериал)Ноябрьская дорога (TBA)документальный фильм про Мо Остина (TBA)"
"Добро пожаловать в рай (фильм, 2015)",Брайан А. Миллер
Голодные игры: Сойка-пересмешница. Часть 2,Фрэнсис Лоуренс
"Высотка (фильм, 2015)",Бен Уитли
"Дивергент, глава 2: Инсургент",Роберт Швентке
Восхождение Юпитер,Лана и Лилли Вачовски
Виктор Франкенштейн (фильм),Пол Макгиган
Бегущий в лабиринте: Испытание огнём,Уэс Болл
За синей дверью (фильм),Мариуш Палей
Аврил и поддельный мир,Кристиан ДимарФранк Экинджи
"Кредо убийцы (фильм, 2016)",Джастин Курзель
Люди Икс: Апокалипсис,Брайан Сингер
Изгой-один. Звёздные войны: Истории,Гарет Эдвардс
Дом странных детей мисс Перегрин,Тим Бёртон
Акулий торнадо 3,Энтони Ферранте
"Доктор Стрэндж (фильм, 2016)","Скотт ДерриксонLove in the Ruins (1995)Восставший из ада 5: Инферно (2000)Шесть демонов Эмили Роуз (2005)День, когда Земля остановилась (2008)Синистер (2012)Избави нас от лукавого (2014)Доктор Стрэндж (2016)награды и номинацииЧёрный телефон (2021)Ущелье (2025)Чёрный телефон 2 (2025)"
Дитя Осириса,Шейн Эббесс
"Дивергент, глава 3: За стеной",Роберт Швентке
День независимости: Возрождение,Роланд Эммерих
Дети против волшебников (мультфильм),Николай Мазуров
Дэдпул (фильм),Тим Миллер
Годзилла: Возрождение,"Хидэаки Анно, Синдзи Хигути"
Варкрафт (фильм),Данкан Джонс
Великая стена (фильм),Чжан ИмоуМайкл Клейтон (2007)Ничего личного (2009)Эволюция Борна (2012)
Безумный Макс: Дорога ярости,Джордж Миллер
Гордость и предубеждение и зомби (фильм),Бёрр Стирс
Боги Египта (фильм),Алекс Пройас
Бэтмен против Супермена: На заре справедливости,"Зак СнайдерЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Белоснежка и охотник 2,Седрик Николя-Троян
Акулий торнадо 4: Пробуждение,Энтони Ферранте
5-я волна,Дж. Блэйксон
Трансформеры: Последний рыцарь,Майкл Бэй
Большой и добрый великан (фильм),Стивен Спилберг
Тёмная башня (фильм),Николай Арсель
Танцы насмерть,Андрей Волгин
Тайна 7 сестёр,Томми Виркола
Чудо-женщина (фильм),Пэтти Дженкинс
Тор: Рагнарёк,Тайка Вайтити
Человек-паук: Возвращение домой,Джон Уоттс
Чужой: Завет,Ридли Скотт
"Мумия (фильм, 2017)",Алекс Куртцман
"Притяжение (фильм, 2017)",Фёдор Бондарчук
"Призрак в доспехах (фильм, 2017)",Руперт Сандерс
Наследники 2,Кенни Ортега
Планета обезьян: Война,Мэтт Ривз
Стражи Галактики. Часть 2,Джеймс Ганн
"Мир, полный чудес",Тодд Хейнс
Логан (фильм),Джеймс Мэнголд
Никаких добрых дел (2017),Дэвид Литч
Лига справедливости (фильм),Зак СнайдерДжосс УидонМиссия «Серенити»МстителиМного шума из ничегоМстители: Эра Альтрона
Конг: Остров черепа,Джордан Вот-Робертс
"Зерно (фильм, 2017)",Семих Капланоглу
Защитники (фильм),Сарик Андреасян
Звёздные войны: Последние джедаи,"Райан ДжонсонКирпич (2005)Братья Блум (2008)Петля времени (2012)Звёздные войны: Последние джедаи (2017)Достать ножиДостать ножи (2019)Стеклянная луковица (2022)наградыПроснись, мертвец (2025)Миссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)"
Живое (фильм),Даниэль Эспиноса
"Вторжение пришельцев: S.U.M.1 (фильм, 2017)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Кристиан Паскуариелло"
Бюро человечества,Роб В. Кинг
Геошторм,Дин Девлин
Валериан и город тысячи планет,Люк Бессон
Могучие рейнджеры (фильм),Дин Израэлайт
Бегущий по лезвию 2049,Дени Вильнёв
"Атлантида (фильм, 2017)",Ксавье Жанс
Джуманджи: Зов джунглей,Джейк Кэздан
Акулий торнадо 5: Глобальное роение,Энтони Ферранте
2:22,Пол Карри
Шазам!,Дэвид Ф. Сандберг
Райские холмы,Элис Вэддингтон
Человек-паук: Вдали от дома,Джон Уоттс
Покемон. Детектив Пикачу,Роб Леттерман
Люди Икс: Тёмный Феникс,Саймон Кинберг
Мстители: Финал,Энтони РуссоДжо Руссо
Люди в чёрном: Интернэшнл,Ф. Гэри Грей
Капитан Марвел (фильм),Анна БоденРайан Флек
К звёздам (фильм),Джеймс Грэй
Наследники 3,Кенни Ортега
Звёздные войны: Скайуокер. Восход,Дж. Дж. АбрамсМиссия невыполнима 3 (2006)Звёздный путь (2009)Супер 8 (2011)Стартрек: Возмездие (2013)Звёздные войны: Пробуждение силы (2015)Звёздные войны: Скайуокер. Восход (2019)
"Домовой (фильм, 2019)",Евгений Бедарев
Железное небо: Грядущая раса,Тимо Вуоренсола
"Гори, гори ясно",Дэвид Яровески
Джуманджи: Новый уровень,Джейк Кэздан
Годзилла 2: Король монстров,Майкл Догерти
Вивариум,Лоркан Финнеган
Блуждающая Земля,Франт Гво
Терминатор: Тёмные судьбы,"Тим МиллерПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)ЗигЗаг (2002)Блэйд: Троица (2004)Невидимый (2007)Нерождённый (2009)Вспомни, что будет (сериал, 2009)Демоны Да Винчи (сериал, 2013—2015)"
Битва у Биг-Рок,Колин Треворроу
Всегда ведьма (сериал),".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Лилиана БоканеграМатео Стивелберг"
Алита: Боевой ангел,"Роберт РодригесПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Реальные пацаны против зомби,Жанна Кадникова
Бескрайняя ночь,Эндрю Паттерсон
Чудо-женщина 1984,Пэтти Дженкинс
Под водой,Уильям Юбэнк
"Мулан (фильм, 2020, Дисней)",Ники Каро
Боевой робот №4,Марк Тойя
Бог грома,Андре Овредал
"В чужой шкуре (фильм, 2020)",Брэндон Кроненберг
Вечность между нами,Скотт Спир
Брешь (фильм),Джон Суитс
Глубокое синее море 3,Джон Пог
"Кома (фильм, 2020)",Никита Аргунов
Новые мутанты (фильм),Джош Бун
Морбиус (фильм),Даниэль Эспиноса
Доктор Стрэндж: В мультивселенной безумия,Сэм Рэйми
Стражи Галактики: Праздничный спецвыпуск,Джеймс Ганн
Тор: Любовь и гром,Тайка Вайтити
"Воспламеняющая взглядом (фильм, 2022)","Кит ТомасТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
Чёрная пантера: Ваканда навеки,Райан КуглерСтанция «Фрутвейл» (2013)Крид: Наследие Рокки (2015)Чёрная пантера (2018)награды и номинацииЧёрная пантера: Ваканда навеки (2022)награды и номинацииГрешники (2025)
Соник 2 в кино,Джефф Фаулер
Шан-Чи и легенда десяти колец,Дестин Дэниел Креттон
Узники страны призраков,Сион Соно
Пара из будущего,Алексей Нужный
Матрица: Воскрешение,Лана Вачовски
"Дюна (фильм, 2021)",Дени Вильнёв
"Куб (фильм, 2021)",Ясухико Симидзу
Демоник,Нил Бломкамп
Марс Экспресс (фильм),".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Жереми Перен"
Веном 2,Энди Серкис
Аватар: Путь воды,"Джеймс КэмеронПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
"Бесконечность (фильм, 2021)",Антуан Фукуа
Сквозь время,Александр Богуславский
Капитан Марвел 2,Ниа Дакоста
Маме снова 17,Анна Курбатова
Блуждающая Земля 2,Франт Гво
Мегалополис (фильм),"Фрэнсис Форд КопполаРазвлекающиеся девушки и коридорный (1962)Сегодня вечером — наверняка (1962)Битва за пределами Солнца (1962)Безумие-13 (1963)Ты теперь большой мальчик (1966)Радуга Финиана (1968)Люди дождя (1969)Крёстный отец (1972)Разговор (1974)Крёстный отец 2 (1974)Апокалипсис сегодня (1979)От всего сердца (1982)Бойцовая рыбка (1983)Изгои (1983)Клуб «Коттон» (1984)Капитан Ио (1986)Пегги Сью вышла замуж (1986)Сады камней (1987)Такер: Человек и его мечта (1988)Нью-йоркские истории (новелла «Жизнь без Зои», 1989)Крёстный отец 3 (1990)Дракула (1992)Крёстный отец. Трилогия. 1901—1980 (1992)Джек (1996)Благодетель (1997)Молодость без молодости (2007)Тетро (2009)Между (2011)Distant Vision (2015)Мегалополис (2024)"
Аквамен и потерянное царство,Джеймс Ван
Наследники: Возвышение Рэд,Дженнифер Фанг
Иван Васильевич меняет всё,Михаил СемичевРоман Ким
Возрождённые,Егор БарановПешаварский вальсГладиатриксГАЗ — Русские машиныНочной ДозорДневной ДозорИрония судьбы. ПродолжениеОсобо опасенЁлкиПрезидент Линкольн: Охотник на вампировЁлки 1914Бен-ГурЁлки 5ПрофильЁлки последниеДевятаевМилосердие
Пираты галактики Барракуда,Антон Борматов
Крейвен-охотник (фильм),Джей Си Чендор
"Круг (фильм, 2000)",Джафар Панахи
"Крокодил (фильм, 2000)",Тоуб Хупер
Возвращение грозной семейки,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Тревор Киршнер"
Дюна: Часть вторая,Дени Вильнёв
Кровавый сёрфинг,Джеймс Хикокс
Красивая (фильм),Салли Филд
Крампак,Сеск Гай
Король танцует,Жерар Корбьо
"Крадущийся тигр, затаившийся дракон",Энг Ли
Космические ковбои,Клинт Иствуд
Красная планета (фильм),Энтони Хоффман
Крик 3,"Уэс КрэйвенПоследний дом слева (1972) У холмов есть глаза (1977)Незнакомец в нашем доме (1978)Смертельное благословение (1981)Болотная тварь (1982)Кошмар на улице Вязов (1984)Приглашение в ад (1984)Леденящий (1985)У холмов есть глаза 2 (1985)Смертельный друг (1986)Змей и радуга (1988)Электрошок (1989)Ночные видения (1990)Люди под лестницей (1991)Кошмар на улице Вязов 7: Новый кошмар (1994)Вампир в Бруклине (1995) Крик (1996) Крик 2 (1997)Музыка сердца (1999) Крик 3 (2000)Оборотни (2005)Ночной рейс (2005)Париж, я люблю тебя (2006)Забери мою душу (2010) Крик 4 (2011)Убить миссис Тингл (1999)Крик 7 (2026)"
"Коммуналка (фильм, 2000)",Алекс де ла Иглесия
"Коммуна (Париж, 1871)",Питер Уоткинс
Велосипедисты (мультфильм),
Великий уравнитель 2,Антуан Фукуа
"Вдовы (фильм, 2018)",Стив Маккуин
Веб-камера (фильм),Дэниель Гольдхабер
Ваш репетитор,Антон Коломеец
"Ведьма (фильм, 2018)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Пак Хун Джон"
"Варавва (фильм, 2018)",Евгений Емелин
Ван Гоги,Сергей Ливнев
Колдовство 11: Сёстры по крови,Рон Форд
Королевская битва (фильм),Киндзи Фукасаку
Ван Гог. На пороге вечности,Джулиан Шнабель
В объятиях лжи,Нил Джордан
В погоне за чувствами,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Кагисо Ледига"
Быть Астрид Линдгрен,Пернилла Фишер Кристенсен
"Бузулукский бор (фильм, 2018)",Сергей Сотников
Будка поцелуев,Винс Марселло
"Бугимен (фильм, 2018)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Талал Сельхами"
Братья Систерс,Жак Одиар
"Бомбардировка (фильм, 2018)",Сяо Фэн
Бэтмен-ниндзя,Дзюмпэй Мидзусаки
Бладфест,Оуэн Эгертон
Блестяще (фильм),Иван Атталь
Блич (фильм),Синсуке Сато
Богемская рапсодия (фильм),Брайан СингерДекстер Флетчер
Бельканто (фильм),Пол Вайц
Блэйз (фильм),Итан Хоук
Бергман (фильм),Яне Магнуссон
Белый парень Рик,Ян Деманж
"Пророк (фильм, 2007)",Ли Тамахори
"Репортаж (фильм, 2007)",Жауме БалагероПако Пласа
Эон Флакс,Карин Кусама
Тайна красной планеты,Саймон Уэллс
Час расплаты,Джон Ву
Шик (фильм),Бахтиёр Худойназаров
The Neon Life,Роман Пучков
"Оттепель (фильм, 2009)",Марк А. Льюис
"Я, робот (фильм)",Алекс Пройас
Эквилибриум,Курт Уиммер
Отторжение (фильм),Владимир Лерт
Халк (фильм),Энг Ли
Песчаные короли (фильм),Стюарт Гиллард
Чужой 3,Дэвид Финчер
"Побег на Ведьмину гору (фильм, 1995)",Питер Рейдер
Особь (фильм),Роджер Дональдсон
Особь (серия фильмов),Роджер Дональдсон
"Чёрная молния (фильм, 2009)",Александр ВойтинскийДмитрий КиселёвПешаварский вальсГладиатриксГАЗ — Русские машиныНочной ДозорДневной ДозорИрония судьбы. ПродолжениеОсобо опасенЁлкиПрезидент Линкольн: Охотник на вампировЁлки 1914Бен-ГурЁлки 5ПрофильЁлки последниеДевятаевМилосердие
Чужой народ: Тело и душа,Кеннет Джонсон
Я люблю вампира (фильм),Гжегож Вархол
Черри-2000,Steve De Jarnatt
"Утренний патруль (фильм, 1987)",Никос Николаидис
Страж времени,Брайен Ханнант
Супермен 4: В поисках мира,Сидни Дж. ФьюриВ сумерках (1997)История Брук Эллисон (2004)Победитель (2006)
"Хищник (фильм, 1987)",Джон Мактирнан
Убийство в лунном свете,Майкл Линдсей-Хогг
Электрические грёзы,Стив Бэррон
Стальной рассвет,Лэнс Хул
Человек-краб с Марса,Стэнли Шефф
Терминатор II,Бруно Маттеи
"Трудно быть богом (фильм, 1989)",Петер Фляйшман
Теневая зона,Джозеф С. Кардоне
Тысячелетие (фильм),Майкл Андерсон
Похищение чародея (фильм),Виктор Кобзев
Посетитель музея,Константин Лопушанский
"Поток (фильм, 1989)",Стивен Лисбергер
Повелители глубин,Мэри Энн Фишер
Ловушка на луне,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}Роберт Дайк"
Назад в будущее 2,Роберт ЗемекисЯ хочу держать тебя за руку (1978)Подержанные автомобили (1980)Роман с камнем (1984)Назад в будущее (1985)Кто подставил кролика Роджера (1988)Назад в будущее 2 (1989)Назад в будущее 3 (1990)Смерть ей к лицу (1992)Форрест Гамп (1994)Контакт (1997)Что скрывает ложь (2000)Изгой (2000)Полярный экспресс (2004)Беовульф (2007)Рождественская история (2009)Экипаж (2012)Прогулка (2015)Союзники (2016)Удивительный мир Марвена (2018)Ведьмы (2020)Пиноккио (2022)Тогда. Сейчас. Потом (2024)
Киборг (фильм),Альберт Пьюн
Инопланетное семя,Боб Джеймс
"Левиафан (фильм, 1989)",Джордж Пан Косматос
Доктор с чужой планеты,Дэвид ДеКото
Здесь могут водиться тигры,Владимир Самсонов
Годзилла против Биолланте,Кадзуки Омори
Байкерши в городе зомби,Дэн Хоскинс
Человек со звезды,"Джон КарпентерТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
"Бездна (фильм, 1989)","Джеймс КэмеронПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Франкенштейн-90,Ален Жессюа
"Филадельфийский эксперимент (фильм, 1984)","Стюарт РэффиллТёмная звезда (1974)Нападение на 13-й участок (1976)Хэллоуин (1978)Кто-то следит за мной (1978)Элвис (1979)Туман (1980)Побег из Нью-Йорка (1981)Нечто (1982)Кристина (1983)Человек со звезды (1984)Большой переполох в маленьком Китае (1986)Князь тьмы (1987)Чужие среди нас (1988)Исповедь невидимки (1992)Мешки для трупов (1993)В пасти безумия (1994)Деревня проклятых (1995)Побег из Лос-Анджелеса (1996)Вампиры (1998)Призраки Марса (2001)Мастера ужасов (эпизоды «Сигаретный ожог» и «Дитя демона», 2005–2007)Палата (2010)"
Терминатор (фильм),"Джеймс КэмеронПолнометражныеПиранья 2: Нерест (1981)Чужие (1986)Бездна (1989)Правдивая ложь (1994)Титаник (1997)ТерминаторТерминатор (1984)Терминатор 2: Судный день (1991)Аватар, Аватар (2009)Аватар: Путь воды (2022)Аватар: Огонь и пепел (2025)Аватар 4 (2029)Аватар 5 (2031)КороткометражныеКсеногенезис (1978)Т2 3-D: Битва сквозь время (1996)ДокументальныеЭкспедиция «Бисмарк» (2002)Призраки бездны: «Титаник» (2003)Чужие из бездны (2005)"
Супердевушка,Жанно Шварц
Три ветерана,Олдржих Липский
Семь стихий,Геннадий Иванов
Парад планет (фильм),Вадим Абдрашитов
Часто задаваемые вопросы о путешествиях во времени,Гаррет Кэррайвик
