Название,Жанр,Продюссер,Страна,Год
More (мультфильм),фантастика  пластилиновая анимация,Марк Осборн,США,1998
Лучший стрелок,"боевик ,  мелодрама",Тони Скотт,США,1986
"Компаньон (фильм, 2025)",фильм-триллер   и  научно-фантастический фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Drew Hancock",США,2025
Старик и море (мультфильм),драма,Александр Петров,Россия       Канада       Япония,1999
Планета сокровищ,научная фантастика боевик приключения,Рон Клементс Джон Маскер,США,2002
Аполлон-13 (фильм),приключения история драма,Рон Ховард,США,1995
Фантастическая четвёрка: Первые шаги,супергероика боевик научная фантастика,Мэтт Шекман,США,2025
Спасатели (мультфильм),".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  комедийная драма  приключения   рисованная",Вольфганг Райтерман  Джон Лаунсбери  Арт Стивенс,США,22 июня 1977 года
"Нет (фильм, 2022)",ужасы научная фантастика,Джордан Пил,США  Канада  Япония,2022
Фантастические твари: Тайны Дамблдора,"фэнтезийный фильм ,  приключенческий фильм ,  семейный фильм  и  драматический фильм",Дэвид Йейтс,США  Великобритания,2022
Топ Ган: Мэверик,драматический боевик  *  Фантастика,Джозеф Косински,США,2022
Король Лев,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}  мюзикл  драма  история взросления   рисованная анимация  с использованием  2D-компьютерной графики",Роджер Аллерс  Роб Минкофф   Фантазия 2000  (1999)  Как разбудить Спящую красавицу   (2009)  Hand Held   (2010)  Ховард  (2018)   Лило и Стич  (2002)  Как приручить дракона  (2010)  Семейка Крудс  (2013)  Дикий робот  (2024),США,15 июня 1994 (некоторые города)   24 июня 1994  25 декабря 2002 (IMAX)  16 сентября 2011 (3D)   22 марта 2012
Миссия невыполнима: Последняя расплата,шпионский   боевик,Кристофер Маккуорри,США,2025
Королева-воин,"эпический фильм ,  драматический фильм  ,  исторический фильм   и  боевик",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Джина Принс-Байтвуд    Любовь и баскетбол   (2000)  Тайная жизнь пчёл  (2008)  Бессмертная гвардия  (2020)  Королева-воин  (2022)",США,2022
Дьявол в деталях (фильм),криминальный триллер неонуар,Джон Ли Хэнкок,США,2021
Дэдпул и Корг реагируют,супергеройский фильм,Райан Рейнольдс,США,2021
Дунай (фильм),мелодрама  и  драматический фильм,Любовь Мульменко,Россия,2021
