title,genre
The Rolling Stones. Да будет свет,Документальный фильм
Хроники Спайдервика,"приключения,тёмное фэнтези,семейный фильм,саундтрек"
"Фокус (фильм, 2015)",трагикомедия
Пятьдесят оттенков серого (фильм),мелодрама
Терминатор: Генезис,"фантастика,боевик"
Человек-муравей (фильм),"супергероика,боевик,научная фантастика,комедия,фильм-ограбление"
"Гекльберри Финн (фильм, 1931)","детская,комедия"
U2 3D,"концерт,рок-музыка"
"Девушки в униформе (фильм, 1931)",драма
Девушка и борода,Романтическая комедия
Гвардеец (фильм),драма
Городские улицы,Гангстерская мелодрама
"Враг общества (фильм, 1931)",драма
Вольная душа,драма
Толпа (фильм),драма
"Одержимая (фильм, 1931)","драматический фильм,романтический фильм"
Элисо (фильм),"драма,исторический фильм,экранизация"
Шампанское (фильм),комедия
"Шпионы (фильм, 1928)",шпионский триллер
Форсаж 7,боевик
Поливальщик (фильм),комедия
Dancing Darkies,документальный фильм
Ужасная ночь,"ужасы,комедия,короткометражка"
Рип просыпается,драма
Битва за Чили,документальный
Шопинг (фильм),"боевик,драма"
"Чёрный Красавец (фильм, 1994)","приключенческий фильм,драма,семейный фильм,мелодрама"
Четыре свадьбы и одни похороны,романтическая комедия
Смерть и девушка,триллер
"Тёмные воды (фильм, 1994)","фильм ужасов,триллер"
Тайна гробницы,"Детектив,Детское кино,Приключение"
Феникс и волшебный ковёр,"приключенческий фильм,семейный фильм,фэнтези"
Субстанция (фильм),"боди-хоррор,сатира,научная фантастика"
Джей Келли,
Драйвер (фильм),триллер
"Чума (фильм, 1992)",драма
Ущерб (фильм),драма
"Чингисхан (фильм, 1992)",биографический фильм
Экзорцист Папы,"фильм ужасов,фильм ужасов о сверхъестественном,кинофантастика,биографический фильм"
Уроки темноты,псевдодокументальный
Считанные секунды,"триллер,ужасы,фантастический фильм,детектив"
Король воров,"криминальный фильм,драматический фильм,фильм, основанный на реальных событиях"
Код «Красный»,"триллер,драма,биография"
Колетт (фильм),"биография,драма"
Клуб любителей книг и пирогов из картофельных очистков,"драматический фильм,романтический фильм,исторический фильм,экранизация романа"
Чистая правда,драма
"Король Лир (фильм, 2018)",трагедия
Конченая,"триллер,драма,неонуар"
Сделано в Дагенхэме,"драма,комедия,исторический"
Сайрус (фильм),комедия-драма
У воды,драма
Чёрное зеркало: Брандашмыг,"научно-фантастический фильм,драматический фильм,интерактивный фильм"
"Робин Гуд (фильм, 2010)","историческая,драма,приключенческий фильм"
Потеря (мультфильм),"драма,антиутопия"
Что-то не так с Кевином,драма
Пипец (фильм),"боевик,комедия,супергеройский фильм,Поп-музыка,поп-рок"
Чат (фильм),"триллер,драма"
Ультрамарины (мультфильм),фантастика
Уличные танцы 3D,"мелодрама,музыка"
Теннис с молдаванами,"комедия,автобиография"
Руки-ноги за любовь,"чёрная комедия,триллер"
Тост (фильм),"фильм-биография,комедия,драма"
Скотт Пилигрим против всех,комедийный боевик
Центурион (фильм),"боевик,приключенческий фильм,драма,пеплум"
Katwoman XXX,"порнопародия,порнофильм"
"Психоз (фильм, 2010)",триллер
Эпоха героев,"боевик,приключенческий фильм,триллер,военный фильм"
"Сирена (фильм, 2010)",триллер
Шалава (фильм),триллер
Ханна. Совершенное оружие,"боевик,триллер"
Субмарина (фильм),"комедия,драма"
Человеческая многоножка 2,боди-хоррор
"Харакири (фильм, 2011)",драма
Угроза религиозных школ,"документальный фильм,телевизионный документальный фильм"
Утренняя прогулка,
"Уикенд (фильм, 2011)",драма
Тираннозавр (фильм),драма
Рыба моей мечты,"мелодрама,драма,комедия"
"Стыд (фильм, 2011)",драма
Поход динозавров,"приключения,драма"
Последняя любовь на Земле,"драма,фантастика"
"Шпион, выйди вон! (фильм)","детективный,триллер"
Убить Боно,комедия
Пина (фильм),"музыкальный,документальный"
Отель «Мэриголд». Лучший из экзотических,"драма,комедия"
"Один день (фильм, 2011)","драма,мелодрама,Alternative rock,Electronic,Pop"
МЫ. Верим в любовь,"драма,мелодрама"
Уилл (фильм),драма
Мушкетёры (фильм),"боевик,комедия,приключения,мелодрама,стимпанк"
Проект Ним,документальный
One Direction: Это мы,"документальный фильм,музыкальный фильм"
Переростки (фильм),комедия
Эффект колибри,"боевик,триллер,драма"
Элитное общество,"криминальная,драма"
Филомена,"драматическое,роуд-муви"
Транс (фильм),"детектив,психологический триллер"
Пол: Секретный материальчик,"комедия,фантастика,приключения"
Советник (фильм),"криминальный,триллер"
"Ромео и Джульетта (фильм, 2013)",романтическая драма
Спасти мистера Бэнкса,"биографическая,трагикомедия"
Теорема Зеро,"фантастика,киберпанк,драма"
X+Y,"комедийная драма,подростковый фильм,история взросления,драматический фильм"
Эксперимент: Зло,ужасы
Citizenfour. Правда Сноудена,документальный
Эффи (фильм),"драма,фильм-биография"
Чёрное море (фильм),"приключения,триллер"
Фрэнк (фильм),комедия
"Уроки вождения (фильм, 2014)",
Самый крутой,
"Свалка (фильм, 2014)","драма,триллер,приключения"
Уильям Тёрнер (фильм),"драма,биографический"
Путешествие Гектора в поисках счастья,"приключенческая,трагикомедия"
Прогулка по солнечному свету,мюзикл
"Прежде, чем я усну","драма,триллер"
Приключения Паддингтона,"семейный фильм,комедия,сказка"
"Человек, который познал бесконечность","драма,биография"
Французская сюита (фильм),"романтический фильм,[…],драматический фильм,экранизация романа"
Эми (фильм),"документальный,музыкальный,биографический"
Kingsman: Секретная служба,"боевик,шпионская фантастика,комедия,драма"
"Я, Дэниел Блейк",драматический фильм
Строго на запад,"вестерн,драма,притча"
Эдди «Орёл»,"драма,комедия,спортивный,биографический"
Страшные сказки (фильм),фэнтези
Уличный кот по кличке Боб,"драма,биографический"
"Уна (фильм, 2016)","драма,триллер"
Тарзан. Легенда,"приключенческий,боевик"
Фантастические твари и где они обитают,"приключенческий фильм,фэнтези,семейный фильм"
Уже скучаю по тебе,"драма,мелодрама,комедия"
Танцующий в пустыне,драма
"Такой же предатель, как и мы",шпионский триллер
Песня ланча,драма
Переживая за Боя,драма
Пещера забытых снов,документальный
Суфражистка (фильм),"драматический фильм,[…]"
Опочтарение (фильм),"фэнтези,комедия,стимпанк"
Мистер Ганджубас,"драма,комедия"
Король говорит!,"драма,исторический фильм,классическая музыка"
"Ещё один год (фильм, 2010)","комедия,драма"
Иллюзионист (мультфильм),мультфильм
Парижские связи,
Убей своих друзей,"чёрная комедия,криминальный,триллер"
Дядя Дэвид,комедия
"Дикая штучка (фильм, 2010)",комедия
"Дядюшка Бунми, который помнит свои прошлые жизни","комедийный фильм,драматический фильм,фэнтезийный фильм"
Городок Семетри,"история взросления,комедийная драма,драматический фильм"
Неотразимая Тамара,романтическая комедия
Архипелаг (фильм),драматический фильм
"Мёртвые (фильм, 2010)",фильм о зомби
127 часов,"драма,триллер"
Люди Икс: Первый класс,"супергероика,боевик,научная фантастика,альтернативная история"
"Ловушка (фильм, 2011)",триллер
Леди (фильм),"биография,драма"
Красавица из трущоб,"драма,мелодрама"
Кориолан (фильм),"триллер,драма"
Калейдоскоп любви,драма
"Ван Гог (фильм, 2010)",Фильм-биография
Ирландский маршрут,"драма,детектив"
Железная леди (фильм),"биография,драма"
Железный рыцарь,"приключенческий фильм,боевик,исторический фильм"
Выход через сувенирную лавку,"комедия,документальный"
Дочурка Груффало (фильм),мультфильм
Дневники зомби 2: Мир мёртвых,"фильм о зомби,зомби-апокалипсис,найденная плёнка"
"Грозовой перевал (фильм, 2011)","драма,мелодрама"
