title,genre
"Без компромиссов (фильм, 2011)","боевик,триллер,детектив"
Без истерики!,"комедия,мелодрама"
"Девушка с татуировкой дракона (фильм, 2011)","детектив,триллер"
Агент Джонни Инглиш: Перезагрузка,"комедия,пародия,боевик,приключения"
"Добывайки (фильм, 2011)","драма,комедия,семейный фильм"
Последние дни на Марсе,"фантастика,триллер,ужасы"
7 дней и ночей с Мэрилин,"драма,биография"
Джордж Харрисон: жизнь в материальном мире,"биографический фильм,документальный фильм"
Порочные игры,психологический триллер
От звонка до звонка,"драма,криминальный"
Пипец 2,"боевик,чёрная комедия,супергеройский фильм,драма"
Как выйти замуж за миллиардера,комедия
Остановившаяся жизнь,драма
На грани сомнения,триллер
Не просто счастливый конец,"Романтическая комедия,Драма"
Впусти меня. Сага,"фильм ужасов,драма"
Мёртвые 2: Индия,фильм о зомби
Лок (фильм),экзистенциальная драма
Лето в феврале,драма
Как украсть бриллиант,комедия
Из пекла,"криминальный,триллер"
Как я теперь люблю,мелодрама
Дух 45-го,документалистика
Долгий путь к свободе (фильм),"биография,драма"
Диана: История любви,"биографическая,драма"
"Двойник (фильм, 2013)","драма,трагикомедия,триллер"
"Грязь (фильм, 2013)","чёрная,трагикомедия"
Властелин любви,биографический фильм
Выживут только любовники,"фэнтези,драма"
"Вендетта (фильм, 2013)",
Белль (фильм),
Армагеддец,"научно-фантастическая комедия,Альтернативный рок,инди-рок,мэдчестер,альтернативная танцевальная музыка,брит-поп,психоделический рок,данс-поп"
Алан Партридж: Альфа Отец,комедия
Бойфренд из будущего,"комедия,драма,научная фантастика"
Пластик (фильм),комедийный боевик
В страхе,психологические ужасы
Переростки на краю света,комедия
Ночь в музее: Секрет гробницы,"фэнтези,комедия,приключения,семейный"
Маньяк из Твиттера,"ужасы,найденная плёнка"
"Лицо ангела (фильм, 2014)",драма
Клуб бунтарей,"драма,триллер,экранизация"
Музей естественной истории с Дэвидом Аттенборо,документальный
Молодое неистовство,порнографический фильм
"Молодая кровь (фильм, 2014)","триллер,боевик"
Занесло,"Гангстерский фильм,Боевик,Комедия,Триллер"
Каникулы мечты,"комедийная,драма"
Зал Джимми,"историческая,драма"
Два лика января,триллер
Достать Санту,"комедия,семейный фильм"
Долгое падение (фильм),"комедийный фильм,драматический фильм,чёрная комедия"
Исход: Цари и боги,"пеплум,драма"
Женщина в чёрном 2: Ангел смерти,"ужасы,мистика,драма"
"Гордость (фильм, 2014, Иордания)",драма
Гордость (фильм),"драма,комедия,драматический фильм,комедийный фильм,ЛГБТ-фильм"
Версальский роман,драма
"Воспоминания о будущем (фильм, 2014)","драма,исторический"
Вселенная Стивена Хокинга,"историческая,мелодрама"
71 (фильм),"историческая,драма"
"Голгофа (фильм, 2014)",
Стив Джобс (фильм),"биографическая,драма"
Скандальная леди У,
Молодость (фильм),драма
"Макбет (фильм, 2015)","эпическая,историческая драма"
Несмотря на падающий снег,драма
"Милый Ханс, дорогой Пётр",драма
Отель «Мэриголд». Заселение продолжается,"драма,комедия"
"Любовник леди Чаттерлей (фильм, 2015)","драма,мелодрама,эротика"
Лондонские каникулы,"комедия,мелодрама"
"Легенда (фильм, 2015)",криминальная драма
Кэрол (фильм),мелодрама
"Комната (фильм, 2015)",драма
Лобстер (фильм),"драма,черная комедия,фантастика,антиутопия"
Леди в фургоне,"биография,комедия-драма"
"Из тьмы (фильм, 2015)",Фильм ужасов
Девушка из Дании,"драма,биография"
Зима в огне,документальный
Из машины,"научно-фантастический,триллер"
Кладбище великолепия,драма
"Высотка (фильм, 2015)","драматический фильм,[…],антиутопический фильм,экранизация романа"
Всё могу,"комедийный фильм,[…],научно-фантастический фильм,[…]"
"Переломный момент (фильм, 2015)",документальная драма
Дорога к дому (фильм),документальный фильм
Барашек Шон: Фермерский бедлам,"комедия,семейный"
45 лет,драма
Бруклин (фильм),мелодрама
Барашек Шон (мультфильм),"приключения,комедия,семейный"
"Всевидящее око (фильм, 2015)",военный фильм
"Страсть (фильм, 2012)","драма,триллер,детектив,криминал"
Рядовой Писфул (фильм),"драма,военный фильм,Саундтрек"
"Преступник (фильм, 2012)",криминальный фильм
Подземелье драконов 3: Книга заклинаний,"фэнтези,приключения"
Ноно — мальчик-детектив,"драма,приключения,семейный"
"Отверженные (фильм, 2012)","мюзикл,историческая драма"
На дороге (фильм),"приключенческая,драма"
Гаскойн. Легенда Англии,документальный фильм
"Милый друг (фильм, 2012)",драма
Лив и Ингмар,документальный
"Вдали от обезумевшей толпы (фильм, 2015)",мелодрама
"Кон-Тики (фильм, 2012)","исторический,драма,приключения"
"Женщина в чёрном (фильм, 2012)","готика,нуар,триллер,фильм ужасов,драма,мистика"
Доля ангелов,"комедия,драма"
"Девушка (фильм, 2012, Великобритания)","биографическая,драма"
"Самозванец (фильм, 2012)","Документальный,биография"
Гольциус и Пеликанья компания,"драма,биография"
Гайд-Парк на Гудзоне,"фильм-биография,комедия,драма"
"Квартет (фильм, 2012)",трагикомедия
Мы покорим Манхэттен,драма
"Влюблённые (фильм, 2012)",мелодрама
Студия звукозаписи «Берберян»,"ужасы,триллер"
В поисках Сахарного Человека,документальный
"Анна Каренина (фильм, 2012)","историческая,романтическая драма"
Акт убийства,"документальный,исторический"
Стрэттон: Первое задание,"боевик,триллер"
Союзники (фильм),романтический триллер
Свет в океане,мелодрама
Вторжение извне,"фантастика,триллер,боевик"
Примадонна (фильм),"биографическая,трагикомедия"
"По ту сторону двери (фильм, 2016)",фильм ужасов
По млечному пути,драматический фильм
Песнь дьявола,"триллер,драма,ужасы"
Синг Стрит,"музыкальная,комедия-драма"
Отрицание (фильм),
Новая эра Z,"постапокалиптический,научно-фантастический,фильм о зомби"
Падение Лондона,"боевик,триллер"
Леди Макбет (фильм),историческая драма
Крутые меры,"боевик,драма"
"Лев (фильм, 2016)",драма
Дом странных детей мисс Перегрин,"фэнтези,приключения"
Бомба (фильм),"драматический,история взросления"
Мальчик-миллиардер,"комедия,драма"
"Голем (фильм, 2016)",триллер
Бесконечная поэзия,"драма,биография,фэнтези"
Американская милашка,Роуд-муви
Бриджит Джонс 3,"комедия,мелодрама,дэнс-поп,современный ритм-н-блюз"
"Человек, который убил Дон Кихота","трагикомедия,притча,магический реализм"
Автобан (фильм),боевик
Частная война,"драма,военный,биография"
"Фестиваль (фильм, 2018)",комедия
Фантастические твари: Преступления Грин-де-Вальда,"фэнтези,приключения,семейный,детектив"
Удивительный мир Марвена,"фэнтези,драма,комедия,биография"
Фаворитка (фильм),"исторический фильм,комедия-драма"
Кристин (фильм),"биографический фильм,драматический фильм"
Счастливый принц (фильм),"драматический фильм,биографический фильм,ЛГБТ-фильм"
"С Новым годом, Колин Бёрстед",комедийная драма
"Перестрелка (фильм, 2016)",комедийный боевик
Расскажи это пчёлам,"независимый кинематограф,драматический фильм,романтический фильм,фильм о лесбиянках,романтическая драма"
Правила бойни,комедия ужасов
Последняя миссия,боевик
Профиль (фильм),триллер
Положитесь на Пита,фильм-драма
"Патрик (фильм, 2018)",комедия
Повелители хаоса,"триллер,байопик"
Пассажир (фильм),"боевик,триллер"
Операция «Шаровая молния»,"триллер,драма,криминал"
Отель «Артемида»,"боевик,триллер"
Они никогда не станут старше,"военный,документальный,исторический"
Новорождённый (фильм),"драма,детектив"
Неправильное воспитание Кэмерон Пост,драма
Нуреев. Белый ворон,"биографический фильм,драматический фильм"
Исключение (фильм),"драматический фильм,романтический фильм"
"Невидимка (фильм, 2018)",триллер
Недвижимость (фильм),драматический фильм
"Немой (фильм, 2018)","фантастика,детектив,триллер"
"Неповиновение (фильм, 2017)",драма
Карантин Z,"боевик,о зомби"
Крылья урагана (фильм),"военный,драма,боевик"
Иногда. Всегда. Никогда,драма
За мечтой,драма
Две королевы,
"Мария Магдалина (фильм, 2018)",драма
"Высшее общество (фильм, 2018)","научно-фантастический фильм,фильм ужасов,драматический фильм,артхаусный научно-фантастический фильм"
Где соприкасаются руки,драма
"Вы умрёте, или мы вернём вам деньги","боевик,комедия"
Город лжи,"триллер,драма,криминал,детектив,биография"
"Вдовы (фильм, 2018)","драма,детективный фильм,триллер"
Будка поцелуев,"Мелодрама,комедия"
Ван Гог. На пороге вечности,"биография,драма"
Богемская рапсодия (фильм),"драма,биография"
Аферисты поневоле,"комедия,боевик"
"Апостол (фильм, 2018)","Ужасы,Драма,Фантастика"
Агент Джонни Инглиш 3.0,"комедия,пародия,боевик"
Агата и правда об убийстве,
"Гонка века (фильм, 2018)","драма,приключения,биография"
Гость на свадьбе,фильм-триллер
Голая Джульетта (фильм),"комедийная драма,драматический фильм"
Дикие предки,"приключения,комедия,семейный фильм"
King’s Man: Начало,"боевик,фантастический триллер,приключение"
"Точка кипения (фильм, 2021)","драматический фильм,фильм-триллер"
Сирано (фильм),"драма,история"
T2: Трейнспоттинг,"драма,чёрная комедия,Альтернативный рок,хип-хоп,электронная музыка"
"Спиритический сеанс (фильм, 2021)",фильм ужасов
Спенсер (фильм),"биографическая,историческая драма"
"Эйфория (фильм, 2017)",драма
Kingsman: Золотое кольцо,"Боевик,шпионская фантастика,комедия"
Чёрный песок: История Песочного человека,Фантастика
Хэмстед (фильм),
Фантастическая любовь и где её найти,"драма,мелодрама,комедия"
Чужой: Завет,"научно-фантастический,фильм ужасов"
Убийство священного оленя,психологический триллер
Уитни: Могу я быть собой?,документальный фильм
10 на 10,психологический триллер
2036: Происхождение неизвестно,научная фантастика
Тюльпанная лихорадка (фильм),"драма,мелодрама"
"Ты, я и он (фильм, 2018)",романтическая комедия
Тебя никогда здесь не было,триллер
Тёмные времена,"драма,военный,биография"
Тайна 7 сестёр,"научно-фантастический фильм,фильм-триллер,антиутопический фильм"
"Три билборда на границе Эббинга, Миссури","драма,криминал"
Синяя бездна,"фильм ужасов,триллер"
Смерть Сталина (фильм),"политико-сатирическая,чёрная комедия"
Скрюченный домишко (фильм),"драма,криминал,детектив"
Снеговик (фильм),психологический триллер
"Прощай, Кристофер Робин",биографическая драма
"Секретный агент (фильм, 2017)","боевик,триллер"
Приключения Паддингтона 2,"семейный фильм,комедия"
Предчувствие конца (фильм),"драматический фильм,экранизация романа"
"Эмма (фильм, 2020)",комедийная драма
Шесть минут до полуночи,фильм-триллер
Последний портрет,"драма,биография"
Энола Холмс,детектив
"Чёрная Красавица (фильм, 2020)","драматический фильм,экранизация романа"
Человек в шляпе,"роуд-муви,комедия"
"Таинственный сад (фильм, 2020)","фэнтези,драма,семейный фильм"
Убийства по открыткам,криминал
,"романтическая комедия,музыкальный фильм,фэнтези"
Шкатулка дьявола,Ужасы
Эсав (фильм),
"Супернова (фильм, 2020)",мелодрама
Супер Пёс и Турбо Кот,"Приключение,Комедия,Юмор,Анимация"
Страна солнца,драматический фильм
Три секунды,драма
"Сувенир (фильм, 2019)",драма
Стражи Арктики,кинокомедия
Рокетмен,"мюзикл,драма,биография"
Руководство по сексу на втором свидании,"мелодрама,комедия"
Сторожка (фильм),"триллер,фильм ужасов"
Снегоуборщик (фильм),"чёрная комедия,триллер,боевик"
Синяя бездна 2,"фильм ужасов,триллер"
Самоизоляция (фильм),"драма,триллер"
Рождество на двоих,романтическая комедия
"Пиноккио (фильм, 2019)","фэнтези,приключения"
"Свинья (фильм, 2021)","драма,триллер"
"Прощённый (фильм, 2021)","экранизация романа,драматический фильм"
Рождённый стать королём,"фэнтези,приключения"
Пушки Акимбо,"боевик,комедия"
"Последствия (фильм, 2019)","драма,мелодрама,военный фильм"
Покидая Неверленд,документальный фильм
Прошлой ночью в Сохо,психологический фильм ужасов
Последнее письмо от твоего любимого,"драматический фильм,романтический фильм"
Лауреат (фильм),биографический фильм
Последняя дуэль (фильм),"эпический,исторический драматический,боевик"
Остров Бергмана,драматический фильм
Операция «Мясной фарш» (фильм),"военный фильм,экранизация книги,драматический фильм"
Мальчик по имени Рождество,"фэнтезийный фильм,экранизация романа,рождественский фильм"
Локдаун (фильм),"фильм-ограбление,комедийный фильм,романтический фильм"
Культовые тусовщики (фильм),фильм-биография
Исчезнувший,"триллер,драма,детектив"
"Край света (фильм, 2021)","историко,приключенческая,драма"
Кролик Питер 2,"комедия,семейный"
Заложники Марса,
Великий «Юнайтед»,"документальный фильм,спортивный фильм,исторический фильм"
"Идентичность (фильм, 2021)",драматический фильм
Гнев человеческий,"боевик,триллер"
Вальдо (фильм),"криминал,триллер,детектив"
"Отступник (фильм, 2017)",драма
Белфаст (фильм),"драма,биография"
Познакомься с новыми обстоятельствами,"драма,мелодрама,комедия"
"Отпетый мачо (фильм, 2017)",боевик
"На берегу (фильм, 2018)",драма
"Объезд (фильм, 2016)","криминальный,триллер"
Мои дни с Мёрси,мелодрама
"Моя кузина Рэйчел (фильм, 2017)","драма,мелодрама,детектив"
Малыш на драйве,"боевик,триллер,комедия"
Красавица для чудовища,"романтический фильм,художественное произведение об истории,драматический фильм,биографический фильм"
Конец пути,"драматический фильм,военный фильм"
Клинок бессмертного (фильм),"Боевик,триллер"
Кинозвёзды не умирают в Ливерпуле,"драма,мелодрама,биография"
Как разговаривать с девушками на вечеринках,"научная фантастика,комедия"
"Иностранец (фильм, 2017)","боевик,триллер"
Закон о детях (фильм),"драматический фильм,экранизация романа"
"Жена (фильм, 2017)",драма
Заклятье. Наши дни,"фильм ужасов,фильм-триллер,фильм-тайна"
"Дюнкерк (фильм, 2017)","военная,драма,боевик"
Дыши ради нас,"драма,мелодрама,биография"
Время псов,"боевик,триллер"
Виктория и Абдул,драма
"Вечеринка (фильм, 2017)",трагикомедия
Ветреная река,триллер
Букшоп,"драматический фильм,экранизация романа"
"Ван Гог. С любовью, Винсент","драма,биография"
"Бои без правил (фильм, 2017)","криминал,триллер,драма,биография,спорт"
6 дней,"боевик,триллер"
"Битва полов (фильм, 2017)",комедия-драма
Бегущий по лезвию 2049,"научная фантастика,боевик,киберпанк,триллер,антиутопия,драма"
Рождество кота Боба,"драматический фильм,экранизация романа,рождественский фильм"
"Сделано в Италии (фильм, 2020)","комедия,драма"
"Ребекка (фильм, 2020)",триллер
Родовое проклятие,
"Проклятие ведьмы (фильм, 2020)",ужасы
"Призраки войны (фильм, 2020)",ужасы
Пикси (фильм),комедийный триллер
Понедельник (фильм),драма
"Падение (фильм, 2020)",драма
"Отец (фильм, 2020)",психологическая драма
Побег из Претории,триллер
Неизбранные дороги,драма
Не входи,фильм ужасов
Мой создатель,"Научная фантастика,Психологическая драма"
Марионетка (фильм),
Любовь. Свадьба. Повтор,"романтическая комедия,комедийный фильм,романтический фильм"
Легенда о волках,"фэнтези,приключения,семейный"
Книга видения,"драматический фильм,психологический фильм"
Игры шпионов,
Залив тишины,триллер
Его дом,"фильм ужасов,триллер"
Дэвид Боуи: История человека со звёзд,"музыкальный фильм,биографический фильм,драматический фильм"
В ожидании Ани (фильм),драма
Герцог (фильм),"комедийный фильм,биографический фильм"
Дау. Никита Таня,
Бывшая с того света,Комедия
"Девушка, подающая надежды","драма,чёрная комедия,триллер"
Дау. Вырождение,
Бог грома,"фэнтези,боевик,приключения,драма"
"Амулет (фильм, 2020)",ужасы
"Офелия (фильм, 2018)",романтическая драма
Песня имён (фильм),драма
Опасный элемент,Фильм-биография
Мы призываем тьму,"триллер,ужасы"
Опасная роль Джин Сиберг,политический триллер
"Однажды в Голливуде (фильм, 2019)","комедия-драма,альтернативная история"
Моя Зои,драматический фильм
Миссис Лаури и сын,биографический фильм
Майкл Джексон: В погоне за правдой,документальный фильм
"Мальчик, который обуздал ветер",драма
Малыш Джо,"драматический фильм,научно-фантастический фильм"
"Курьер (фильм, 2019)",триллер
Король Англии (фильм),"биография,драма,военный,история"
"Кармилла (фильм, 2019)",Ужасы
"Исчезновение (фильм, 2019)",триллер
История Дэвида Копперфилда,комедийная драма
"Жадность (фильм, 2019)","комедия,сатира"
"Другой (фильм, 2019)","фильм ужасов,фильм-триллер"
Джуди (фильм),"драма,биография,мюзикл"
"Извините, мы вас не застали",драма
Джентльмены (фильм),"криминал,комедия,боевик"
Вивариум,"научно-фантастический фильм,фильм-триллер"
Британский психопат,"боевик,криминал"
Брексит (фильм),драматический фильм
Борьба с моей семьёй,"драма,комедия,биография,спорт"
Барашек Шон: Фермагеддон,"приключения,комедия,семейный,научная фантастика"
Аббатство Даунтон (фильм),драма
Энола Холмс 2,детектив
1917 (фильм),"военная,драма"
"Чудо (фильм, 2022)",
Целиком и полностью,"романтический,фильм ужасов,роуд-муви"
Эмили (фильм),"биографический фильм,драматический фильм,исторический фильм"
Убойный монтаж,"комедия,ужасы,боевик"
"Сын (фильм, 2022)",драматический фильм
"Сопротивление (фильм, 2020)","военный,биография,драма,история"
Солнце моё,драматический фильм
"Смотрите, как они бегут","криминальная комедия,фильм-тайна,комедийный фильм"
"Преступления будущего (фильм, 2022)",научная фантастика
При чём тут любовь?,
Падение Луны,"научно-фантастический фильм,фильм-катастрофа,апокалиптический фильм"
Мюнхен. На грани войны,
Операция «Фортуна»: Искусство побеждать,комедийный боевик
Мы встретились в виртуальной реальности,документальный
Мой полицейский,"драматический фильм,романтический фильм"
Любовь по вызову,комедийная драма
Любовь как бестселлер,
"Миссис Харрис едет в Париж (фильм, 2022)",мелодрама
Империя света (фильм),мелодрама
Извержение вкуса,
"Любовник леди Чаттерлей (фильм, 2022)","драма,мелодрама,эротика"
"Аргентина, 1985","драматический фильм,юридическая драма,историческая драма,исторический фильм"
Аббатство Даунтон: Новая эра,историческая драма
Хидэо Кодзима: Соединяя миры,документальный фильм
"Жить (фильм, 2022)",драматический фильм
Аферист из Tinder,"документальный фильм,настоящее преступление"
Вечная дочь,драма
Варяг (фильм),"исторический фильм,приключенческий фильм,боевик"
Банши Инишерина,"чёрная,трагикомедия"
"Три мушкетёра (фильм, 2023)","история,приключения"
Тетрис (фильм),"биографический,триллер"
"Северная звезда (фильм, 2023)",драматический фильм
Последний стрелок,драматический фильм
"Поселенцы (фильм, 2023)","исторический фильм,драматический фильм,криминальный фильм,вестерн"
Переводчик (фильм),"боевик,триллер,военная драма"
Стальная хватка,"драматический фильм,биографический фильм,спортивный фильм"
Паб «Старый дуб»,драма
Одна жизнь,"биографический фильм,Драматический фильм"
Манодром,"драматический фильм,фильм-триллер"
"Незнакомцы (фильм, 2023)","драма,фэнтези"
Критик (фильм),"исторический,триллер"
"Незваные (фильм, 2023)",
Невероятное паломничество Гарольда Фрая,"драматический фильм,экранизация романа"
"Наполеон (фильм, 2023)","эпическая,историческая драма"
Нандор Фодор и говорящий мангуст,
Корабль призраков,Фильм ужасов
"Контроль (фильм, 2023)","боевик,фильм-триллер"
Клуб Зеро (фильм),драма
Как заниматься сексом,драматический фильм
Всемирный потоп (фильм),"драма,триллер,фильм-катастрофа"
Злобные маленькие письма,комедия
Жанна Дюбарри (фильм),"исторический фильм,биографический фильм,драматический фильм"
Зона интересов (фильм),драма
Вонка (фильм),"мюзикл,фэнтезийная комедия"
Вдова Клико (фильм),драматический фильм
Великая (фильм),биография
Будика: Королева воинов,"боевик,приключенческий фильм,пеплум"
Винни-Пух: Кровь и мёд,слэшер
1242: Врата на Запад,
Бедные-несчастные (фильм),"стимпанк,чёрная комедия,сюрреализм"
Айлин (фильм),"психологический фильм-триллер,экранизация романа"
Совсем как женщина,комедия
Смысл истории,комедия
Поворот винта (фильм),"фильм ужасов,триллер"
Самостоятельная жизнь,драма
Синий лёд,"боевик,триллер"
Песчаный дьявол,"фильм ужасов,артхаус"
"На запад (фильм, 1992)","приключенческий фильм,семейный фильм"
Орландо (фильм),"драма,мелодрама"
Жестокая игра,драма
Друзья Питера,"комедия,драма,мелодрама"
Город удовольствий,драма
Во всём виноват посыльный,комедия
Горькая луна,"мелодрама,эротика,триллер"
Школьная драка,"чёрная комедия,супергеройский фильм"
Говардс-Энд (фильм),драма
След киллера,"триллер, детектив"
Сентябрь говорит,драматический фильм
Разрез (фильм),психологический триллер
Пятый битл,фильм-биография
"Сенсация (фильм, 2024)","биографический фильм,драматический фильм"
"Рассвет (фильм, 2024)",фильм ужасов
Тайна в её глазах,"фильм-триллер,[…],драматический фильм"
"Птица (фильм, 2024)",драматический фильм
"Проклятые (фильм, 2024)",фильм ужасов
"Конклав (фильм, 2024)",триллер
"Здравствуй, грусть! (фильм, 2024)",драма
Обратно во мрак,"биографический фильм,драматический фильм,музыкальный фильм"
Министерство неджентльменских дел,комедийный боевик
