Название,Жанр,Продюссер,Страна,Год
Детектив Ди и тайна Призрачного Пламени,Боевик Детектив Фэнтези,Цуй Харк  Бабочки-убийцы  (1979)  Мы собираемся вас съесть  (1980)  Опасность первого типа  (1980)  Зу: Воины с Волшебной горы  (1983)  Шанхайский блюз  (1984)  Безумная миссия 3: Наш человек с Бонд-стрит  (1984)  Блюз пекинской оперы  (1986)  Светлое будущее 3: Любовь и смерть в Сайгоне  (1989)  Виртуоз  (1990)  Король шахмат  (1991)  Однажды в Китае  (1991)  Однажды в Китае 2  (1992)  Мастер  (1992)  Зелёная змея  (1993)  Однажды в Китае 3  (1993)  Однажды в Китае 5  (1994)  Лезвие  (1995)  Колония  (1997)  Взрыватель  (1998)  Время не ждёт  (2000)  Воины Зу  (2001)  Чёрная маска 2: Город масок  (2002)  Семь мечей  (2005)  Забытое  (2008)  Всё о женщине  (2008)  Детектив Ди и тайна Призрачного Пламени  (2010)  Врата дракона  (2011)  Молодой детектив Ди: Восстание морского дракона  (2013)  Следы в заснеженном лесу  (2014),Китай  Гонконг,2010
Карамай (фильм),Документальный фильм,Сюй Синь,Китай,2010
"Жертвоприношение (фильм, 2010)","драма ,  исторический",Чэнь Кайгэ,Китай,2010
Большой солдат,исторический фильм боевик комедия,Дин Шэн  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Китай  Гонконг,2010
Хунмэньское празднество (фильм),исторический,Дэниэл Ли,Китай,2011
Вместе порознь,Драма,Ван Цюаньань,Китай,2010
Создание партии,исторический,Хуан Цзяньсинь Хань Санпин,Китай,Часть первая: 2011
Нечестных прошу не беспокоить 2,романтическая кинокомедия мелодрама,Фэн Сяоган,Китай,2010
Власть убийц,боевик приключения,Су Чжаобинь  Джон Ву   (сорежиссёр),Китай  Гонконг  Китайская Республика,2010
Кулак легенды: Возвращение Чэнь Чжэня,"боевик ,  драма",Эндрю Лю Вэйян (Лау Ваикёнг),Гонконг    Китай,2010
Равнина белого оленя (фильм),драма,Ван Цюаньань,Китай,2011
"Меченосцы (фильм, 2011)",боевик криминальный фильм драма триллер,Питер Чан,Гонконг  Китай,2011
Падение последней империи,исторический фильм драма,Джеки Чан Чжан Ли  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Китай  Гонконг,2011
Полицейская история 2013,"боевик ,  криминал ,  триллер",Дин Шэн,Китай  Гонконг,2013
Врата дракона,боевик приключенческий фильм,Цуй Харк  Бабочки-убийцы  (1979)  Мы собираемся вас съесть  (1980)  Опасность первого типа  (1980)  Зу: Воины с Волшебной горы  (1983)  Шанхайский блюз  (1984)  Безумная миссия 3: Наш человек с Бонд-стрит  (1984)  Блюз пекинской оперы  (1986)  Светлое будущее 3: Любовь и смерть в Сайгоне  (1989)  Виртуоз  (1990)  Король шахмат  (1991)  Однажды в Китае  (1991)  Однажды в Китае 2  (1992)  Мастер  (1992)  Зелёная змея  (1993)  Однажды в Китае 3  (1993)  Однажды в Китае 5  (1994)  Лезвие  (1995)  Колония  (1997)  Взрыватель  (1998)  Время не ждёт  (2000)  Воины Зу  (2001)  Чёрная маска 2: Город масок  (2002)  Семь мечей  (2005)  Забытое  (2008)  Всё о женщине  (2008)  Детектив Ди и тайна Призрачного Пламени  (2010)  Врата дракона  (2011)  Молодой детектив Ди: Восстание морского дракона  (2013)  Следы в заснеженном лесу  (2014),Китай,2011
Мастер тай-цзи,боевые искусства,Киану Ривз  Мастер тай-цзи  (2013),США  Китай,2013
Прикосновение греха,драма,Цзя Чжанкэ,Китай  Япония  Гонконг,2013
"Вперёд, товарищи!",драма,Ван Илинь,Китай,2013
Вишенка на гранатовом дереве,драма,Чэнь Ли,Китай,2012
"Последний ужин (фильм, 2012)",исторический,Лу Чуань,Китай,8 сентября   2012   и  29 ноября   2012
Петля времени (фильм),боевик научная фантастика драма   антиутопия,"Райан Джонсон  Кирпич  (2005)  Братья Блум  (2008)  Петля времени  (2012)  Звёздные войны: Последние джедаи  (2017)  Достать ножи  Достать ножи  (2019)  Стеклянная луковица  (2022) награды  Проснись, мертвец  (2025)",США   Китай,"6 сентября   2012  ,  26 сентября   2012  ,  27 сентября   2012  ,  28 сентября   2012   и  3 октября   2012"
Нарковойна,"криминал ,  боевик",Джонни То,"Китай ,   Гонконг",2012
Великий мастер (фильм),фильм-биография боевик,Вонг Карвай,Гонконг  Китай,2013
"Убийцы (фильм, 2012)",исторический,Чжао Линьшань,Китай,2012
Доспехи Бога 3: Миссия Зодиак,приключенческий фильм комедия боевик,Джеки Чан  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг  Китай,2012
"Переправа (фильм, 2014)","драма, военный, исторический",Джон Ву,Гонконг    Китай,"первая часть — 2014,   вторая часть — 2015"
"Лучшие друзья (фильм, 2014)",комедия,Нин Хао,Китай,2014
Трансформеры: Эпоха истребления,научно-фантастический   боевик,Майкл Бэй,США   Китай,2014
Превосходство (фильм),фантастический   триллер,Уолли Пфистер,США,2014
Седьмой сын,фэнтези приключения,Сергей Бодров-ст.  Эффект колибри  Лок  Море соблазна  Острые козырьки,США  Великобритания  Канада  Китай,2014
"На гребне волны (фильм, 2015)",боевик,Эриксон Кор,США  Германия  Китай,2015
"Возвращение (фильм, 2014)",драма,Чжан Имоу,Китай,2014
Меч дракона (фильм),боевик   и  фильм о боевых искусствах,Дэниэл Ли,Китай,2015
Снежная королева 3: Огонь и лёд,"приключения ,    семейный ,  комедия ,  сказка  компьютерная",Алексей Цицилин,Россия,29 декабря 2016
"Против течения (фильм, 2016)",драматический фильм,Ян Чао,Китай,2016
"Русалка (фильм, 2016)","фэнтези ,  комедия",Стивен Чоу,"Китай ,   Гонконг",2016
Рок Дог,приключение комедия музыка  компьютерная,Эш Брэннон,США  Китай  Великобритания,2016
По ту сторону океана,"приключения ,  фэнтези  рисованная",Лян Сюань,Китай,03.07.2016
"Меч третьего молодого господина (фильм, 2016)",боевик драма,Дерек И,Китай  Гонконг,2016
Отпетые напарники,боевик комедия,Ренни Харлин,Гонконг  США  Китай,2016
Железнодорожные тигры,комедия боевик военный,Дин Шэн,Китай,2016
Кунг-фу панда 3,комедийный фильм о боевых искусствах  компьютерная  Music from the Motion Picture,Дженнифер Ю Нельсон Алессандро Карлони,США   Китай,"21 января   2016  ( ) 28 января  2016 ( ,  ,  ,  ) 29 января  2016 ( )"
Великая стена (фильм),боевик приключения фэнтези,Чжан Имоу  Майкл Клейтон  (2007)  Ничего личного  (2009)  Эволюция Борна  (2012),Китай  США,2016
"Крадущийся тигр, затаившийся дракон: Меч судьбы",боевик приключенческий фильм драма,"Юнь Вопхин  Змея в тени орла  (1978)  Пьяный мастер  (1978)  Великолепный мясник  (1979)  Танец пьяного богомола  (1979)  Кулак буддиста  (1980)  Дредноут  (1981)  Магические бойцы  (1982)  Легенда о бойце  (1982)  Шаолиньский пьяница  (1983)  Пьяный тайцзи  (1984)  Странные парочки  (1985)  Близкая встреча с вампиром  (1986)  При исполнении 4: Свидетель  (1989)  Клетка тигра  (1988)  Клетка тигра 2  (1990)  Клетка тигра 3  (1991)  Железная обезьяна  (1993)  Два воина  (1993)  Герои среди героев  (1993)  Огненный дракон  (1994)  Вин Чунь  (1994)  Красный волк  (1995)  Мастер тайцзи 2  (1996)  Настоящая легенда  (2010)  Крадущийся тигр, затаившийся дракон: Меч судьбы  (2016)  Тысяча лиц Дуньцзя  (2017)  Мастер Z: Наследие Ип Мана  (2018)  Септет: История Гонконга  (2020)",Китай  США,2016
"Кармен (фильм, 2003, Россия)",драма криминальный фильм мелодрама,Александр Хван,Россия,2003
"Как быть (фильм, 2003)","драма ,  Комедия ,  Мелодрама",Клэр Килнер,США,2003
К чёрту любовь!,комедия,Пейтон Рид,США,2003
Истребитель драконов,"триллер ,  фантастика ,  ужасы .",Филлип Дж. Рот,США,2003
История Уэнделла,"драма, мелодрама, комедия","Эндрю Уилсон, Люк Уилсон","германия, сша",2003
"Кармен (фильм, 2003, Испания)",драма  /  мелодрама,Висенте Аранда,Испания  Италия  Великобритания,2003
Карандиру (фильм),драма,Эктор Бабенко,Бразилия  Аргентина,2003
Прах времён,"драма ,  уся",Вонг Карвай,КНР,1994
Наложница великого завоевателя,исторический,Стивен Синь,Китай  Гонконг,1994
Цю Цзюй обращается в суд,драма комедия,Чжан Имоу,Китай,1992
"Жить (фильм, 1994)",драма,Чжан Имоу,Китай,1994
Шанхай. Двадцатые годы,драма,По-Чин Леонг,Китай  Гонконг,1991
Зажги красный фонарь,драма,Чжан Имоу,Китай  Гонконг  Китайская Республика,1991
Доспехи Бога,"приключенческий фильм ,  экшн ,  комедия",Джеки Чан  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),,1986
Утраченная юность,драма,Чжан Нуаньсинь,Китай,1985
Последний император,историческая   драма,Бернардо Бертолуччи,Великобритания  Италия  Китай  Франция,1987
"Танец смерти (фильм, 1980)",боевик комедия,Чэнь Чжихуа,Китайская Республика,1980
"Прощай, моя наложница",драма музыкальный фильм мелодрама,Чэнь Кайгэ,Китай  Гонконг,1993
Человек за солнцем,исторический фильм фильм ужасов,Моу Дуньфэй,Гонконг  Китай,1988
Отряд с фантастической миссией,боевик комедия,Чжу Яньпин,Гонконг  Китайская Республика,1983
Неустрашимый Удан,боевик,Сунь Ша,Китай,1983
Дуньхуан (фильм),драма,Дзюнъя Сато,Япония  Китай,1988
"Криминальная история (фильм, 1993)",детектив драма триллер нуар,Кирк Вон  Джеки Чан  (Отдельные эпизоды)  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг,1993
Чёртова дюжина из Шанхая,боевик,Чжан Чэ,Китайская Республика  Гонконг,1984
Жёлтая земля,драма музыкальный,Чэнь Кайгэ,Китай,1984
Цзюй Доу,драма,Чжан Имоу Ян Фэнлян,Китай  Япония,1990
"Боевые искусства Шаолиня (фильм, 1986)",боевик,Лю Цзялян,Гонконг    Китай,1986
Инцидент с «чёрной пушкой»,комедия,Хуан Цзяньсинь,Китай,1985
Красный гаолян,драма,Чжан Имоу,Китай,1987
Как отделаться от парня за 10 дней,романтическая  комедия,Дональд Петри,США  Германия,2003
Доктор Бетьюн,драма,Филлип Борсос,Канада   Франция   Китай,1990
Остров огня,боевик криминальный фильм драма,Чжу Яньпин,Китайская Республика,1990
Красная вишня,"драма, военный фильм",E Даинь,"Китай ,    Россия",1995
Шанхайская триада,драма криминальный,Чжан Имоу,Китай  Франция,1995
Доспехи Бога 2: Операция Кондор,"приключенческий фильм ,  экшн ,  трагикомедия",Джеки Чан     Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг,1991
"Инфекция (фильм, 2003)",драма ужасы экранизация,Крсто Папич,Хорватия  Бельгия,2003
Интимный словарь (фильм),"драма ,  мелодрама",Гай Дженкин,США,2003
"История двух сестёр (фильм, 2003)",ужасы   драма   триллер мистика,Ким Чжи Ун,Республика Корея,2003
"Инстинкт убийцы (фильм, 2003)",криминальный фильм драма,Питер Вернер,США,2003
Идущий по снегу,приключения мелодрама,Чарльз Мартин Смит,Канада,2003
Игра возмездия,"мистика ,  триллер",Джесс Уорн,Канада,2003
Идентификация (фильм),"триллер ,  неонуар ,  детектив",Джеймс Мэнголд,США,2003
"Золотой век (фильм, 2003)",Историческая   драма,Илья Хотиненко,Россия,2003
"Знакомьтесь, ваша вдова",комедия,Катрин Корсини,Франция,2003
"Золушка (телемюзикл, 2002)",Мюзикл,Семён Горов,Россия  Украина,2003
История Мари и Жюльена,драма мистика мелодрама,Жак Риветт,Франция  Италия,2003
Зловещее предупреждение,ужасы фантастика,Кристиан МакИнтайр,США,2003
"Зло (фильм, 2003)",молодёжная  драма,Микаэль Хофстрём,Швеция,2003
"Золотая молодёжь (фильм, 2003, Великобритания)",комедия драма военный фильм,Стивен Фрай,Великобритания,2003
Земное ядро: Бросок в преисподнюю,фантастика фильм-катастрофа,Джон Эмиел,США,2003
"Здравствуй, столица!",Драма,Леонид Марягин,Россия,2003
"Иностранец (фильм, 2003)","боевик ,  триллер",Майкл Обловитц,США,2003
Зелёные мясники,Чёрная комедия  /  драма,Андерс Томас Йенсен,Дания,2003
"Здравствуй, ночь (фильм)",драма,Марко Беллоккьо,Италия,2003
Затойчи,"боевик ,  драма ,  пародия",Такэси Китано,Япония,"2 сентября   2003  ,  24 июня   2004  ,  6 сентября   2003  ,  4 июня   2004   и  2003"
Застрял в тебе,комедия,Питер Фаррелли Бобби Фаррелли,США,2003
"Засну, когда умру",криминальный фильм драма триллер,Майк Ходжес,Великобритания  США,2003
Запятнанная репутация,триллер мелодрама драма,Роберт Бентон,США,2003
Зазеркалье (фильм),ужасы о сверхъестественном,Сон Хо Ким,Республика Корея,2003
И горы сдвигаются с места,драматический фильм,Цзя Чжанкэ,Китай  Франция  Япония,2015  и  20 мая   2015
Земля каннибалов,фильм ужасов,Бруно Маттеи,Италия,2003
"Заблудшие (фильм, 2003)",драма исторический фильм военный фильм,Андре Тешине,Франция  Великобритания,2003
Завтрак с Хантером,документальный,Уэйн Юинг,США,2003
За гранью,"мелодрама ,  драма ,  военный",Мартин Кэмпбелл,"США ,  Германия",2003
Жил да был Иоганн Себастьян Бах,фильм-биография,Жан-Луи Гийерму,Франция,2003
Немного кунг-фу,боевик комедия,Чэнь Чжихуа  Бесстрашная гиена  (1979)  Молодой мастер  (1980)  Лорд дракон  (1982)  Проект А  (1983)  Полицейская история  (1985)  Доспехи Бога  (1986)  Проект А: Часть 2  (1987)  Полицейская история 2  (1988)  Чудеса  (1989)  Доспехи Бога 2: Операция Кондор  (1991)  Криминальная история  (1993)  Пьяный мастер 2  (1994)  Кто я?  (1998)  Падение последней империи  (2011)  Доспехи Бога 3: Миссия Зодиак  (2012),Гонконг  Китайская Республика,1978
"Загнанный (фильм, 2003)",триллер,Уильям Фридкин,США,2003
Повелитель летающей гильотины,боевик,Джимми Ван Юй,Гонконг  Китайская Республика,1976
Храбрец и зло,боевик приключенческий фильм драма,Джимми Ван Юй,Китайская Республика,1971
Прикосновение дзена,уся,"Кинг Ху  История Су Сань  (1964)  Дети родины  (1965)  Выпей со мной  (1966)  Таверна у врат дракона  (1967)  Прикосновение дзена  (1971)  Судьба Ли Хана  (1973)  Храбрецы  (1975)  Дождь в горах  (1979)  Легенда гор  (1979)  Дело всей жизни  (1981)  Первый в Поднебесной  (1983)  Виртуоз  (1990)  Раскрашенная кожа  (1993)   Четыре настроения  (эпизод «Гнев», 1970)  Колесо жизни  (эпизод I, 1983)",Китайская Республика,1971
Семья революционеров,"драма, история",Шуй Хуа,Китай,1961
Красный женский отряд,военный,Се Цзинь,,1961
Лавка господина Линя,драма,Шуй Хуа,Китай,1959
Победа китайского народа,художественно - документальный фильм,Леонид Варламов Иван Лукинский,СССР    Китай,1950
Весна в городке,мелодрама,Фэй Му,Китайская Республика,1948
Освобождённый Китай (фильм),документальный,Сергей Герасимов Э. Волк,"СССР ,   Китай",1950
Печали и радости среднего возраста,"драма , трагикомедия",Сан Ху,Китай,1949
Весенние воды текут на восток,военная  драма,Цай Чушэн   Чжэн Цзюньли,Китайская Республика,1947
Мулань идёт в армию,Историческая военная драма,Бу Ваньцан,Китай,1939
Любовь рабочего,комедия,Чжан Шичуань,Китайская республика,1922
Весенние шелкопряды,драма,Чэн Бугао,Китайская республика,1933
Полуночная песня,фильм ужасов мелодрама,Масюй Вэйбан,Китайская Республика,1937
Битва при Динцзюньшане,документальный фильм,Жэнь Цзинфэн,Империя Цин,1905
Жизнь одна,мелодрама,Виталий Москаленко,Россия,2003
Принцесса Железный Веер,"приключенческий фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа",Вань Гучань    Вань Лаймин,Китай,1941
"Моя жизнь (фильм, 1950)",драма,Ши Хуэй,Китай,1950
Тайная разведка,шпионская драма,Лу Юй,Китай,1957
Сёстры-близнецы,драма,Чжэн Чжэнцю,Китайская Республика,1934 год
Песня рыбаков,драма,Цай Чушэн,Китайская Республика,1934
Сунь Укун: Переполох в Небесных чертогах,"фэнтезийный фильм ,  детский фильм  и  .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} экранизация романа   рисованная",Вань Лаймин Тан Чэн,Китай,1965
В едином строю,драма,"Ефим Дзиган  , Сью Вэй Ган",СССР  Китай,1959
Баскетболистка № 5,драма  /  мелодрама,Се Цзинь,Китай,1957
Алеет Восток (мюзикл),Эпический мюзикл,Ван Пин,КНР,1965
Метеор-убийца,боевик триллер,Ло Вэй,Гонконг  Китайская Республика,1976
Искусство Шаолиня. Змея и журавль,"боевик ,  драма",Чэнь Чжихуа,Гонконг  Республика Корея   Китайская Республика,1978
Евангелие от Иоанна (фильм),драма,Филипп Сэвилл,Великобритания  Канада,2003
Жизнь Дэвида Гейла,"детектив ,  драма",Алан Паркер,США  Германия,2003
Духовное кунг-фу,"боевик ,  комедия ,  фэнтези",Ло Вэй,Гонконг  Китайская Республика,1978
"Единственный (фильм, 2003)","драма ,  боевик ,  триллер",Гунашекхар,Индия,2003
Жизнь У Сюня,драма,Сунь Юй,Китай,1950
Дюплекс (фильм),чёрная комедия,Дэнни Де Вито  Продажи Винса Д'Анжело   (1982)  Игра в рейтинг   (1984)  Сбрось маму с поезда  (1987)  Война Роузов  (1989)  Хоффа  (1992)  Матильда  (1996)  Убить Смучи  (2002)  Дюплекс  (2003)  Ворчуны   (2016)   Реальность кусается  (1994)  Кабельщик  (1996)  Образцовый самец  (2001)  Солдаты неудачи  (2008)  Невероятная жизнь Уолтера Митти  (2013)  Образцовый самец 2  (2016),США,26 сентября 2003 года
Дьявольский остров,фильм ужасов триллер,Джоэль Виртел,США,2003
Другой путь,драма,Кристина Улофсон,Швеция  Франция,2003
"Другой мир (фильм, 2003)",Боевик Триллер Фантастика,Лен Уайзман,США,2003
Другой мир (серия фильмов),"тёмное фэнтези , боевик , ужасы","Лен Уайзман (Другой мир, Другой мир: Эволюция) Патрик Татопулос (Другой мир: Восстание ликанов) Манс Марлинд Бьёрн Стейн (Другой мир: Пробуждение)  Анна Ферстер (Другой мир: Войны крови)",США  Великобритания  Канада  Венгрия,2003 — настоящее время
Дочь моего босса,комедия,Дэвид Цукер,США,2003
Дракула 2: Вознесение,фильм о вампирах,Патрик Люссье,Румыния,2003
Дом мёртвых,фильм ужасов,Уве Болл,Германия,2003
Дом из песка и тумана,драма,Вадим Перельман,США,2003
Дом вверх дном,романтическая комедия,Адам Шенкман,США,2003
Дорога в Дженин,Документальный фильм,Пьер Рехов,Франция,2003
Джордж из джунглей 2,"Комедия ,  Семейный фильм ,  Приключения",Дэвид Гроссман,США  Австралия,2003
Дьявольский особняк,триллер,Майк Фиггис,Канада  США,2003
Древнее предание: Когда солнце было богом,исторический фильм,Ежи Гофман,Польша,2003
Дом 1000 трупов,"Фильм ужасов ,  чёрная комедия ,  фантастика",Роб Зомби,США,2003
Дитя Луны,"фантастика, про вампиров",Такахиса Дзэдзэ,Япония,2003
Дети шпионов 3: Игра окончена,"Шпионская фантастика ,  комедийный боевик ,  семейный фильм",Роберт Родригес,США,2003
Дежурный папа,"комедия ,  семейный фильм",Стив Карр,США,2003
Дикий табун (фильм),"драма ,  боевик",Валерий Рожко,Украина,2003
Дженис и Джон,Комедия,Самюэль Беншетри,"Франция ,  Испания",2003
Догвилль,драма триллер,Ларс фон Триер,Дания  Швеция  Великобритания  Франция  Германия  Нидерланды,2003
Девушка с жемчужной серёжкой (фильм),"драма ,  мелодрама",Питер Уэббер,Великобритания  Люксембург,2003
"День расплаты (фильм, 2003)",драма,Пол Макгиган,Великобритания  Испания,2003
Девочки на море,Комедия,Лиза Нокс-Нервиг,США,2003
"Гуд бай, Ленин!",Трагикомедия,Вольфганг Беккер,Германия,2003
"Грозовой перевал (фильм, 2003)",драма мелодрама музыкальный,Сури Кришнамма,США,2003
"Готика (фильм, 2003)",триллер фильм ужасов детектив,Матьё Кассовиц,США,2003
Джильи (фильм),"комедия ,  драма",Мартин Брест,США,2003
Дежурный аптекарь,криминальный фильм драма фильм ужасов триллер,Жан Вебер,Франция,2003
Девочки из календаря,комедия,Найджел Коул,Великобритания      США,2003
Городские девчонки,комедия  /  драма,Боаз Якин,США,2003
Город будущего (фильм),Фантастика     Боевик     Триллер     Драма,Мин Бён-чхон,,2003
Двойная рокировка 2,триллер криминальный фильм,Эндрю Лау  Алан Мак,Гонконг,2003
Голливудские копы,боевик комедия криминальный фильм триллер,Рон Шелтон,США,2003
"Годзилла, Мотра, Мехагодзилла: Спасите Токио","фантастика ,  кайдзю",Масааки Тэдзука,Япония,2003  Годзилла  Годзилла (MonsterVerse)  Ангирус  Барагон  Баттра  Биолланте  Варан  Габара  Гайган  Горозавр  Зилла   Гэзора  Камоэбас  Камакурас  Кинг-Конг  Кинг Сизар  Кумонга  Магума  Малыш Годзилла  Манда  Мехагодзилла  Мегалон  Мегагирус  Меганулы  Минилла  Могера  Мотра  Титанозавр  Орга  Родан  Космо-Годзилла  Монстр X  Разрушитель  Шокилас  Годзиллазавр  Меха-Гидора  Джет Ягуар  Оодако  Оокондору  Ганимес  Хэдора  Чудовище Франкенштейна  ( Гайра  Санда )  ГННУС   Мотра  Годзилла  Ангирус  Барагон  Баттра  Варан  Гайган  Горозавр  Камоэбас  Камакурас  Кинг Гидора  Кинг Сизар  Кумонга  Манда  Мехагодзилла  Дез-Гидора  Дагара  Минилла  Могера  Родан  СпэйсГодзилла  Зилла  Хэдора
Глава государства (фильм),комедия,Крис Рок,США,2003
Гитлер: Восхождение дьявола,фильм-биография драма,Кристиан Дюгей,Канада,2003
Голова (фильм),чёрная комедия фэнтези трэш криминал драма,Светлана Баскова,Россия,2003
Двойной форсаж,боевик,Джон Синглтон,США  Германия,2003
Гордость и предрассудки,любовная история комедия,Эндрю Блэк,США,2003
