film_title,genre
"Неторопливые пешеходы, омнибусы с открытым верхом и кэбы со скачущими лошадьми","['\n', 'Документальное кино']"
Смерть Марата (фильм),"['\n', 'исторический фильм']"
Peeping Tom,"['\n', 'драматический фильм', 'комедия']"
Спермагеддон,"['\n', 'мюзикл', 'комедия']"
"Фауст и Маргарита (фильм, 1897)","['\n', 'фантастика']"
The Beatles: Get Back,"['\n', 'документальный', 'музыкальный']"
Рентгеновские лучи (фильм),"['\n', 'комедия']"
Соник 3 в кино,"['\n', '\n', 'приключения', '\n', 'боевик', '\n', 'комедия']"
Красавица и дракон,"['\n', 'научная фантастика', ', ', 'драматический фильм', ' и ', 'приключенческий фильм']"
"Чёрная вдова (фильм, 2021)","['\n', '\n', 'супергероика', 'шпионский боевик', 'научная фантастика', 'приключения']"
Евангелион: 3.0+1.01: Как-то раз,"['психологическая драма', ', ', 'меха', ', ', 'постапокалиптика']"
Не время умирать,"['\n', 'шпионский фильм']"
Сцена в саду Раундхэй,"['\n', 'Документальное кино']"
Третья тень,"['\n', 'исторический', ' ', 'фильм-драма']"
Истребитель демонов: Поезд «Бесконечный»,"['боевик', 'фэнтези']"
"Таинственный монах (фильм, 1963)","['\n', 'дзидайгэки', ' (или ', 'историческая', ' ', 'драма', ')']"
Старая столица,"['\n', 'фильм-драма']"
Рай и ад,"['\n', 'детективный триллер']"
"Месть актёра (фильм, 1963)","['\n', 'драма']"
Она и он,"['\n', 'фильм-драма', ', ', 'авторское кино']"
Солнце рабочих окраин,"['\n', 'драма']"
Легенда или быль?,"['\n', 'драма']"
Приключения Майло и Отиса,"['\n', 'фильм о животных', 'драма', 'приключения', 'семейный']"
"Жертвоприношение (фильм, 1986)","['\n', 'драма', 'мистика']"
,"['космическая опера', ', ', 'комедия', ', ', 'боевик', ', ', 'научная фантастика']"
Стрелочник (фильм),"['\n', 'драма']"
Последний дубль,"['\n', 'драма']"
Мужчине живётся трудно. Фильм 37: Мечты Торадзиро о синей птице,"['\n', 'комедия']"
Благословенные,"['\n', 'драма']"
"Пузырь (фильм, 2006)","['\n', 'драма']"
"Холли (фильм, 2006)","['\n', 'драма']"
Фантомас против Фантомаса,"['\n', 'криминальный фильм', 'драма']"
Копьеносец Гондза,"['\n', 'драма']"
Мстители: Секретные войны,"['\n', '\n', 'супергероика', '\n', 'боевик', '\n', 'фантастика']"
Я всё равно этого не делал,"['\n', 'драма']"
"Тетрадь смерти (фильм, 2006)","['психологический триллер', ', ', 'мистика', ', ', 'детектив', '\n']"
Сумасшедшая земля,"['\n', 'драматический фильм', '[', '2', ']']"
"Свастика (фильм, 2006)","['\n', 'драматический фильм']"
Полурусская история,"['\n', 'драматический фильм']"
Аватар 4,"['\n', 'эпический фильм', 'научная фантастика', 'боевик', 'приключения', 'фэнтези']"
"Цветок (фильм, 2006)","['\n', 'комедия', 'драма']"
Подобный дракону: Пролог,"['\n', 'Детективный фильм']"
Триумф духа. История Феликса Зандмана,"['\n', 'Документальное кино']"
Паприка (аниме),"['научная фантастика', ', ', 'психологический триллер', ', ', 'мистика', ', ', 'детектив']"
Любовь и честь,"['\n', 'Драма']"
Связанные руки,"['\n', 'драма']"
Девочка-полицейский Йо-йо,"['\n', 'фантастика', ', ', 'боевик']"
Лес Животных,"['драма', ', ', 'комедия', ', ', 'фэнтези']"
Отпечаток (фильм),"['\n', 'Ужасы', 'Мистика']"
film_title,genre
Неуязвимый (серия фильмов),[]
Люди остаются людьми,[]
Американский пирог представляет (серия фильмов),[]
film_title,genre
Кружка пива,['мультфильм']
Клоун и его собачки,['мультфильм']
Серпантин (фильм),['короткометражка']
Регата между Оксфордским и Кембриджским университетами,['Документальное кино']
Танец Лои Фуллер,['документальный фильм']
Прыжок через одеяло,['Документальный']
Сцена в саду Раундхэй,['Документальное кино']
Прибытие делегатов на фотоконгресс в Лионе,['Документальный']
Новобрачная отходит ко сну,['эротика']
Политый поливальщик,['комедия']
"Любитель (фильм, 2025)",['триллер']
Бриджит Джонс: Без ума от мальчишки (фильм),['романтическая комедия']
М3ГАН 2.0,"['научнофантастический', 'фильм ужасов']"
Бродвейская мелодия,"['мелодрама', '', 'мюзикл']"
"Мастер (фильм, 2025)",['остросюжетный боевик']
Человек с киноаппаратом,['документальный фильм']
Флаг нации,['драма']
Джей Келли,[]
Большое горе маленькой женщины,['драма']
Утреннее солнце сияет,['драма']
"Целую вашу руку, мадам (фильм)",['драма']
"Майкл (фильм, 2025)",['биографический фильм']
Ящик Пандоры (фильм),['драма']
Хитмэн: Агент 47,"['боевик', 'триллер']"
Kingsman: Секретная служба,"['боевик', '', 'шпионская фантастика', '', 'комедия', '', 'драма']"
Царевич (фильм),['драматический фильм']
Шальная карта,"['боевик', 'криминал', 'драма']"
"Человек (фильм, 2015)",['документальный']
Юнона и павлин,['драма']
"SOS, Дед Мороз, или Всё сбудется!","['комедия', 'мелодрама', 'семейный']"
"Чайка (фильм, 2015)","['документальный фильм', 'расследование']"
Эшби (фильм),"['комедиядрама', 'криминал']"
Уоррен Битти: Голливудские амбиции,['документальный фильм']
"Юдифь и Олоферн (фильм, 1929)",['пеплум']
Роналду (фильм),['документальный']
Русский дятел,"['документальный фильм', 'и', 'военный фильм']"
Рассвет халифата и возвращение золотого динара,['документальный фильм']
Почти святой,"['Документальный', '', 'драма']"
"Президент (фильм, 2015)",['документальный']
"Не думай, что я забыл (фильм, 2015)","['документальный фильм', '', '1', '', '', '2', '', '']"
Обречённый: Нерассказанная история «Фантастической четвёрки» Роджера Кормана,['документальное кино']
"Наваждение (фильм, 2015)",['документальный']
Куда бы ещё вторгнуться,['документальный фильм']
"Убийца (фильм, 2015, США)","['криминальная', 'драма', '', 'триллер']"
Форсаж 7,['боевик']
"Люди, сделавшие землю круглой",['документальный']
Перевозчик: Наследие,"['боевик', '', 'триллер']"
Красная армия (фильм),"['биография', 'документальный']"
Фунт плоти,['боевик']
Крым. Путь на Родину,['документальный фильм']
film_title,genre
"Водолей (фильм, 2016)",['драма']
Война против всех,"['чёрная', 'трагикомедия', 'детектив']"
The Beatles: Get Back,"['документальный', 'музыкальный']"
"Аустерлиц (фильм, 2016)",['документальный фильм']
Фантастическая четвёрка: Первые шаги,"['супергероика', 'боевик', 'научная фантастика']"
Водный эффект,['трагическая комедия']
Фантастические твари: Тайны Дамблдора,"['фэнтезийный фильм', 'приключенческий фильм', 'семейный фильм', 'и', 'драматический фильм']"
27 украденных поцелуев,"['комедия', 'драма', 'мелодрама']"
"Чёрная вдова (фильм, 2021)","['супергероика', 'шпионский боевик', 'научная фантастика', 'приключения']"
Любовное настроение,"['мелодрама', 'драма']"
Лучший подарок на Рождество,['детский']
"Клоун (фильм, 1917)",['драма']
"Лучший друг (фильм, 2000)","['комедия', 'мелодрама']"
Железная пята олигархии,['драма']
Фэтти и Минни Хи-Хо,"['немое кино', 'и', 'комедийный фильм']"
Лэйк Плэсид: Озеро страха,['природный фильм ужасов']
Цыганские романсы,['Музыкальная драма']
"Арабелла (фильм, 1917)",['драма']
32-е августа на Земле,"['драма', 'мелодрама']"
Желание сердца,['Комедия']
23 (фильм),"['триллер', 'драма']"
"Затерянный мир (фильм, 1998)","['Фантастика', 'Приключения']"
