"Могучий Джо Янг (фильм, 1998)",['приключения']
"Кто, если не мы (фильм, 1998)",['мелодрама']
Лучше шоколада,"['романтическая комедия', 'драма']"
Мёртвые ненавидят живых,['фильм ужасов']
Меркурий в опасности,"['боевик', 'криминальный фильм', 'драма', 'триллер']"
"Дикий цветок (фильм, 1914)","['романтический фильм', 'немое кино', 'и', 'драматический фильм']"
Мертвец в колледже,['комедия']
"Межсезонье (фильм, 1998)",['Мелодрама']
"Кларисса (фильм, 1998)","['экранизация', 'драма']"
Затерянные в космосе (фильм),"['научная\xa0фантастика', 'приключения']"
Меня зовут Джо,"['драматический фильм', 'комедийный фильм', 'и', 'романтический фильм']"
Универсальный солдат 2: Возвращение,"['научная фантастика', 'боевик', 'электро', 'рок']"
Маска призрака,['фильм ужасов']
Миньон (фильм),['Боевик']
Панки (фильм),"['комедия', 'фантастика']"
"Мятежник (фильм, 1999)","['боевик', 'фантастика']"
"Мачеха (фильм, 1998)",['драма']
Звёздные войны. Эпизод I: Скрытая угроза,"['эпическая', 'космическая опера']"
Мафия!,['комедия']
Маска Зорро,"['вестерн', 'супергеройский фильм', 'фильм плаща и шпаги']"
"Любовь с первого взгляда (фильм, 1998)","['драма', 'мелодрама', 'боевик', 'триллер', 'приключенческий фильм']"
Мой любимый марсианин,"['комедия', 'фантастика']"
Любовники полярного круга,"['драма', 'мелодрама']"
Маленький Тони,"['комедия', 'драма']"
Любовь и попса,['молодёжная драма']
"Любимая (фильм, 1998)","['Драма', 'Детектив', 'Ужасы']"
Любовь — это дьявол. Штрихи к портрету Ф. Бэкона,['драма']
Маленький лекарь,"['драма', 'фантастика']"
"Ловушка для родителей (фильм, 1998)",['Семейный фильм']
Любовный треугольник (фильм),"['драма', 'комедия']"
Лос-Анджелес без карты,"['комедия', 'мелодрама']"
Луиза (дубль 2),['драма']
Легионер (фильм),"['боевик', 'драма', 'приключения']"
"Ливень (фильм, 1998)","['боевик', 'фильмкатастрофа']"
Легенда о пианисте,"['драма', 'музыкальный фильм']"
Куда приводят мечты,"['романтический фильм', 'фэнтезийный фильм', 'драматический фильм', 'и', 'экранизация литературного произведения', 'вд']"
"Леший (фильм, 1998)","['фильмтриллер', 'mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda', 'процессуальная драма', 'вд', 'и', 'драматический фильм']"
"Любовное письмо (фильм, 1998)","['кинофантастика', 'и', 'экранизация литературного произведения', 'вд']"
Лучший из лучших 4: Без предупреждения,"['боевик', 'триллер']"
Кузина Бетта (фильм),['драма']
Курт и Кортни,['документальный фильм']
"Лебединое озеро (фильм, 1998)",['сказка семейное кино']
film_title,genre
Транзит Венеры,документальный фильм и немое кино
Clowns Spinning Hats,немое кино и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Фильм о цирке вд
Салли Гарднер в галопе,
The Boxing Cats (Prof. Welton’s),документальное кино
"Энни Оукли (фильм, 1894)",вестерн
Сцена с кузнецами,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda документальная фантастика вд документальный фильм и немое кино
Артист (фильм),драма мелодрама комедия
Лошадиная ярмарка в Барнете,Документальное кино
Артур. Идеальный миллионер,комедия мелодрама
"Морское купание (фильм, 1896)",документальное кино
Сон кавалера,фильм ужасов
Бой с тенью 3D: Последний раунд,боевик драма
Смерч 2,фильмкатастрофа
Фуриоса: Хроники Безумного Макса,постапокалиптический приключенческий боевик
14 клинков,боевик триллер
"Болота (фильм, 2011)",Мелодрама драма
Мастерские в Ла-Сьота,документальный
Институт Бенжамента,драма
Суперпташки. Улётная миссия,кинокомедия
Элио (мультфильм),научная фантастика приключения
Моана 2,мюзикл приключения
Самый ценный груз,мультфильм
Ледниковый период: Приключения Бака,приключения комедия
Поток (мультфильм),приключенческий фильм семейный фильм и фэнтезийный фильм
Прохладный воздух,ужас
Девушка на мосту,трагикомедия
Щелкунчик и волшебная флейта,фэнтези сказка семейный
Чего на свете не бывает,
Flowing Home,
Уход (фильм),авангард
"Хрусталёв, машину!",драма
"Lackadaisy (короткометражный фильм, 2023)",криминальный фильм и фэнтезийный фильм
"Шарлотта (мультфильм, 2021)",
Сатанинское танго (фильм),драма
Эд Вуд (фильм),трагикомедийный байопик
"Я тот, кто я есть (мультфильм)",комедийная драма
Семья Уиллоби,комедийная драма
Семейка Бигфутов,анимационная комедия
"Нос, или Заговор «не таких»",биография драма музыкальный
"Убийство в соборе (мультфильм, 2020)",
Супер Пёс и Турбо Кот,Приключение Комедия Юмор Анимация
Литл Гром,приключенческий фильм
Psycho-Pass 3: First Inspector,аниме детектив антиутопия киберпанк триллер
Нэчжа (мультфильм),фэнтези боевик комедия
Случайное великолепие полупрозрачного водянистого ребуса,
Королевский корги,комедия
Клара и волшебный дракон,фэнтези приключения семейный фильм
Клаус (мультфильм),комедия драма
Сказка про богиню Макошь,сказка комедия
Котбуль,драма семейный
