film_title,genre,director,country,year
Снафф 102,триллер,Мариано Перальта,Аргентина,2007
"Антенна (фильм, 2007)",фэнтезийный фильм научнофантастический фильм и драматический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Эстебан Сапир вд,Аргентина,24 января 2007 1 2006 и 19 апреля 2007 1
Ноев ковчег (мультфильм),приключения семейный,Хуан Пабло Бускарини,Аргентина Италия,
Пылающая равнина,драма мелодрама,Гильермо Арриага,США Аргентина,2008
В царстве нефти и миллионов,социальная драма,Борис Светлов,Российская империя,1916
Последнее лето в Бойте,драма,Юлия Соломонофф,Аргентина Испания Франция,2009
Тетро,драма,Фрэнсис Форд Коппола Развлекающиеся девушки и коридорный Сегодня вечером  наверняка Битва за пределами Солнца англ Безумие Ты теперь большой мальчик Радуга Финиана Люди дождя Крёстный отец Разговор Крёстный отец  Апокалипсис сегодня От всего сердца Бойцовая рыбка Изгои Клуб Коттон Капитан Ио Пегги Сью вышла замуж Сады камней Такер Человек и его мечта Ньюйоркские истории новелла Жизнь без Зои  Крёстный отец  Дракула Крёстный отец Трилогия  Джек Благодетель Молодость без молодости Тетро Между Distant Vision англ Мегалополис,США Италия Испания Аргентина,2009
Тайна в его глазах,драма мелодрама триллер детектив,Хуан Хосе Кампанелья,Аргентина Испания,2009
Папа на один день,комедия,Рауль Родригес Пейла,Аргентина,2009
Саммит (фильм),драматический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Сантьяго Митре вд,Аргентина,24 мая 2017
Музыка в ожидании,комедия драма мелодрама,Эрнан Голфрид,Аргентина,2009
"Оцепеневшие от страха (фильм, 2017)",фильм ужасов,Демиан Рунья,Аргентина,2017
"Всё к лучшему (фильм, 1997)",короткометражный фильм,Вагиф Мустафаев,Азербайджан,1997
Дикая история,чёрная комедия,Алекс де ла Иглесиа,Испания Аргентина,2017
Липкие пальцы,комедийный фильм,Кен Скотт вд,Канада,2009
Зама (фильм),драматический фильм,Лукресия Мартель,Аргентина,2017
Махнём на Луну!,приключенческий фильм,Алекс Оррелле Эдуардо Шульдт,Чили Перу Мексика Аргентина,
Мисс Такуарембо,мюзикл,Мартин Састре,Уругвай Аргентина Испания,2010
Бугай (мультфильм),боевик триллер комедия,Густаво Кова,Аргентина Мексика,
Дитя рыбы,драма Мелодрама триллер,Лусия Пуэнсо,Аргентина Франция Испания,2009
Подпольное детство,историческая драма,Бенхамин Авила,Аргентина Бразилия Испания,2011
Отсутствующий,драма,Марко Бергер,Аргентина,2011
Китайская сказка,комедия драма,Себастьян Боренштейн,Аргентина Испания,2011
Акации (фильм),драматический фильм,Пабло Джорджелли,Аргентина Испания,2011
"План Б (фильм, 2009)",драма,Марко Бергер,Аргентина,2009
Тхэквондо (фильм),драматический фильм mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda ЛГБТфильм вд и комедийный фильм,Марко Бергер Мартин Фарина вд,Аргентина,2016
Неруда (фильм),биографический фильм и драматический фильм,Пабло Ларраин,Чили Аргентина Франция Испания США,2016
Почётный гражданин (фильм),драма комедия,Гастон Дюпра Мариано Кон,Аргентина Испания,2015 и 2 ноября 2017
Запретное образование,документальный фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda German Doin вд,Аргентина,2012
Дикие истории,чёрная комедия драма триллер киноальманах,Дамиан Сифрон,Аргентина Испания,2014
Да здравствуют антиподы!,документальный фильм,Виктор Косаковский,Германия Аргентина Нидерланды Чили,2011
Марилин (фильм),драматический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda ЛГБТфильм вд,Мартин Родригес Редондо вд,Аргентина Чили,19 февраля 2018 1
"Ангел (фильм, 2018)",драма  криминал биография,Луис Ортега,Аргентина Испания,2018
Комната в отеле,драма,Расим Оджагов,Азербайджан,1998
Бременские музыканты & Co,сатирическая сказка музыкальный фильм,Александр Абдулов,Россия Германия Азербайджан,2000 премьера 9 марта 2001 года
"Зов (фильм, 1993)",военный фильм драма,Орудж Курбанов азерб,Азербайджан,1993
Кровавый январь (фильм),драма,Ваид Мустафаев,Азербайджан,2015
Голодные простаки (телеспектакль),Комедия,Рамиз Гасаноглу,Азербайджан,1993
"Сон (фильм, 2001)",комедия мелодрама,Фикрет Алиев,Азербайджан,19932001
"Крик (фильм, 1993)",военный фильм драма,Джейхун Мирзоев,Азербайджан,1993
Виолета отправилась на небеса,биография,Андрес Вуд,Чили Аргентина Бразилия,2011
Метод Грёнхольма,драма триллер,Марсело Пиньейро,Испания Аргентина Италия,2005
Четыре дороги,молодёжная комедия,Эсекиль Крупникофф,Аргентина,2004
Мир крановщика,комедия драма,Пабло Траперо,Аргентина,1999
Девять королев,криминальная драма триллер,Фабиан Бьелински,Аргентина,2000
Гараж «Олимпо»,драма,Марко Бечис,Италия Аргентина Франция,1999
Сын невесты,романтическая комедия мелодрама,Хуан Хосе Кампанелья,Аргентина Испания,2001
Палёные деньги,драма,Марсело Пиньейро,Аргентина Испания Уругвай Франция,2000
Я не хочу об этом говорить,мелодрама,Мария Луиза Бемберг,Аргентина Италия,1993
Че Гевара: Дневники мотоциклиста,биографический приключения драма,Вальтер Саллес,Аргентина США Германия Бразилия Великобритания Чили Перу Франция,2004
Обнажённое танго,мелодрама с элементами триллера,Леонард Шрейдер англ,США Япония Швейцария Аргентина,1990 К 3
Карандиру (фильм),драма,Эктор Бабенко,Бразилия Аргентина,2003
Пользуйтесь,Комедия,Пабло Софович,Аргентина,2004
"Идеальный муж (фильм, 1993)",драма комедия,Беда Докампо Фейхоо,Испания Чехословакия Аргентина Великобритания Чехия,1993
"Чума (фильм, 1992)",драма,Луис Пуэнсо,Великобритания Аргентина Франция,1992
Урок танго,драма мелодрама музыкальный фильм,Салли Поттер,Великобритания,1997
Несладкая жизнь,драма,Беатрис Флорес Сильва,Испания Аргентина Бельгия Куба Уругвай,2001
Виски Ромео Зулу,Драма триллер,Энрике Пиньейро,Аргентина,2004
Крик камня,Психологическая драма,Вернер Херцог,Германия Франция Канада Италия Аргентина,1991
Так внезапно,Мелодрама,Диего Лерман,Аргентина,2002
Виски (фильм),драма комедия,Пабло Штоль Хуан Пабло Ребелья,Аргентина Германия Испания Уругвай,2004
Камчатка (фильм),драматический фильм,Марсело Пиньейро,Аргентина,2002
"Короткие истории (фильм, 2002)",комедия драма,Карлос Сорин,Аргентина Испания,2002
"Мёбиус (фильм, 1996)",фантастика,Густаво Москера,Аргентина,1996
Квартира ноль,триллер драма,Мартин Донован,Аргентина Великобритания,1988
Аура (фильм),криминальный фильм драма триллер,Фабиан Бьелински,Аргентина Франция Испания,2005
"Танго (фильм, 1998)",Музыкальный фильм фильмтанго драма,Карлос Саура,Испания Аргентина,1998
Год без любви,драма,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Анаи Бернери вд,Аргентина,2005
Аргентинец в Нью-Йорке,комедия драма Латинпоп Саундтрек,Хуан Хосе Хусид,Аргентина,1998
Горец 2: Оживление,антиутопия,Расселл Малкэхи,Аргентина Великобритания Франция,1990
King’s Man: Начало,боевик фантастический триллер приключение,Мэттью Вон,Великобритания США,2021
Экзорцист Папы,фильм ужасов фильм ужасов о сверхъестественном кинофантастика и биографический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Джулиус Эйвери вд,США,2023
The Beatles: Get Back,документальный музыкальный,Питер Джексон,Новая Зеландия Великобритания США,2021
Школьная драка,чёрная комедия супергеройский фильм,Дэмиен Уолтерс,Великобритания США,
Kingsman: Золотое кольцо,Боевик шпионская фантастика комедия,Мэттью Вон,США Великобритания,2017
T2: Трейнспоттинг,драма чёрная комедия Альтернативный рок хипхоп электронная музыка,Дэнни Бойл,Великобритания Великобритания,2017
"Спиритический сеанс (фильм, 2021)",фильм ужасов,Саймон Барретт,США Великобритания,2021
Тайна в её глазах,фильмтриллер и драматический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Сэм Йейтс вд,США Великобритания,9 марта 2024
Следы оборотня,политический детектив триллер драма,Альмантас Грикявичюс,СССР Аргентина,1986
След киллера,триллер детектив,Терри Макдоно,Великобритания США,2024
Джей Келли,,Ноа Баумбах Забыть и вспомнить Хайбол англ Мистер Ревность англ Кальмар и кит Марго на свадьбе Гринберг Милая Фрэнсис Пока мы молоды Госпожа Америка англ Де Пальма Истории семьи Майровиц Брачная история Белый шум Джей Келли,США Великобритания,2025
В серой зоне,боевик,Гай Ричи,США Великобритания,2025 1
Мятежная Патагония,драма история,Эктор Оливера,Аргентина,1974
"Точка кипения (фильм, 2021)",драматический фильм и фильмтриллер,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Фил Барантини вд,Великобритания,2021
"Вторжение (фильм, 1969)",драма,Уго Сантьяго,Аргентина,1969
Невероятное паломничество Гарольда Фрая,драматический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda экранизация романа вд,Хетти Макдональд вд,Великобритания,31 мая 2023 1 и 4 января 2024 2
"Перемирие (фильм, 1974)",мелодрама,Серхио Ренан,Аргентина,1974
Романс о Анисето и Франциске,драма,Леонардо Фавио,Аргентина,1966
Камила (фильм),драма фильмбиография,Мария Луиса Бемберг,Аргентина Испания,1984
"Я, Дэниел Блейк",драматический фильм,Кен Лоуч,Великобритания Франция Бельгия,2016
Эдди «Орёл»,драма комедия спортивный биографический,Декстер Флетчер,Великобритания США Германия,2016
Час огней,документальный,Фернандо Соланас Октавио Хетино,Аргентина,19681970
"Пусть говорят (фильм, 1968)",музыкальный драматический,Марио Камус,Аргентина Испания,1968
Официальная версия,историческая драма,Луис Пуэнсо,Аргентина,1985
Тарзан. Легенда,приключенческий боевик,Дэвид Йейтс,США Великобритания Канада,2016
"Такой же предатель, как и мы",шпионский триллер,Сюзанна Уайт,Великобритания,2016
Фантастические твари и где они обитают,приключенческий фильм фэнтези семейный фильм,Дэвид Йейтс,Великобритания США,2016
"Уна (фильм, 2016)",драма триллер,Бенедикт Эндрюс,Великобритания США Канада,2016
Союзники (фильм),романтический триллер,Роберт Земекис Я хочу держать тебя за руку Подержанные автомобили Роман с камнем Назад в будущее Кто подставил кролика Роджера Назад в будущее  Назад в будущее  Смерть ей к лицу Форрест Гамп Контакт Что скрывает ложь Изгой Полярный экспресс Беовульф Рождественская история Экипаж Прогулка Союзники Удивительный мир Марвена Ведьмы Пиноккио Тогда Сейчас Потом Эффект колибри Лок Море соблазна Острые козырьки,США,13 ноября 2016
Уличный кот по кличке Боб,драма биографический,Роджер Споттисвуд,Великобритания,2016
Синг Стрит,музыкальная комедиядрама,Джон Карни,Ирландия Великобритания США,2016
Субстанция (фильм),бодихоррор сатира научная фантастика,Корали Фаржа,Франция Великобритания США,2024
Свет в океане,мелодрама,Дерек Сиенфрэнс,США Великобритания Австралия Новая Зеландия Индия Канада,2016
Стрэттон: Первое задание,боевик триллер,Саймон Уэст,Великобритания,31 августа 2017 1 и 2017
"По ту сторону двери (фильм, 2016)",фильм ужасов,Йоханнес Робертс англ,Великобритания Индия,2016
"Танго, Гардель в изгнании",музыкальная драма,Фернандо Соланас,Аргентина Франция,1985
По млечному пути,драматический фильм,Эмир Кустурица,Великобритания США Сербия,2016
Примадонна (фильм),биографическая трагикомедия,Стивен Фрирз,Великобритания,2016
Песнь дьявола,триллер драма ужасы,Лиам Гэвин,Ирландия Великобритания,2016
Новая эра Z,постапокалиптический научнофантастический фильм о зомби,Колм Маккарти,Великобритания,2016
Падение Лондона,боевик триллер,Бабак Наджафи,США Великобритания,2016
Крутые меры,боевик драма,Джеймс Уоткинс,Великобритания,2016
"Лев (фильм, 2016)",драма,Гарт Дэвис,Австралия Великобритания,2016
Леди Макбет (фильм),историческая драма,Уильям Олдройд,Великобритания,2016
Отрицание (фильм),историческая драма,Мик Джексон,Великобритания США,2016
Кристин (фильм),биографический фильм и драматический фильм,Антонио Кампос,Великобритания США,2016
Дом странных детей мисс Перегрин,фэнтези приключения,Тим Бёртон,США,2016
"Голем (фильм, 2016)",триллер,Хуан Карлос Медина,Великобритания,2016
Исключение (фильм),драматический фильм и романтический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Дэвид Лево вд,Великобритания,12 сентября 2016 и 14 июля 2017
Американская милашка,Роудмуви,Андреа Арнольд,Великобритания США,2016
Мальчик-миллиардер,комедия драма,Мэтт Липси,Великобритания,
Бриджит Джонс 3,комедия мелодрама дэнспоп и современный ритмнблюз,Шэрон Магуайр,Великобритания,2016
Бесконечная поэзия,драма биография фэнтези,Алехандро Ходоровски,Франция Великобритания Чили,2016
Автобан (фильм),боевик,Эрен Криви англ,Германия США Великобритания,2016
"Сенсация (фильм, 2024)",биографический фильм и драматический фильм,Филип Мартин вд,Великобритания,5 апреля 2024 1
Сентябрь говорит,драматический фильм,Ариана Лабед,Греция Франция Великобритания Ирландия Германия,2024
"Перестрелка (фильм, 2016)",комедийный боевик,Бен Уитли,Великобритания,2016
"Птица (фильм, 2024)",драматический фильм,Андреа Арнольд,Великобритания,2024
"Проклятые (фильм, 2024)",фильм ужасов,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Тордур Палссон вд,Великобритания Исландия Бельгия Ирландия США,2024
Разрез (фильм),психологический триллер,Шон Эллис англ,Великобритания,2024
Пятый битл,фильмбиография,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Джо Стивенсон вд,Великобритания,2024 1
Приключения Паддингтона 3,приключения комедия,Дугал Уилсон англ,Великобритания Франция Япония США,2024
Любовь истекает кровью,романтический фильм фильмтриллер криминальный фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda фильм о лесбиянках вд,Роуз Гласс вд,США Великобритания,2024
Министерство неджентльменских дел,комедийный боевик,Гай Ричи,США Великобритания,2024
"Рассвет (фильм, 2024)",фильм ужасов,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Эндрю Бэйрд вд,США Великобритания,2024
"Жатва (фильм, 2024)",драматический фильм,Афина Рахель Цангари,Германия Великобритания США,2024
"Здравствуй, грусть! (фильм, 2024)",драма,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Durga ChewBose вд,Франция Канада США Великобритания,2024
Конклав (фильм),триллер,Эдвард Бергер,Великобритания США,2024
Гении (фильм),драма биография,Джеймс Марш,Великобритания,30 сентября 2023
Досье «Чёрная канарейка»,шпионский фильм боевик и фильмтриллер,Пьер Морель,Великобритания,2024
Обратно во мрак,биографический фильм драматический фильм и музыкальный фильм,Сэм ТейлорДжонсон,США Великобритания,11 апреля 2024 1 2 и 12 апреля 2024
Ночь карандашей (фильм),драма,Эктор Оливера,Аргентина,1986
Возвращение Одиссея,исторический фильм драматический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda экранизация книги вд,Уберто Пазолини,Великобритания США Франция Италия Греция,2024
Винни-Пух: Кровь и мёд 2,слэшер,Рис ФрейкУотерфилд,Великобритания,2024
Виды доброты,киноальманах драма,Йоргос Лантимос,Великобритания Ирландия США,2024
Выгон (фильм),драма,Нора Фингшайдт,Великобритания Германия Испания,2024 27 сентября 2024 1 4 октября 2024 1 и 5 декабря 2024 1
Большая гонка. Лянча против Ауди,исторический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Стефано Мордини вд,Италия Великобритания,2024
Чистая правда,драма,Кеннет Брана,Великобритания,2018
Частная война,драма военный биография,Мэтт Хейнеман,США Великобритания,2019
"Человек, который убил Дон Кихота",трагикомедия притча магический реализм,Терри Гиллиам,Испания Великобритания Франция Португалия Бельгия,2018
Быть лучше: История Робби Уильямса,биография драма,Майкл Грейси,Австралия Великобритания,2024
Заплыв домой,,Джастин Андерсон вд,Великобритания Франция,2024
"Фестиваль (фильм, 2018)",комедия,Иэн Моррис,Великобритания,2018
Аргайл: Супершпион,комедийный боевик Музыка к фильму,Мэттью Вон,Великобритания США,2024
Гладиатор 2,пеплум,Ридли Скотт,США Великобритания,2024
Фантастические твари: Преступления Грин-де-Вальда,фэнтези приключения семейный детектив,Дэвид Йейтс,Великобритания США,2018
Чёрное зеркало: Брандашмыг,научнофантастический фильм драматический фильм и интерактивный фильм,Дэвид Слэйд,Великобритания,28 декабря 2018 года
Счастливый принц (фильм),драматический фильм биографический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda ЛГБТфильм вд,Руперт Эверетт,Великобритания Германия,2018
Расскажи это пчёлам,независимый кинематограф драматический фильм романтический фильм mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda фильм о лесбиянках вд и романтическая драма,Аннабел Дженкел,Великобритания,9 сентября 2018 2
Правила бойни,комедия ужасов,Криспиан Миллс,Великобритания,7 сентября 2018 и 31 октября 2018
Фаворитка (фильм),исторический фильм комедиядрама,Йоргос Лантимос,Великобритания Ирландия США,2018
Удивительный мир Марвена,фэнтези драма комедия биография,Роберт Земекис Я хочу держать тебя за руку Подержанные автомобили Роман с камнем Назад в будущее Кто подставил кролика Роджера Назад в будущее  Назад в будущее  Смерть ей к лицу Форрест Гамп Контакт Что скрывает ложь Изгой Полярный экспресс Беовульф Рождественская история Экипаж Прогулка Союзники Удивительный мир Марвена Ведьмы Пиноккио Тогда Сейчас Потом,США,2018
Последняя миссия,боевик,Матье Вешлер,Таиланд Гонконг Великобритания США,2018
10 жизней,мультфильм и комедийный фильм,Крис Дженкинс,Великобритания Канада Франция Китай США,
Положитесь на Пита,фильмдрама и экранизация романа,Эндрю Хэй,Великобритания,6 апреля 2018 и 4 мая 2018
Повелители хаоса,триллер байопик,Юнас Окерлунд,Швеция Великобритания,2018
Профиль (фильм),триллер,Тимур Бекмамбетов Пешаварский вальс Гладиатрикс ГАЗ  Русские машины Ночной Дозор Дневной Дозор Ирония судьбы Продолжение Особо опасен Ёлки Президент Линкольн Охотник на вампиров Ёлки  БенГур Ёлки  Профиль Ёлки последние Девятаев Милосердие,Великобритания США Кипр Россия,2018
Они никогда не станут старше,военный документальный исторический,Питер Джексон,Великобритания Новая Зеландия,2018
Отель «Артемида»,боевик триллер,Дрю Пирс англ,Великобритания США,2018
Пассажир (фильм),боевик триллер,Жауме КольетСерра,США Великобритания,2018
Нуреев. Белый ворон,биографический фильм и драматический фильм,Рэйф Файнс,Великобритания Франция Сербия,2018
"Неповиновение (фильм, 2017)",драма,Себастьян Лелио,Великобритания Ирландия США,2017
"С Новым годом, Колин Бёрстед",комедийная драма,Бен Уитли,Великобритания,2018
Новорождённый (фильм),драма детектив,Леонард Абрахамсон,Великобритания,2018
Неправильное воспитание Кэмерон Пост,драма,Дезире Акхаван,США Великобритания,2018
"Невидимка (фильм, 2018)",триллер,Энтони Бирн,Великобритания США,2018
Операция «Шаровая молния»,триллер драма криминал,Жозе Падилья,Великобритания,2018
"Мария Магдалина (фильм, 2018)",драма,Гарт Дэвис,Великобритания США Австралия,2018
"Немой (фильм, 2018)",фантастика детектив триллер,Данкан Джонс,Великобритания Германия,2018
"Король Лир (фильм, 2018)",трагедия,Ричард Эйр,США Великобритания,
Конченая,триллер драма неонуар,Вон Стайн,Великобритания США Венгрия Ирландия Гонконг,2018
Недвижимость (фильм),драматический фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Манс Манссон вд Аксель Петерсен вд,Швеция Великобритания,18 февраля 2018 1 16 марта 2018 и 31 января 2019 2
Король воров,криминальный фильм драматический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda фильм основанный на реальных событиях вд,Джеймс Марш,Великобритания,2018
Карантин Z,боевик о зомби,Чи Кеонг Чанг,Великобритания,2018 1
Клуб любителей книг и пирогов из картофельных очистков,драматический фильм романтический фильм исторический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda экранизация романа вд,Майк Ньюэлл,Великобритания Франция,2018
Иногда. Всегда. Никогда,драма,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Карл Хантер вд,Великобритания,2018
Дикие предки,приключения комедия семейный фильм,Ник Парк,Великобритания,
За мечтой,драма,Макс Мингелла,Великобритания США,2018
Город лжи,триллер драма криминал детектив биография,Брэд Фурман,США Великобритания,2018
"Патрик (фильм, 2018)",комедия,Мэнди Флетчер,Великобритания,2018
Гость на свадьбе,фильмтриллер,Майкл Уинтерботтом,Великобритания,8 сентября 2018 2
Две королевы,историческая драма,Джози Рурк,Великобритания,2018
Колетт (фильм),биография драма,Уош Уэстмоленд,США Великобритания Венгрия,2018
Голая Джульетта (фильм),комедийная драма и драматический фильм,Джесси Перец,США Великобритания,2018
Код «Красный»,триллер драма биография,Тревор Нанн,Великобритания,2018
"Гонка века (фильм, 2018)",драма приключения биография,Джеймс Марш,Великобритания,2018
Где соприкасаются руки,драма,Амма Асанте,Великобритания,2018
"Вы умрёте, или мы вернём вам деньги",боевик комедия,Том Эдмундс,Великобритания,2018
"Высшее общество (фильм, 2018)",научнофантастический фильм фильм ужасов драматический фильм и mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda артхаусный научнофантастический фильм вд,Клер Дени,Франция Великобритания Германия Польша,2018
"Вдовы (фильм, 2018)",драма детективный фильм триллер,Стив Маккуин,США Великобритания,2018
Ван Гог. На пороге вечности,биография драма,Джулиан Шнабель,Великобритания Франция США,2018
Аферисты поневоле,комедия боевик,Джеймс Окли,США Великобритания,2018
Агата и правда об убийстве,mwparseroutput plainlist olmwparseroutput plainlist ullineheightinheritliststylenonemarginpaddingmwparseroutput plainlist ol limwparseroutput plainlist ul limarginbottom Crime Mystery,Терри  Лоан вд,Великобритания,
"Апостол (фильм, 2018)",Ужасы Драма Фантастика,Гарет Эванс,Великобритания США,2018
Будка поцелуев,Мелодрама комедия,Винс Марселло,Великобритания США,2018
2036: Происхождение неизвестно,научная фантастика,Хасраф Дулулл,Великобритания,2018
Агент Джонни Инглиш 3.0,комедия пародия боевик,Дэвид Керр,Великобритания Франция,2018
10 на 10,психологический триллер,Сьюзи Юинг,Великобритания США,2018
"Эйфория (фильм, 2017)",драма,Лиза Лангсет,Германия Швеция Великобритания,2017
Богемская рапсодия (фильм),драма биография,Брайан Сингер Декстер Флетчер,США Великобритания,2018
Уитни: Могу я быть собой?,документальный фильм,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda Ник Брумфилд вд Руди Долезал вд,Великобритания США,8 июня 2017
Убийство священного оленя,психологический триллер,Йоргос Лантимос,Великобритания США Ирландия,2017
Крылья урагана (фильм),военный драма боевик,Дэвид Блэр,Польша Великобритания,2018
Чужой: Завет,научнофантастический фильм ужасов,Ридли Скотт,Великобритания США,2017
Чёрный песок: История Песочного человека,Фантастика,Бернхард Пучер,Великобритания,10 августа 2017
Тюльпанная лихорадка (фильм),драма мелодрама,Джастин Чэдвик,Великобритания США,2017
"Три билборда на границе Эббинга, Миссури",драма криминал,Мартин Макдонах,США Великобритания,2017
Хэмстед (фильм),драма,Джоэл Хопкинс,Великобритания,21 июля 2017 24 августа 2017 1 23 июня 2017 2 6 июля 2017 2 и 27 июля 2017 2
Тебя никогда здесь не было,триллер,Линн Рэмси,Великобритания США Франция,2017
Скрюченный домишко (фильм),драма криминал детектив,Жиль ПакеБреннер,Великобритания,2017
Фантастическая любовь и где её найти,драма мелодрама комедия,Саймон Эбауд,Великобритания,2016
Снеговик (фильм),психологический триллер,Томас Альфредсон,Великобритания США Швеция Япония,2017
Смерть Сталина (фильм),политикосатирическая чёрная комедия,Армандо Ианнуччи,Великобритания Франция Бельгия,2017
"Секретный агент (фильм, 2017)",боевик триллер,Майкл Эптед,Великобритания,2017
Синяя бездна,фильм ужасов триллер,Йоханнес Робертс,Великобритания,2017
Тайна 7 сестёр,научнофантастический фильм фильмтриллер и антиутопический фильм,Томми Виркола,Великобритания Франция Бельгия,2017
Последний портрет,драма биография,Стэнли Туччи,Великобритания США,2017
