title,genre
Танец Лои Фуллер,документальный фильм
Peeping Tom,"драматический фильм,комедия"
Приветствие Диксона,Документальное кино
"Фауст и Маргарита (фильм, 1897)",
Бугония (фильм),фантастическая комедия
Регата между Оксфордским и Кембриджским университетами,Документальное кино
Серпантин (фильм),
Бриджит Джонс: Без ума от мальчишки (фильм),романтическая комедия
Ньюаркский атлет,Документальное кино
"Животные (фильм, 2025)",Драма
В поисках Адама,Драма
Голда. Судный день,"драматический фильм,биографический фильм"
1242: Врата на Запад,
Улица Страха: Королева красоты,фильм ужасов
"Новая волна (фильм, 2025)",
В баню!,
Бендер: Последняя афера,комедия
"Воспоминания (фильм, 2021)","Научная фантастика,Неонуар"
"Бесконечность (фильм, 2021)",фантастика
Бендер: Начало,комедия
"Искушение (фильм, 2021)","ЛГБТ-фильм,драматический фильм,эротический фильм,психологический фильм"
Мейер Лански (фильм),"биографическая,криминальная драма"
Множественные святые Ньюарка,"криминальная,драма"
Мать/Андроид,"научно-фантастический фильм,фильм-триллер"
Мой легионер,драматический фильм
Мой волк (фильм),приключенческий фильм
Матрица: Воскрешение,"киберпанк,постапокалиптика,научная фантастика,боевик,антиутопия,триллер"
Ужасный ребёнок,комедия
"Межсезонье (фильм, 2021)",
Сон о стране игрушек,
Назови меня своим именем (фильм),"романтическая драма,история взросления"
"Медея (фильм, 2021)",драма
Украденное лицо,Фильм нуар
Жоаким (фильм),"биографический фильм,драматический фильм"
Спасена Ровером,немое кино
"Свалка (фильм, 2014)","драма,триллер,приключения"
Мой индийский друг,драматический фильм
Ложно обвинённый,немое кино
Соль Земли,"документальный фильм,1,2,[…],биографический фильм"
Сегодня я пойду домой один,романтическая драма
Жетулиу (фильм),драма
Кошмары приходят ночью,"фильм ужасов,эротика"
"Водолей (фильм, 2016)",драма
Мистер Поттс едет в Москву,
"Грозовой перевал (фильм, 1920)",драма
Звуковой барьер (фильм),драма
Андрокл и лев (фильм),пеплум
Мария. Спасти Москву,драма
"Мама, я дома",драма
Последняя страница,Фильм нуар
Купание малыша,документальный фильм
Малькольм и Мари,романтический фильм
"Марсель, ракушка в ботинках",Комедийная драма
Маленькая рыбка,"романтический фильм,научно-фантастический фильм"
Малышка (фильм),боевик
Магазинные воришки всего мира,
Мальчик по имени Рождество,"фэнтезийный фильм,экранизация романа,рождественский фильм"
Мавританец,"триллер,драма"
"Маленькая мама (фильм, 2021)",
Майор Гром: Чумной Доктор,"супергероика,приключения,боевик,детектив"
Локдаун (фильм),"фильм-ограбление,комедийный фильм,романтический фильм"
"Мулен Руж (фильм, 1952)","фильм-биография,мюзикл,драма,мелодрама"
Маленький воин (фильм),драма
Любовь в Килнерри,"комедия,романтика"
"Лимб (фильм, 2021)","криминальный,драма,триллер"
Любовь по ту сторону,"мелодрама,фантастический фильм"
"Мадам Икс (фильм, 2021)","документальный фильм,концертный фильм"
