film_title,genre
Что видно в телескоп,комедия
Человек-оркестр,комедия
Сцена с кузнецами,mwparseroutput tsWikidataredLink abackgroundnonepaddingmwparseroutput tsWikidataredLink aexternalcolorbacolorvarcolorlinkredbamwparseroutput tsWikidataredLink aexternalvisitedcoloracolorvarcolorlinkredvisiteda документальная фантастика вд документальный фильм и немое кино
Сон астронома,фантастика фильм ужасов
Новобрачная отходит ко сну,эротика
Сон кавалера,фильм ужасов
Клоун и его собачки,мультфильм
Кружка пива,мультфильм
Бедный Пьеро,мультфильм
Хаббл IMAX 3D,документальный
Сумерки. Сага. Затмение,романтическое фэнтези Альтернативный рок  инди поп
Фуриоса: Хроники Безумного Макса,постапокалиптический приключенческий боевик
Смерч 2,фильмкатастрофа
Шрек навсегда,фэнтезийная комедия
Арвентур,мультфильм фэнтези экранизация
Арденны,драматический фильм
Аватар 4,эпический фильм научная фантастика боевик приключения фэнтези
БайБайМэн,фильм ужасов о сверхъестественном
"«Москвич», любовь моя",
Бабушка лёгкого поведения,комедия
За витриной универмага,комедия
Бабич,байопик драма исторический
Счастье Андруса,экранизация мелодрама социальная драма
Счастливая юность,музыкальный фильм
Пересечь шесть мостов,Фильм нуар
Пуэнт-Курт,драма
Пересадка в Орли,кинокомедия драматический фильм
Стукач,Фильм нуар
Страх бури,Фильм нуар
Стелла,мелодрама
Судьба барабанщика,приключения детектив
Яркость,фантастика боевик фэнтези триллер
Солдат Иван Бровкин,комедия
Ужас Амитивилля: Пробуждение,ужасы триллер
Урок окончен,фильм ужасов триллер
Убить за лайк,комедия ужасы
Третья волна зомби,фильм ужасов фильм о зомби и постапокалиптический фильм
Убежище дьявола,Фильм ужасов
Танцы насмерть,фантастика
Счастливого дня смерти,чёрная комедия слэшер
Траншея 11,фильм ужасов и фильмтриллер
Ублюдок 2,Психологический фильм ужасов
Звёздные войны: Последние джедаи (Оригинальный саундтрек),Музыка к фильму
Ритуал,ужасы
Прочь,психологический фильм ужасов
Психопаты,Фильм ужасов
Полуночный человек,фильм ужасов драма
Проклятие Аннабель: Зарождение зла,ужасы триллер детектив
Пила 8,фильм ужасов
Паранормальное,ужасы фантастика триллер
Техасская резня бензопилой: Кожаное лицо,слэшер
Синяя бездна,фильм ужасов триллер
Оно приходит ночью,ужасы триллер
Оцепеневшие от страха,фильм ужасов
Обитель теней,драматический фильм фильм ужасов и фильмтриллер
Оно,фильм ужасов о сверхъестественном история взросления мистика
Не стучи дважды,фильм ужасов мистика
Ночной мир,фильм ужасов триллер
Невеста,фильм ужасов триллер
Культ Чаки,Слэшер
Конверт,фильм ужасов
Няня,комедия ужасы
Ночные охранники,Комедия Ужасы
Клаустрофобия,триллер хоррор
Мама!,триллер драма психологический хоррор фантасмагория притча
Истории призраков,фильм ужасов
Круги дьявола,фильмтриллер и фильм ужасов
Чужой: Завет,научнофантастический фильм ужасов
Чудо-женщина,супергероика боевик технофэнтези альтернативная история
Человек-паук: Возвращение домой,супергероика боевик научная фантастика приключения
Тёмная башня,научнофантастический вестерн
Тайна 7 сестёр,научнофантастический фильм фильмтриллер и антиутопический фильм
Стражи Галактики. Часть 2,супергероика боевик комедия приключения космическая опера
Притяжение,фантастика драма EDM хипхоп электронная музыка
Тор: Рагнарёк,супергероика боевик приключения комедия технофэнтези
Призрак в доспехах,киберпанк боевик
Планета обезьян: Война,фантастика боевик приключения драма
Разработчик,actionadventure
Наследники 2,мюзикл фэнтези подростковый фильм
Никаких добрых дел,комедия боевик фантастика
Могучие рейнджеры,супергеройский фильм
Мумия,приключенческий боевик
Трансформеры: Последний рыцарь,научнофантастический боевик криптоистория
Орбита 9,научная фантастика драма
Лига cправедливости,супергероика боевик фантастика приключения
Логан,супергероика боевик научная фантастика триллер драма роудмуви
"Камень, ножницы, бумага",фильм ужасов триллер
Слово,
Конг: Остров черепа,боевик приключения фильм о монстрах Рок Классическая музыка
