title,genre
Полярный экспресс,"фэнтезийный фильм,рождественский фильм,приключенческий фильм,детский фильм,экранизация книги,семейный фильм,мультфильм"
Фантазия 2000,"мюзикл,фэнтези"
Старик и море (мультфильм),
Аполлон-13 (фильм),"приключения,история,драма"
Космическая одиссея 2001 года,"кинофантастика,триллер"
More (мультфильм),
Спермагеддон,"мюзикл,комедия"
"Титаник (фильм, 1997)","эпический фильм,романтическая драма,фильм-катастрофа"
Король Лев,"мюзикл,драма,история взросления"
Соник 3 в кино,"приключения,боевик,комедия"
Годзилла 2: Король монстров,"фантастика,боевик,приключения,фильм о монстрах"
Волшебный парк Джун,"комедия,приключения,семейный"
"Мулан (фильм, 2020, Дисней)","фэнтези,боевик,драма"
"Скуби-Ду (мультфильм, 2020)","приключения,комедия,семейный фильм"
Финник,"приключения,мультфильм"
Снова мы,
Чарли и фантастическая четвёрка,"мультфильм,комедия,приключения"
Миньоны: Грювитация,"комедия,семейный"
Снежная Королева (мультипликационный цикл),
"Большой красный пёс Клиффорд (фильм, 2021)","комедия,фэнтези,драма,приключения,семейный"
"Святое место (фильм, 1990)","ужасы,драма,экранизация"
Шум ветра (фильм),
Одна любовь,"драма,мелодрама,музыка"
Поезд в 31 декабря (фильм),комедия
Стрельба (фильм),боевик
"Три сестры, чистые в своих помыслах",фильм-драма
Токийская ночлежка,драма
Пустой человек,"фильм ужасов,детективный фильм"
"Месть актёра (серия из трёх фильмов, 1935—1936)","дзидайгэки,историческая,драма"
"Химера (фильм, 2023)",драма
Пацан против всех,"боевик,научно-фантастический фильм,антиутопия"
"Объясни мне, любовь","биографический фильм,драматический фильм"
Чужая земля (фильм),"фантастика,триллер"
Путь Халимы,военная драма
D2: Поезд на край света,
Гольциус и Пеликанья компания,"драма,биография"
Здесь нет зла,"драматический фильм,1,2,фильм-антология,1"
Людвиг ван Бетховен (фильм),"биографический фильм,драма"
"Неудачный трах, или Безумное порно",трагикомедия
Я — Карл,драма
Любо (фильм),драматический фильм
"Солнце, сено, эротика",
"Начальная школа (фильм, 1991)",
Дворец (фильм),комедийная драма
Большая колесница,"драматический фильм,1"
Sommartider (фильм),"биографический фильм,драма,музыкальный фильм"
Мой любимый торт,фильм-мелодрама
Конец (фильм),
"Сыновья (фильм, 2024)",психологический триллер
Бремя жизни,"фильм-драма,комедия"
"Мы, наши любимцы и война",документальный фильм
Чеховские мотивы (фильм),комедия
Шёл трамвай девятый номер,комедийный фильм
"Тайна Чингисхана (фильм, 2002)",
Одноразовая вечность,
"Золушка (телемюзикл, 2002)",Мюзикл
"Бабий Яр (фильм, 2002)",
"Атлантида (фильм, 2002)",мелодрама
Снежная королева (мюзикл),мюзикл
Мельница (фильм),1
Мамай (фильм),драма
Женская интуиция (фильм),
За двумя зайцами (мюзикл),Мюзикл
Дикий табун (фильм),"драма,боевик"
Грбавица (фильм),драма
"Безумный день, или Женитьба Фигаро (мюзикл)",Мюзикл
Не прикасайся,драма
Стеклянная комната,драматический фильм
Раскрашенная птица (фильм),драма
Папина «Волга»,роуд-муви
Маленький крестоносец,
"Скрипка (фильм, 2017)","Драма,Исторический"
"Ян Гус (фильм, 2015)","исторический фильм,1,драматический фильм,1"
Шмитке (фильм),"комедийный фильм,фильм-тайна"
Эпохальное путешествие пана Тржиски в Россию,документальный
Возвращение Куки,"боевик,детский фильм,приключенческий фильм,1,семейный фильм,1,1"
Соломон Кейн (фильм),"боевик,приключенческий фильм,фэнтези"
Чужой против Хищника,"научно-фантастический,боевик ужасов"
Хроники Нарнии: Принц Каспиан,эпическое фэнтези
"Нормальный (фильм, 2009)","драма,триллер"
Королева славян,"исторический,драма,фэнтези"
Жизнь в розовом цвете,"драма,музыкальный фильм,биография"
Париж! Париж!,"драма,музыкальный фильм,мелодрама"
Вацлав (фильм),драма
Пламя и Цитрон,"драма,триллер"
Кровавая графиня — Батори,"исторический,триллер,драма"
Горе пани Шнайдровой,"драматический фильм,1,романтический фильм,1,мелодрама"
"Карамазовы (фильм, 2008)",драма
Бросок кобры,"боевик,фантастика,приключения,супергероика"
Семья Никки,"документальный фильм,2,драматический фильм,3,биографический фильм,3,исторический фильм,3"
Гурвинек: Волшебная игра,"комедия,фэнтези,семейный"
Delirium (фильм),психологическая драма
Королевский роман,"драма,исторический фильм,мелодрама"
Мстители: Секретные войны,"супергероика,боевик,фантастика"
Бэтмен. Часть 2,супергеройский фильм
Superкопы: Миссия Бабушка,"комедийный боевик,1,2,[…],комедийный фильм,3,4,[…]"
Я — капитан,драма
"Hold-Up (фильм, 2020)","документальный фильм,пропагандистский фильм"
А завтра весь мир,драма
Две тысячи песен Фариды,драма
