film_title,director,year
"Перед тем, как наступит зима",,1969
Марат/Сад (фильм),,
Куотермасс и колодец (фильм),,1967
Привилегия (фильм),,1967
"Театр смерти (фильм, 1966)",,1967
Как я выиграл войну,,
"Казино «Рояль» (фильм, 1967)",,1967
Живёшь только дважды,,1967
Запертая комната (фильм),,1967
"Чудотворец (фильм, 1969)",,
Шептуны,,1967
Двое на дороге,,1967
Грязная дюжина,,
Франкенштейн создал женщину,,
Графиня из Гонконга,,1967
Две недели в сентябре,,1967
Саван мумии,,
Долгая дуэль,,1967
Королева викингов,,1967
Пять золотых драконов,,
"Лестница (фильм, 1969)",,1969
"Ограбление по-итальянски (фильм, 1969)",,1969
Кричи и снова кричи,,1970
Белый автобус,,1967
Кес (фильм),,1969
"Вдали от обезумевшей толпы (фильм, 1967)",,1967
Берсерк!,,1967
"Лев зимой (фильм, 1968)",,1968
Куда не долетают и орлы,,1968
"О, что за чудесная война",,1969
"Влюблённые женщины (фильм, 1969)",,1969
Жёлтая подводная лодка (мультфильм),,
Вкус крови Дракулы,,
"Битва за Британию (фильм, 1969)",,1969
Дракула восстал из могилы,,1968
"Лола (фильм, 1969)",,1969
Если... (фильм),,1968
"Екатерина Великая (фильм, 1968)",,
Великий инквизитор (фильм),,1968
Волхв (фильм),,1968
Капитан Немо и подводный город,,1969
Троянки (фильм),,1971
"Соломенные псы (фильм, 1971)",,1971
Выход дьявола (фильм),,1968
99 женщин,,1969
Грешный Дэви,,1969
Айседора (фильм),,1968
Последняя долина,,1971
"Сыщик (фильм, 1971)",,1971
"Семейная жизнь (фильм, 1971, Британия)",,1971
Приятель,,1971
Страсть к вампиру,,1971
Обход (фильм),,1971
"Макбет (фильм, 1971)",,1971
"Посредник (фильм, 1971)",,1971
Кэтлоу,,
Заводной апельсин (фильм),,1971
Нежные воспоминания,,1971
Любители музыки,,1971
Кровь на когтях Сатаны,,1971
"Годовщина (фильм, 1968)",,
"Ночные пришельцы (фильм, 1971)",,1971
Графиня Дракула,,
Бриллианты навсегда,,1971
Война Мёрфи,,1971
"Мария — королева Шотландии (фильм, 1971)",,1971
Безрадостные мгновения,,1971
"Бёрк и Хэр (фильм, 1971)",,
А теперь нечто совсем другое,,1971
"Дьяволы (фильм, 1971)",,1971
Частная жизнь Шерлока Холмса,,1970
Трог (фильм),,1970
Хоффман (фильм),,
"Воскресенье, проклятое воскресенье",,1971
Шрамы Дракулы,,1970
Доктор Джекилл и сестра Хайд,,1971
Кровь из гробницы мумии,,1971
Ужас Франкенштейна,,
"Портрет Дориана Грея (фильм, 1970)",,1970
"Сердцебиение в мозге (фильм, 1970)",,1970
"Скрудж (фильм, 1970)",,1970
Силуэты на пересечённой местности,,1970
"Один день Ивана Денисовича (фильм, 1970)",,1970
"На самом дне (фильм, 1970)",,1970
Представление (фильм),,1970
Когда на Земле царили динозавры,,
Близнецы зла,,1971
Дочь Райана,,1970
Кромвель (фильм),,1970
"Джейн Эйр (фильм, 1970)",,1970
"Грозовой перевал (фильм, 1970)",,1970
"Три сестры (фильм, 1970)",,1970
"Тупик (фильм, 1966)",,1966
"Дом, где стекает кровь",,1970
Нед Келли (фильм),,1970
Человек на все времена,,1966
Невесты Фу Манчу,,
Нарушение Бамбо,,1970
"Распутин, безумный монах",,1966
Пусть будет так,,1970
"Миллион лет до нашей эры (фильм, 1966)",,
Модести Блейз,,
Любовницы-вампирши,,
Наш человек в Марракеше,,
Рождённая свободной,,
Мадемуазель (фильм),,1966
"Забавная история, случившаяся по дороге на форум",,1966
Дракула: Князь Тьмы,,1966
Чума зомби,,
Рептилия (фильм),,
Голубой Макс (фильм),,
Глаз дьявола (фильм),,1966
Морган: Подходящий случай для терапии,,1966
"451 градус по Фаренгейту (фильм, 1966)",,
"Роллербол (фильм, 1975)",,1975
Пропавший динозавр,,
Романтичная англичанка,,1975
Большая прогулка,,
Из лучших побуждений,,
Откровения инструктора по автовождению,,1975
Меморандум Квиллера,,1966
"Идиот (телесериал, 1966)",,1966
"Земля, позабытая временем (фильм)",,1975
Королевский блеск,,1975
"Мёртвый сезон (фильм, 1975)",,1975
Монти Пайтон и Священный Грааль,,1975
"Граф Монте-Кристо (телефильм, 1975)",,1975
Возвращение Розовой пантеры,,1975
Барри Линдон,,1975
Убийство Троцкого (фильм),,1972
Тройное эхо,,1972
Листомания,,1975
Вставки,,1975
Дело самоубийцы,,1966
"Оскорбление (фильм, 1973)",,1973
Бумажный тигр (фильм),,1975
Образы (фильм),,1972
В погоне за «Лисом»,,1966
Мост слишком далеко,,1977
"Поезд страха (фильм, 1972)",,1972
"Остров сокровищ (фильм, 1972)",,1972
Дуэлянты (фильм),,1977
Величайший (фильм),,1977
Железный крест (фильм),,1977
"Валентино (фильм, 1977)",,1977
Недостойное поведение,,1975
Финиковая косточка,,1974
"Убийство в «Восточном экспрессе» (фильм, 1974)",,1974
Степной волк (фильм),,1974
Цирк вампиров,,1972
"Фаворит (фильм, 1974)",,1974
Правящий класс (фильм),,1972
"Маленький принц (фильм, 1974)",,
Малер (фильм),,1974
Бармаглот (фильм),,1977
Зардоз,,1974
Семь золотых вампиров,,
"Замкнутый круг (фильм, 1977)",,1977
"Выкуп (фильм, 1974)",,1974
Марсельский контракт,,1974
Легионеры (фильм),,
Лечебница (фильм),,
Досье ODESSA,,1974
Ziggy Stardust and the Spiders from Mars,,1973
Человек-макинтош,,
"Три мушкетёра (фильм, 1973)",,
"Звёздная пыль (фильм, 1974)",,1974
"О, счастливчик! (фильм, 1973)",,
Наёмный работник (фильм),,
"Десять негритят (фильм, 1974)",,1974
Из могилы,,1973
Живи и дай умереть,,1973
"Вампиры (фильм, 1974)",,1974
С шиком,,1973
Театр крови,,
День Шакала (фильм),,1973
Кукольный дом (фильм Патрика Гарлэнда),,1973
"Как можно быть таким ублюдком, инспектор Клифф?",,1973
"Омен (фильм, 1976)",,1976
А теперь не смотри,,1973
Необыкновенное путешествие к центру земли,,1976
"День ярости (фильм, 1973)",,1973
Перевал Кассандры,,1976
Найти девушку,,1976
"Плетёный человек (фильм, 1973)",,1973
Гитлер: Последние десять дней,,1973
Дьявольские обряды Дракулы,,1973
Категория,,
Категория,,
"Крах (фильм, 2016)",,2016
Орёл приземлился,,1976
Категория,,
Дочь Сатаны,,
Категория,,
Багси Мэлоун,,1976
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Ясон и аргонавты,,
Три жизни Томазины,,1963
Школа для негодяев,,1960
Ужас Тролленберга,,
Категория,,
Категория,,
Категория,,
Категория,,
Фортуна — это женщина,,1957
"Оглянись во гневе (фильм, 1959)",,1959
"Ромео и Джульетта (фильм, 1954, Великобритания)",,1954
"Шпион, пришедший с холода (фильм)",,1965
Эксперимент Куотермасса,,
Асы в небе,,1976
Огненные девы из далёкого космоса,,
"Кто это сделал? (фильм, 1956)",,1956
"Моби Дик (фильм, 1956)",,
"Трое в лодке, не считая собаки (фильм, 1956)",,
Убийство по договорённости,,1954
Рыцари Круглого стола (фильм),,1953
"1984 (фильм, 1956)",,1956
Человек в белом костюме,,
Седьмой рассвет,,
Трудный путь в Александрию,,1958
"Скрудж (фильм, 1951)",,
Цирк ужасов,,
"Река (фильм, 1951)",,
Украденное лицо,,1952
Капитан Горацио Хорнблоуэр,,1951
Африканская королева,,1951
"Версия Браунинга (фильм, 1951)",,1951
Такого рода любовь,,1962
Последняя страница,,
"Призрак Оперы (фильм, 1962)",,
Смех в раю,,
Лоуренс Аравийский (фильм),,1962
Достичь небес,,
Дорога в Гонконг,,
Изгнанник с островов,,1951
Одиночество бегуна на длинные дистанции,,1962
Пожиратель тыкв,,1964
Круг опасности,,1951
"Первые люди на Луне (фильм, 1964)",,
Мэри Поппинс (фильм),,
Проклятие гробницы мумии,,1964
"Маска Красной смерти (фильм, 1964)",,1964
Зло Франкенштейна,,
Доктор Ноу,,1962
Гробница Лигейи,,1964
Кольцо шпионов,,1964
Зулусы (фильм),,1964
Перекрёстная ловушка,,
Бекет (фильм),,1964
Опера нищих (фильм),,1953
Посрами дьявола,,
Ночи Декамерона,,1953
Женевьева (фильм),,1953
Пираты кровавой реки,,
Вечер трудного дня (фильм),,1964
Разрушители плотин (фильм),,1955
Голдфингер,,1964
Иди к чёрту,,
Мамочка не позволяет,,1955
"Лето (фильм, 1955)",,
Сеанс дождливым вечером,,1964
Тёмный мститель (фильм),,1955
Жестокое море,,1953
К лучшему,,
Звуковой барьер (фильм),,1952
Замочить старушку,,
Андрокл и лев (фильм),,
"Я в порядке, Джек!",,
Три случая убийства,,
"Человек, обманувший смерть",,
Мистер Поттс едет в Москву,,1952
"Собака Баскервилей (фильм, 1959)",,
Сапфир (фильм),,1959
Рёв мыши (фильм),,1959
Путь наверх (фильм),,1959
Наш человек в Гаване (фильм),,1959
Мы — парни из Ламбета,,1959
Холмы гнева (фильм),,1959
"Мулен Руж (фильм, 1952)",,1952
"Мумия (фильм, 1959)",,1959
Мистер Питкин на эстраде,,
Душители из Бомбея,,1959
Пушки острова Наварон,,1961
"Бегемот, морской монстр",,
Конга (фильм),,1961
"Горгона (фильм, 1964)",,1964
"Горго (фильм, 1961)",,1961
Призрак кота,,
Аллигатор по имени Дэйзи,,1955
"Тигровая бухта (фильм, 1959)",,1959
"Молодые любовники (фильм, 1954)",,1954
Вкус страха,,1961
"Багажник (фильм, 1961)",,1961
Месье Рипуа,,1954
Дьяволица с Марса,,
Сердитая тишина,,
Банковский билет в миллион фунтов стерлингов,,1954
Счёт возобновлён,,
"Снежный человек (фильм, 1957)",,
"Жертва (фильм, 1961)",,1961
"Проклятие Франкенштейна (фильм, 1957)",,
"Святая Иоанна (фильм, 1957)",,
Принц и танцовщица,,1957
Прекрасное время,,1957
"Ночь демона (фильм, 1957)",,1957
Мост через реку Квай,,1957
Куотермасс 2,,1957
Король в Нью-Йорке,,1957
"Каждый день, кроме Рождества",,1957
История Эстер Костелло,,1957
"Голая правда (фильм, 1957)",,
Странный мир планеты Икс,,
Месть Франкенштейна,,1958
"Мальчик-с-пальчик (фильм, 1958)",,
"Ключ (фильм, 1958)",,1958
"Здравствуй, грусть! (фильм)",,1958
Дилемма доктора,,1958
Вкус мёда (фильм),,1961
Дыхательная трубка,,
Гибель «Титаника»,,1958
Безликий демон,,1958
"Руки Орлака (фильм, 1960)",,
Проклятие оборотня,,1961
"Подглядывающий (фильм, 1960)",,
Сыновья и любовники (фильм),,1960
"День, когда загорелась Земля",,
Невинные дикари,,1960
Добро умирает в зародыше,,
Миллионерша,,1960
"Деревня проклятых (фильм, 1960)",,1960
Лига джентльменов,,1960
Выбор Хобсона (фильм),,
Невесты Дракулы,,
"Бродяги (фильм, 1960)",,
Город мёртвых,,
Том Джонс (фильм),,
Такова спортивная жизнь,,1963
Комедиант (фильм),,1960
Порода Бульдог (фильм),,
"Розовая пантера (фильм, 1963)",,1963
"Проклятые (фильм, 1963)",,1963
"Поцелуй вампира (фильм, 1963)",,
"Повелитель мух (фильм, 1963)",,1963
Корабли викингов (фильм),,1963
Из России с любовью,,1963
Жил-был мошенник (фильм),,
День триффидов (фильм),,1963
"День, когда ограбили английский банк",,
Шаровая молния (фильм),,
"В субботу вечером, в воскресенье утром",,1960
Два лица доктора Джекила,,1960
"Умри, монстр, умри!",,1965
"Холм (фильм, 1965)",,1965
Отвращение (фильм),,1965
Сноровка... и как её приобрести,,
Парень и велосипед,,
"Слуга (фильм, 1963)",,1963
Ад — это город (фильм),,
"Дядя Ваня (фильм, 1963)",,1963
Лицо Фу Манчу,,
"Коллекционер (фильм, 1965)",,1965
Дорогая (фильм),,1965
На помощь!,,
Город в море,,1965
Ранняя пташка,,
Билли-лжец (фильм),,1963
Банни Лейк исчезает,,1965
Воздушные приключения,,1965
Операция «Арбалет» (фильм),,1965
Категория,,
"Она (фильм, 1965)",,1965
Категория,,
Категория,,
"Няня (фильм, 1965)",,
Дом ужасов доктора Террора,,1965
Категория,,
Категория,,
Категория,,
Досье «Ипкресс» (фильм),,1965
Категория,,
Категория,,
Категория,,
Категория,,
"Чёрная роза (фильм, 1950)",,
Категория,,
Категория,,
Категория,,
Категория,,
"Побег (фильм, 1948)",,
Я вижу незнакомца,,1946
Синяя лампа (фильм),,
Остерегайтесь жалости,,1946
Третий человек,,1949
"Лестница в небо (фильм, 1946)",,
"Я, Клавдий (фильм, 1937)",,1937
"Слабый пол (фильм, 1943)",,
Джордж из Динки-джаза,,1940
Победа в пустыне,,1943
"Эмма (фильм, 1948)",,1948
Шум и крик,,
Двадцать один день,,1940
Развод леди Икс,,1938
Поверженный идол,,1948
"Пигмалион (фильм, 1938)",,1938
Гордая долина,,1940
Жизнь и смерть полковника Блимпа,,1943
Ламбетская прогулка (фильм),,
"До свиданья, мистер Чипс",,1939
"Я знаю, куда я иду!",,1945
Молодой и невинный,,1937
Высшее командование,,1937
"Таверна «Ямайка» (фильм, 1939)",,1939
"Багдадский вор (фильм, 1940)",,
"Цезарь и Клеопатра (фильм, 1945)",,1945
Весёлое привидение,,1945
"Короткая встреча (фильм, 1945)",,1945
Глубокой ночью,,
"Генрих V (фильм, 1944)",,1944
Святой в Лондоне,,1939
"Леди исчезает (фильм, 1938)",,1938
"Четыре пера (фильм, 1939)",,
"Большие надежды (фильм, 1946)",,1946
"Анна Каренина (фильм, 1948)",,1948
"Гамлет (фильм, 1948)",,
Этот счастливый народ,,1944
Добрые сердца и короны,,
Рядовой Анжело,,1949
Страстная дружба,,1949
"Пиковая дама (фильм, 1949)",,1949
Заговорщик (фильм),,1949
"Голубая лагуна (фильм, 1949)",,1949
"Остров сокровищ (фильм, 1950)",,1950
Под знаком Козерога,,1949
Выбывший из игры,,1947
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
"Наваждение (фильм, 1949)",,1949
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Тридцать девять ступеней,,
"Человек, который умел творить чудеса",,1936
Категория,,
Категория,,
Категория,,
"Одетта (фильм, 1950)",,1950
"Секретный агент (фильм, 1936)",,1936
Виски в изобилии,,
Частная жизнь Генриха VIII,,1933
"Чёрный кофе (фильм, 1931)",,1931
Мэри (фильм),,1931
Номер семнадцать,,
Нечестная игра,,1931
"Сад наслаждений (фильм, 1925)",,
Юнона и павлин,,
"Человек, изменивший свой разум",,
"Нельсон (фильм, 1926)",,
"Пятница, 13-е (фильм, 1933)",,
"Собака Баскервилей (фильм, 1931)",,1931
"Потерянный патруль (фильм, 1929)",,
Шампанское (фильм),,1928
Убийство!,,1930
"Лёгкое поведение (фильм, 1927)",,
Женщина — женщине,,
"Шерлок Холмс (фильм, 1922)",,
Зов юности,,1921
"Жена фермера (фильм, 1928)",,
"Летучий шотландец (фильм, 1929)",,
Номер 13,,1922
"Шантаж (фильм, 1929)",,1929
Атлантик (фильм),,1929
Человек с острова Мэн,,1929
"Мулен Руж (фильм, 1928)",,1928
"Ринг (фильм, 1927)",,1927
"По наклонной (фильм, 1927)",,
"Жилец (фильм, 1927)",,
"Алиби (фильм, 1931)",,1931
Богатые и странные,,1931
"Саботаж (фильм, 1936)",,1936
"Рембрандт (фильм, 1936)",,1936
Облик грядущего,,1936
"Человек, который слишком много знал (фильм, 1934)",,
"Большая игра (фильм, 1930)",,1930
Пламя над Англией (фильм),,1936
"Как вам это понравится (фильм, 1936)",,
Частная жизнь Дон Жуана,,
Приглашает «Элстри»,,1930
"Алый первоцвет (фильм, 1934)",,1934
Горный орёл,,
"Одинокая женщина (фильм, 1936)",,1936
Категория,,
Категория,,
Категория,,
"Еврей Зюсс (фильм, 1934)",,
Категория,,
"Гран-при (фильм, 1934)",,
Венские вальсы,,1934
Категория,,
Возвышение Екатерины Великой,,1934
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
"Грозовой перевал (фильм, 1920)",,1920
Что видно в телескоп,,1900
Категория,,
Категория,,
Позволь мне снова помечтать,,1900
Категория,,
Нападение на миссию в Китае,,1900
"Дом, который построил Джек (фильм, 1900)",,1900
Категория,,
Регата между Оксфордским и Кембриджским университетами,,1895
Открытие Кильского канала,,1895
Дерби (фильм),,1895
Трафальгарская площадь в Лондоне,,1890
Поцелуй в тоннеле,,1899
"Бушующее море, вызвавшее наводнение в Дувре",,1895
"Король Джон (фильм, 1899)",,
Ложно обвинённый,,1905
Солдат запаса до и после войны,,1902
Арест карманника,,1895
Лошадиная ярмарка в Барнете,,1896
Рентгеновские лучи (фильм),,1897
"Два часа ночи, или Возвращение мужа",,1896
Фотография призрака,,1898
Фауст и Мефистофель,,1898
Стрижка клоуна,,1898
Сцена в саду Раундхэй,,
"Санта-Клаус (фильм, 1898)",,1898
"Пошли скорее, давай!",,1898
Ужасный ребёнок,,1905
"Полицейский, повар и медь",,1898
"Корсиканские братья (фильм, 1898)",,1898
"Золушка (фильм, 1898)",,1898
Движение транспорта по мосту Лидс,,1888
"Грабители (фильм, 1896)",,1896
Регата Хенли (фильм),,1897
"Ограбление (фильм, 1897)",,1897
Спасена Ровером,,1905
Держи вора! (фильм),,1901
Большой глоток,,1901
Пожар (фильм),,1901
Мышь в художественной школе,,1902
Бабушкина лупа,,1900
Коронация Эдуарда VII,,1902
Новые центурионы (фильм),,1972
Extraordinary Cab Accident,,1903
"Нет дыма без огня (фильм, 1972)",,1972
Купание малыша,,1905
Злоключения Мэри Джейн,,1903
"Алиса в Стране чудес (фильм, 1903)",,1903
Сон о стране игрушек,,
Незнакомец в Гонконге,,1972
"Наперекор всему (фильм, 1972)",,1972
Наковальня или молот,,1972
Несчастье Альфреда,,1972
Аккордеонист (фильм),,1888
На углу Арбата и улицы Бубулинас,,1972
Scrooge; or Marley's Ghost,,1901
Набег Ульзаны,,1972
Мушкетёры 4 «А»,,
Невидимый кулак,,1972
"Мужчины (фильм, 1972)",,1972
Мужчине живётся трудно. Фильм 9: Родной дом в Сибамата,,1972
Мужчине живётся трудно. Фильм 10: Сновидение Торадзиро,,
Нарушенная верность,,1972
Мраморный дом,,1972
"Монолог (фильм, 1972)",,
Мы назовём его Андреа,,1972
Молчаливый бег,,
Молодой Уинстон,,1972
Мой друг — Мелекуш,,1972
Меченый атом (фильм),,1972
"Механик (фильм, 1972)",,1972
"Мопра (фильм, 1972)",,1972
"Моя жизнь (фильм, 1972)",,1972
Методы доктора Кэри,,1972
Муки невинных,,1972
Моргиана,,1972
"Мастер и Маргарита (фильм, 1972)",,
Марджо,,1972
Любить человека,,
"Линия смерти (фильм, 1972)",,1972
Любимый Раджа,,1972
Нервы… Нервы…,,
Летние сны,,1972
"Любовь после полудня (фильм, 1972)",,1972
Летняя сестра,,1972
Лесная баллада,,1972
Людвиг (фильм),,1972
Леди поёт блюз,,1972
Легенда Богги Крик,,1972
Лавры (фильм),,1972
"Лиза (фильм, 1972)",,1972
Леди Каролина Лэм,,1972
Категория,,
"Крутой парень (фильм, 1972)",,1972
Кулак ярости,,1972
Могилы слепых мертвецов,,1972
Категория,,
Кто видел её смерть?,,1972
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
"Ловкость рук, Ваше Величество!",,1972
"Солнце, сено и пара оплеух",,1989
Категория,,
Категория,,
Время слуг,,1989
Категория,,
Категория,,
Пилоты (фильм),,
Посторонним вход разрешён,,1987
"Не хнычь, Белочка!",,
Фонтан для Зузаны,,
Турбаза «Волчья»,,
Три ветерана,,1984
Леди-вихрь,,1972
"Тысячелетняя пчела (фильм, Словакия)",,
Сказка странствий,,1982
Ратили,,1983
"Трасса (фильм, 1978)",,
Знак доблести,,
"Тёмное солнце (фильм, 1980)",,
Соло для слона с оркестром,,1975
Тихий американец в Праге,,1977
Покушение в Сараево (фильм),,1975
"Куртизанка (фильм, 1972)",,1972
Эликсир дьявола,,1973
"Попутный ветер (фильм, 1973)",,
Категория,,
Принц Баяя,,1971
Категория,,
Три орешка для Золушки,,
Отель «Пацифик»,,1975
Маленький сержант,,1975
Соколово (фильм),,1974
"Я подожду, пока ты убьёшь",,1973
Как утопить доктора Мрачека,,1974
Свадьбы пана Вока,,1971
Тени знойного лета,,1978
"День, который не умрёт",,1974
Чёрный волк,,1971
"Бабушка (фильм, 1971)",,
"Я убил Эйнштейна, господа",,
Ночь на Карлштейне,,1973
К нам приехала ярмарка,,1973
Влюблённые в году первом,,1973
"Четырёх убийств достаточно, дорогая",,1970
"Пан, вы вдова",,1970
Златовласка,,1973
Высокая синяя стена,,1974
Свадьба без колец,,1972
Принц и Вечерняя Звезда,,1978
Валерия и неделя чудес,,1970
Приключения в каникулы,,1978
"Красавица и Чудовище (фильм, 1978)",,
Похождения красавца-драгуна,,1970
Кентавры (фильм),,1978
Западня для утки,,1978
"Герника (фильм, 1978)",,1978
Баллада о дереве и розе,,1978
Смерть мухи,,1976
"Русалочка (фильм, 1976, Чехословакия)",,
Палитра любви,,1976
Освобождение Праги (фильм),,1976
Один сребреник,,1976
Да здравствуют духи!,,1976
"Маречек, подайте мне ручку!",,1976
Лето с ковбоем,,1976
На комете,,1970
Время любви и надежды,,1976
Все против всех,,1977
Бурлящее вино,,1976
Завтра встану и ошпарюсь чаем,,1977
Адела ещё не ужинала,,1977
Гордубал (фильм),,1979
Пастушок из долины,,1983
Праздник подснежников,,1983
"Молот ведьм (фильм, 1970)",,1970
Вниз в погребок,,
"Эта минута, этот миг",,1981
Фронт в тылу врага,,1981
Тайна Карпатского замка,,1981
Пропавшие банкноты,,1970
Гости из Галактики,,
"Солнце, сено, ягоды",,1984
"Лев Толстой (фильм, 1984)",,
Конец одиночества фермы Берхоф,,1984
Три золотых волоса,,
Сердечный привет с земного шара,,1982
Вампир от Ферата,,1982
Коллажная техника в фильме Яна Шванкмайера «Возможности диалога»,,1982
"Скальпель, пожалуйста",,1985
Румбурак (фильм),,1985
Кукушка в тёмном лесу,,1985
Дело для начинающего палача,,1970
Деревенька моя центральная,,1985
Битва за Москву (киноэпопея),,1985
Категория,,
"Алиса (фильм, 1988)",,
Категория,,
Категория,,
Категория,,
Категория,,
Расследования моей жены,,1972
Категория,,
Категория,,
Категория,,
Категория,,
Категория,,
Янки Дудл Денди,,1942
Я женился на ведьме,,1942
Шерлок Холмс и голос ужаса,,
Швейк готовится к бою,,
Кровавый камень (фильм),,1972
"Круг (фильм, 1972)",,1972
Четыре шага в облаках,,1942
Кровавые пальцы,,1972
Категория,,
Категория,,
Категория,,
Смерть зовётся Энгельхен,,1963
"Ранняя весна (фильм, 1961)",,1961
Маркета Лазарова (фильм),,1967
Людвиг ван Бетховен (фильм),,2020
Шутка (фильм),,1969
"Объезд (фильм, 1968)",,1968
Рождество с Алжбетой,,1968
"Прекрасный поход (фильм, 1963)",,
Прерванная песня,,1960
"Хэппи-энд (фильм, 1967)",,1967
"Трус (фильм, 1961)",,1961
D2: Поезд на край света,,2020
Хроника шута,,1964
"Следы (фильм, 1960)",,1960
Я — Карл,,2021
Чёрный Пётр,,1964
"Покушение (фильм, 1964)",,1964
Человек первого века,,1962
Большая дорога (фильм),,1962
Эшелон из рая,,1962
Чёрная суббота (фильм),,1960
Здесь нет зла,,2020
Старики на уборке хмеля,,1964
Белая пряжка,,1960
Звезда по имени Полынь,,1964
Убийство по-чешски,,1966
Трубки (фильм),,1966
Белые облака,,1962
Крепость на Рейне,,1962
Анечка идёт в школу,,1962
Сокровище византийского купца,,1966
Призрак замка Моррисвилль,,1966
Похищенный дирижабль,,1966
Экипаж в Вену,,1966
Мастер-палач,,1966
Поезда под пристальным наблюдением,,1966
Маргаритки (фильм),,1966
Люди из фургонов,,1966
Принцесса с золотой звездой,,
Романс для кларнета,,1966
Потерянная фотография,,1959
"Неудачный трах, или Безумное порно",,2021
Майские звёзды,,
Король Шумавы,,1959
Барышни придут позже,,1966
Дева-чудотворица,,1966
Капитан Дабач,,1959
Бегство из тени,,1959
Песня о сизом голубе,,1961
"Ночной гость (фильм, 1961)",,1961
"Барон Мюнхгаузен (фильм, 1961)",,1961
Нагая пастушка,,1966
Где одного алиби мало,,1961
Икар-1,,1963
Катя и крокодил (фильм),,1966
Шериф за решёткой,,
Пущик едет в Прагу,,1965
Весенний воздух,,1961
Удача приходит по воскресеньям,,
Магазин на площади,,1965
Колокола для босых,,1965
"Крик (фильм, 1963)",,1963
О чём-то ином,,1963
Контракт с дьяволом,,1967
Дом потерянных душ,,1967
Любовные похождения блондинки,,
"На боевой повозке Жижки (фильм, 1968)",,
Для кого танцует Гавана,,1963
"Кроткая (фильм, 1967)",,1967
Необыкновенный класс,,1965
Бал пожарных (фильм),,1967
Кровавые кулаки,,
Вот придёт кот,,1963
"Марафон (фильм, 1968)",,1968
Конец священника,,1969
Крёстный отец (фильм),,1972
Красные пчёлы (фильм),,1972
Краденый камень,,1972
Красный псалом,,1972
…а пятый всадник — Страх,,1965
Красная королева убивает семь раз,,1972
"Кошки-мышки (фильм, 1972)",,1972
Кошмары приходят ночью,,1972
Конец агента (фильм),,
Командир счастливой «Щуки»,,1972
Король-боксёр,,1972
"Козий рог (фильм, 1972)",,1972
"Колдунья (фильм, 1972)",,1972
Когда зацвёл миндаль,,
Капризное лето,,1968
"Ковбои (фильм, 1972)",,
Клан марсельцев,,1972
Карпухин (фильм),,1972
Кентерберийские рассказы (фильм),,1972
"Кандидат (фильм, 1972)",,1972
Капитан Джек (фильм),,1972
Кабаре (фильм),,1972
Дита Саксова,,1968
Исступление,,1972
"Камера пыток (фильм, 1972)",,1972
Кровавая невеста,,1972
Илга-Иволга,,1972
Инженер Прончатов,,1972
Какое отношение мы имеем к революции?,,
"Избавление (фильм, 1972)",,1972
Ижорский батальон (фильм),,1972
Капризы Лазаря,,1972
Ярость в небесах,,
"Я обвиняю (фильм, 1941)",,
Эллери Куин и идеальное преступление,,
Энергия (фильм),,1941
Ирис в крови,,1972
Чапаев с нами,,
Цветные киноновеллы,,1941
Урок советского языка,,1941
Цветы в пыли,,
Фронтовые подруги,,1941
"Коперник (фильм, 1972)",,1972
Шаги в темноте,,1941
Танкер «Дербент» (фильм),,1941
Тайное сокровище Тарзана,,
Категория,,
Категория,,
Категория,,
Категория,,
"Как далеко отсюда, как близко",,
Категория,,
Категория,,
Это неопределённое чувство,,1941
Тяжкая жизнь авантюриста,,1941
Категория,,
Тереза-Пятница,,1941
Категория,,
Категория,,
Турбина (фильм),,1941
Ян Гус (фильм),,1954
Категория,,
"Предупреждение (фильм, 1953)",,1953
Убийство Деда Мороза,,
Против всех (фильм),,1956
Сплавщики,,1952
Путешествие к началу времён,,1955
Музыка с Марса,,1955
Категория,,
Категория,,
Ян Жижка (фильм),,1955
Ангел в отпуске,,1953
Танковая бригада (фильм),,1955
Пекарь императора — Император пекарей,,1951
Кракатит (фильм),,1948
Победные крылья,,1950
Жил-был король,,1954
13-й участок,,1946
Немая баррикада,,1949
Категория,,
Ангел в горах,,1955
"Люди без крыльев (фильм, 1946)",,1946
Любовница в маске,,1940
Зарево над Кладно,,1955
Категория,,
Курица и пономарь,,1951
Категория,,
Категория,,
Категория,,
"Бабушка (фильм, 1940)",,1940
Бой закончится завтра,,
Мир принадлежит нам (1937),,1937
"Девственность (фильм, 1937)",,1937
Категория,,
Верблюд — через игольное ушко,,
Белая болезнь (фильм),,
Категория,,
Экстаз (фильм),,1933
Категория,,
Девушка в голубом,,1940
Категория,,
Категория,,
Категория,,
"Ревизор (фильм, 1933)",,1933
Дикая Бара (фильм),,
Категория,,
Категория,,
"Эротикон (фильм, 1929)",,1929
Швейк в русском плену,,1927
Категория,,
Стеклянная комната,,
"Яношик (фильм, 1921)",,1921
Раскрашенная птица (фильм),,2019
Категория,,
Безумный врач,,
Категория,,
Категория,,
Волга в пламени,,1934
Лёличек на службе у Шерлока Холмса,,1932
Категория,,
Неопалимая купина (телесериал),,
