film_title,genre
Римини (фильм),драматический фильм
Порог маскировки,Ужасы
Дилер 3,криминальная драма гангстерский фильм
"Рубикон (фильм, 2022)",Научнофантастический фильм
Медальон Торсена,фэнтези семейный фильм
Озеро страха (серия фильмов),фильм о монстрах и фильм ужасов
"Непокорённый (фильм, 1956)",драма
Трилогия приквелов «Звёздных войн»,Космическая опера
"Начало (фильм, 2020)",драма
Хождение за три моря (фильм),историкобиографический экранизация
Это зима,драма
"Сны (фильм, 1990)",драма киноальманах
"Ночная смена (фильм, 1990)",фильм ужасов триллер мистика
,романтика драма повседневность сёдзёай
Под северным сиянием,приключенческий фильм
"Небо и земля (фильм, 1990)",Исторический фильм боевик
Сын Годзиллы,Семейный научная фантастика комедия
"Точка кипения (фильм, 1990)",боевик комедия криминальная драма
"Философский камень (фильм, 1958)",комедия
"Рождённый убивать (фильм, 1967)",Якудза эйга
Размётанные облака,фильмдрама мелодрама
Музыкальная комната,драматический фильм
Американский пирог: Свадьба,кинокомедия
Мужчине живётся трудно. Фильм 43: Торадзиро берёт отпуск,комедия
Это началось в Альпах,драматический фильм
Американский пирог представляет: Правила для девочек,комедия
Американский пирог: Все в сборе,комедия
Американский пирог представляет (серия фильмов),
Американский пирог 7: Книга любви,комедия
Американский пирог 6: Переполох в общаге,кинокомедия
Американский пирог 5: Голая миля,кинокомедия
"Вулкан (фильм, 2011)",драма
Американский пирог 2,Комедия
Американский пирог 4: Музыкальный лагерь,комедия подростковый фильм комедийный фильм и романтическая комедия
Американский пирог,комедия
Астерикс на Олимпийских играх,комедия
Побег Кинг-Конга,фантастика
Американский пирог (серия фильмов),
Астерикс и Обеликс: Миссия «Клеопатра»,комедия пеплум
Тор: Легенда викингов,приключения комедия семейный фильм
Астерикс и Обеликс: Поднебесная,комедия приключения
Астерикс и Обеликс против Цезаря,приключения семейный фильм комедия
Астерикс и Обеликс в Британии,комедия приключения
Бунт самураев,драма
"Жажда (фильм, 1957)",драма мелодрама
"Хамелеон (фильм, 2011)",боевик комедия
Johnny Bravo Goes to Bollywood,комедия
Уруми (фильм),исторический фильм
Гамера против Гяоса,семейный фантастика приключения
Случайный доступ (фильм),супергеройский фильм научнофантастический фильм фильмтриллер комедийный фильм и киберпанк
Лето в Японии: двойное самоубийство,драма
Стэнли Ка Дабба,комедия семейный фильм
Леди против Рикки Бахла,романтическая комедия
Сила Шакти,боевик фэнтези драма
Мать Индия,драма музыкальный семейный
"Охранник (фильм, 2011)",боевик драма мелодрама
Когти (фильм),боевик драма
Индийская рупия (фильм),драма семейный
Запретные желания,боевик мелодрама комедия
Дон. Главарь мафии 2,боевик криминальный фильм и масала
Неустрашимый (фильм),боевик
Душа и персона,неонуар драма боевик
Дом призраков 3D,фильм ужасов
Любовь на сто процентов,романтическая комедия романтическая комедия
Дневники Мумбая,драма
"Авария (фильм, 1990)",детектив
"Яма (фильм, 1990)",драма
Бьяри (фильм),драматический фильм
Двойная забава,комедия
Я нанял убийцу,драма комедия
Жизнь не может быть скучной,комедия драма баддимуви
Автостоп (фильм),мелодрама комедийная драма
"Святое место (фильм, 1990)",ужасы драма экранизация
"Потерпевшие кораблекрушение (фильм, 1990)",приключенческий фильм семейный фильм
"Упырь (фильм, 1967)",ужасы экранизация
Обнажённое танго,мелодрама с элементами триллера
Девушка со спичечной фабрики,драма
"Дерзкий (фильм, 2011)",боевик комедия комедийный боевик масала и боевик
"Два глаза, двенадцать рук",комедия криминальный фильм драма триллер
"Отец (фильм, 1967)",драма
Секс и философия,драма
Волшебное таинственное путешествие (фильм),кинокомедия мюзикл
