title,genre
Могучие рейнджеры: Однажды и навсегда,"приключение,фантастика"
Заклинатели слонов,документальный фильм
Миссия ассасина,"боевик,триллер,криминал"
"Мизантроп (фильм, 2023)","фильм-триллер,2,3,[…],полицейский фильм,2,4,боевик,3,5,[…]"
Микулай (фильм),"драматический фильм,фильм-триллер"
Меч короля,"драма,исторический фильм"
Между отчаянием и надеждой,Документальное кино
"Мать (фильм, 2023)","боевик,триллер"
Маэстро (фильм),биографический фильм
Миссия невыполнима: Смертельная расплата,"шпионский,боевик"
Зачарованная 2,"мюзикл,фэнтезийная комедия"
Материнское воскресенье,драматический фильм
Манюня: Новогодние приключения,
Манодром,"драматический фильм,фильм-триллер"
М3ГАН,"научно-фантастический,фильм ужасов"
Май декабрь,"драматический фильм,1,романтический фильм,1"
Лютер: Павшее солнце,"полицейский фильм,драматический фильм,фильм-триллер"
Любо (фильм),драматический фильм
Любовь-морковь: Восстание машин,"комедийный фильм,2"
Люби снова,"комедия,мелодрама,Поп"
Место преступления: Азра,криминальный фильм
Мег 2: Бездна,"научно-фантастический,боевик"
"Любовь с первого взгляда (фильм, 2023)","экранизация романа,романтическая комедия"
Метод (2023),"драма,короткий метр"
"Луна (фильм, 2023)",научно-фантастический фильм
Лига Справедливости: Мир Войны,"фантастика,фэнтези,приключения,боевик"
"Лимб (фильм, 2023)",криминальная драма
Лето. Нулевые,трагикомедия
Ложный приговор,драма
Завтра это сегодня (фильм),"комедийный фильм,приключенческий фильм,фильм о путешествиях во времени"
Заговор в Голливуде,"боевик,триллер"
"За рекой, в тени деревьев (фильм)",экранизация романа
За пивом!,"драматический фильм,военный фильм"
Хайтарма,"историческая,драма,военный фильм"
Сон бабочки,драма
Zомби каникулы,"зомби-комедия,трэш"
Ракета (фильм),драма
Weekend,"детективный,триллер,нуар,драма"
Pussy против Путина,документальный фильм
Лок (фильм),экзистенциальная драма
Цвет нации,документальный фильм
Мачете убивает,"боевик,фантастика,чёрная комедия"
"Олдбой (фильм, 2013)","триллер,драма,детектив"
"Чудо (фильм, 2013)","драма,комедия"
Цель вижу,
Читающий лица,драма
Элизиум — рай не на Земле,"научная фантастика,боевик"
Польская сибириада,Драма
Тайна Вестерплатте,"драма,военный"
Валенса (фильм),фильм-биография
Билет в один конец на Луну,"мелодрама,кинокомедия,роуд-муви"
Тайна Рагнарока,"фэнтези,приключения,боевик"
Теорема Зеро,"фантастика,киберпанк,драма"
"Андроид (фильм, 2013)",технотриллер
Принцесса-лягушка,
Полицейская история 2013,"боевик,криминал,триллер"
Во имя,драма
Поза ребёнка,драма
Маттерхорн (фильм),"драма,комедия"
Пожалеете!,драматический фильм
"Вперёд, товарищи!",драма
Мастер тай-цзи,боевые искусства
Боргман (фильм),триллер
Эли (фильм),"драматический фильм,1,2"
Инструкции не прилагаются,комедия-драма
Золотая клетка (фильм),драма
Экстрасенс 2: Лабиринты разума,"психологический триллер,фильм-триллер,драматический фильм"
Экзамен для двоих,комедия-драма
Штурм Белого дома (фильм),боевик
Великий мастер (фильм),"фильм-биография,боевик"
Хоть раз в жизни,"Музыкальная,комедия-драма"
Философы. Урок выживания,"триллер,драма,история,фэнтези"
Человек из стали,"супергероика,боевик,научная фантастика,приключения"
Форсаж 6,боевик
Хоббит: Пустошь Смауга,"эпическое фэнтези,приключения,музыка к фильму"
Уцелевший (фильм),"военный,боевик,драма,триллер"
Убийство Кеннеди (фильм),"драма,биография,исторический"
Тропико (фильм),"драма,барокко-поп,трип-хоп"
Тревожный вызов,"триллер,криминальный фильм"
"Тихая гавань (фильм, 2013)","драма,мелодрама,триллер"
Тихоокеанский рубеж,"фантастика,приключения,боевик, меха"
"Тереза Ракен (фильм, 2013)","триллер,драма"
Тор 2: Царство тьмы,"супергероика,боевик,научное фэнтези"
Тепловой удар (фильм),"драматический фильм,боевик"
Хроники ломбарда,"триллер,детектив,чёрная комедия"
Сквозь снег,"постапокалиптика,боевик,триллер,драма"
"Подозреваемый (фильм, 2013)","боевик,триллер"
"Новый мир (фильм, 2013)",криминальная драма
Фил Спектор (телефильм),биографический фильм
"Желание (фильм, 2013)",драма
Самая обыкновенная пара,романтическая кинокомедия
"Адвокат (фильм, 2013)",драма
"Камень (фильм, 2013)","драма,боевик"
Телеведущий 2: И снова здравствуйте,комедия
Телекинез (фильм),фильм ужасов о сверхъестественном
Убийственная мультипликация,ужасы
Тачка №19,"триллер,боевик"
Техасская резня бензопилой 3D,слэшер
"Стукач (фильм, 2013)","боевик,драма,триллер"
Сэлинджер (фильм),документальный фильм
Странный Томас,"ужасы,триллер"
Тепло наших тел,"паранормальная романтическая,зомби-комедия"
Стартрек: Возмездие,"научно-фантастический экшн,научно-фантастический фильм,приключенческий фильм,боевик,Музыка к фильму"
Старая добрая Фреда,документальный
"Соник (фильм, 2013)",
Считанные часы,"драма,триллер"
Спасти мистера Бэнкса,"биографическая,трагикомедия"
Смерть в сети,фильм ужасов
Сироп (фильм),драма
Советник (фильм),"криминальный,триллер"
Скачанный,документальный
Семейный консультант (фильм),Драма
"Связь (фильм, 2013)","научно-фантастическая,драма,триллер"
"Таинство (фильм, 2013)","найденная плёнка,ужасы"
Роковая страсть,
Росомаха: Бессмертный,"супергероика,боевик,научная фантастика"
Пятая власть,"триллер,драма,биография"
Рыцари королевства Крутизны,"комедия,хоррор"
Рождество Мэдеи,"комедия,драма"
Прощальная вечеринка,"комедия,музыка"
Психушка Амитивилля,фильм ужасов
Сезон убийц,триллер
Нострадамус (фильм),"драма,байопик,исторический фильм"
Нижняя граница неба,драма
Проклятие Чаки,слэшер
Риддик (фильм),"фантастика,боевик,триллер"
Прекрасные создания,"фэнтези,мелодрама"
Последнее изгнание дьявола: Второе пришествие,"фильм ужасов,триллер"
